"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"KIT INSTALLATION REEL RINSE","Installation Kit. Ready to install unit features 3-ply, 200 lb working pressure. Hoses designed to withstand 140°F continuous operating temperature.","Metal","","1012667","012d880c-a21a-453c-b0c8-362e4766b3ba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012667.JPG","","www.don.com/product/1012667","","","","Fisher Manufacturing","Equipment","Fabrication_Installation","Installation","All","","","Edward don","",""
"KIT INSTALLATION REEL RINSE EXPOSED PIPE","Installation Kit. Make water conveniently available in all kitchen areas. Ready to install units feature 3-ply, 200 lb. working pressure hoses designed to withstand 160°F continuous operating temperature. Open reel rinse (1012591) has a 35' hose with spray valve and a white baked enamel finished reel with ratchet lock and easy tension adjustment. Closed reel rinse (1012592) has a 30' hose with spray valve and a wall mounted stainless steel covered reel with ratchet lock and easy tension adjustment.","Metal","","1012668","973ea357-b0a7-4791-a459-457998fd6766","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012668.JPG","","www.don.com/product/1012668","","","","Fisher Manufacturing","Equipment","Fabrication_Installation","Installation","All","","","Edward don","",""
"TOOL DRIVER 8"" PAD","Tool Driver.","Plastic","","1012880","36b07f8c-8035-40b6-b4fb-a1f8e3f423c0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012880.JPG","","www.don.com/product/1012880","","","","Ecolab","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"ASSEMBLY HEAD TUBE FOR S-11","Head - Tube Assembly.","Stainless Steel","","1012929","355ea66e-e3ad-416d-be3f-51c590529081","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012929.JPG","","www.don.com/product/1012929","","","","Edlund","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"FAUCET CHINESE RANGE 12"" SPOUT SS","Faucet.","Stainless Steel","","1013086","fc30c429-f183-4177-9903-f9c519f7119c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013086.JPG","","www.don.com/product/1013086","","","","Fisher Manufacturing","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"RETAINER (10)","Retainer.","Metal","","1014404","c095d4a4-e1df-421d-accf-3216008f8383","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014404.JPG","","www.don.com/product/1014404","","","","Franklin Machine Products","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"POST 34-1/2"" SUPER ERECTA CHROME","Post.","Metal","","1014536","b7fd054b-5277-4a9f-903a-e69342ca589a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014536.JPG","","www.don.com/product/1014536","","","","Intermetro Industries","Equipment","Fabrication_Installation","Fabrication","All","","","Edward don","",""
"BLADE ASSEMBLY FITS EASY SLICER","Replacement Slicing Assembly.","Metal","","1014633","6a695b90-fefc-4a5f-806d-9ea7cfe4ea8b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014633.JPG","","www.don.com/product/1014633","","","","Nemco Food Equipment","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"CUP FAUCET SEAT FITS ALL CAMTAINERS","Faucet Seat Cup.","Silicone","","1014681","e600f218-4e36-46d0-9793-a6f362c46c6a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014681.JPG","","www.don.com/product/1014681","","","","Cambro Manufacturing","Equipment","Fabrication_Installation","Parts","All","","","Edward don","",""
"KIT LATCH WITH 4 HOLES 4 SCREWS METAL","Metal Latch Kit.","Metal","","1014682","c4b0a711-a2fe-4685-a709-3ac61d10393a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014682.JPG","","www.don.com/product/1014682","","","","Cambro Manufacturing","Equipment","Fabrication_Installation","Installation","All","","","Edward don","",""
