"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"RACK COAT 27X4X3/4"" W/4 HOOKS WHT","Coat Rack.","Wood","","1009218","25141cb0-2454-434c-8342-e0fa337fd3aa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009218.JPG","","www.don.com/product/1009218","","","","Cal-Mil Plastic Products","Equipment","Hotel_Hospitality","Room Accessories","Coat Rack","","","Edward don","",""
"OPENER WINE PORTABLE 120V","Wine Opener.","Stainless Steel","","1216668","51fbea3b-3665-4644-9f44-f7e6d6080419","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1216668.JPG","","www.don.com/product/1216668","","","","Waring","Equipment","Hotel_Hospitality","Room Accessories","Openers","","","Edward don","",""
"DRYER HAIR 1600 W PLAS WHT","Hair Dryer.","Plastic","","1027106","6d73e4c0-bacc-4b22-838d-878d0c9879cd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027106.JPG","","www.don.com/product/1027106","","","","Waring","Equipment","Hotel_Hospitality","Room Accessories","Hair Dryers","","","Edward don","",""
"DRYER HAIR 1600 WATT BLK 110 V","Hair Dryer.","Plastic","","1027607","480f16bc-d596-407c-a322-e1033a4424e1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027607.JPG","","www.don.com/product/1027607","","","","Waring","Equipment","Hotel_Hospitality","Room Accessories","Hair Dryers","","","Edward don","",""
"DRYER HAIR 1875 WATT SOFT BLACK","Hairdryer.","","","H9720","01f57693-0432-4fd6-b5b0-169057e6f41d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/H9720.JPG","","www.don.com/product/H9720","","","","Waring","Equipment","Hotel_Hospitality","Room Accessories","Hair Dryers","","","Edward don","",""
"DRYER HAIR 1875 WATT BRUSHED CHROME","Hairdryer.","Metal","","H9719","a1e322cd-6b26-498b-b214-172e4794b0ee","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/H9719.JPG","","www.don.com/product/H9719","","","","Waring","Equipment","Hotel_Hospitality","Room Accessories","Hair Dryers","","","Edward don","",""
"TRAY COFFEE F/ HDC200B & HDC200S","Coffee Tray.","Plastic","","1056563","7cdf167c-c9e0-438e-9c7d-7b6f15c35734","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056563.JPG","","www.don.com/product/1056563","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"MAKER COFFEE 1 CUP BLK 120 V","Coffee Maker.","","","1056561","05120440-2fd7-4276-9fae-568b6f151e45","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056561.JPG","","www.don.com/product/1056561","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"BASKET BREW PERMANENT PLAS","Brew Basket.","Plastic","","1046315","02d1fcce-2200-44c7-8652-9a8fdfd6f877","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1046315.JPG","","www.don.com/product/1046315","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"MAKER COFFEE 1 CUP POD 230 V","Coffee Maker.","Stainless Steel","","1046016","c41bfea6-9f9c-48b9-91a7-0dcaef3fee70","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1046016.JPG","","www.don.com/product/1046016","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"CARAFE COFFEE 4 CUP GLASS","Carafe.","Glass","","1056558","6c78ac92-31dd-4fd8-8e3b-dd23cbfe4470","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056558.JPG","","www.don.com/product/1056558","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"MAKER COFFEE 1 CUP BLK/SS 120 V","Coffee Maker.","","","1056560","ec660914-e8e5-4d8d-9b8b-d29d00d03437","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056560.JPG","","www.don.com/product/1056560","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Coffee Makers_Accessories","","","Edward don","",""
"IRON STEAM/DRY LIGHTWEIGHT 120V","Steam / Dry Iron. Automatic shut-off safety feature. Smooth-glide sole plate. Large reservoir capacity permits easy, spill-free filling. 37 steam vents evenly distribute steam for fast, efficient wrinkle removal. Reversible cord permits left or right handed use, wraps for neat storage.","Stainless Steel","","H147","da4391de-26e9-4c89-a472-4c8c68583b84","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/H147.JPG","","www.don.com/product/H147","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Irons_Ironing Boards","","","Edward don","",""
"HOLDER IRON IN-ROOM WHITE","Iron Organizer.","Plastic","","1056553","0af3b10f-860d-4b5e-9899-f5456525fd1e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056553.JPG","","www.don.com/product/1056553","","","","Hamilton Beach Brands","Equipment","Hotel_Hospitality","Room Accessories","Irons_Ironing Boards","","","Edward don","",""
