"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"FUEL CHAFING EZ HEAT 3-3/5 OZ","Fuel.","","","1048770","553f30f7-eb68-4606-b209-5bfa462d2fac","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1048770.JPG","","www.don.com/product/1048770","","","","Hollowick","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL WICK STEM 2 HR ROOM SERVICE","Fuel.","Diethylene Glycol (DEG)","","1052662","c003b799-ef5b-4d7a-acd9-c30e35ff88ed","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052662.JPG","","www.don.com/product/1052662","","","","Sterno LLC","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL GEL GRN 45 MIN ETHANOL ROOM SERVICE","Fuel.","Ethanol","","1052672","18df522d-df2c-4b82-ab7a-bf1f344a22a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052672.JPG","","www.don.com/product/1052672","","","","Sterno LLC","Fuel","Chafing Fuel","Ethanol","Ethanol","","","Edward don","",""
"STATION REFILL F/ ECOBURNER W/ SCALE","Station Refill.","18/10 Stainless Steel","","1106953","dcb991ee-8d39-477e-98bf-b372b71d65c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1106953.JPG","","www.don.com/product/1106953","","","","Eastern Tabletop Manufacturing","Fuel","Chafing Fuel","Gas","Gas","","","Edward don","",""
"FUEL SMORES 45 MIN BIO ETHANOL F/1127693","Fuel. Create a gourmet s'mores experience for your customers. Compact size for easy storage/transport. Roasting screen provides even toasting, prevents accidental contact with flame. Heat management system keeps S'mores Heat™  (sold separately) securely in place, preventing spills. Use only with Sterno S'mores Heat™.","Ethanol","","1127681","af32a83c-7486-468e-b306-1096ad9dfd09","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1127681.JPG","","www.don.com/product/1127681","","","","Sterno LLC","Fuel","Chafing Fuel","Ethanol","Ethanol","","","Edward don","",""
"FUEL CHAFING 6 HR BUFFET HEAT","Chafing Fuel.","Diethylene Glycol (DEG)","","1160390","26087150-5cce-417a-a9d3-a1db8a007121","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1160390.JPG","","www.don.com/product/1160390","","","","Hollowick","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL WICK SAFE HEAT 6 HR W/ POWER PAD","Wick  Fuel.","","","1182964","4c806a9e-19fc-40d3-b4d4-f2fa41eebe60","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1182964.JPG","","www.don.com/product/1182964","","","","Sterno LLC","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL 6HR TWIST CAP QUICK FLAME","Fuel.","","","1189074","a6eae397-70b3-427b-949e-88110c0c84ae","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1189074.JPG","","www.don.com/product/1189074","","","","Sterno LLC","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL REFILL MASTER PACK F/ CHAFO UNIT","Fuel.","","","1219438","8a42bee6-c4c2-4891-8dd9-e5fbbf6621d8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219438.JPG","","www.don.com/product/1219438","","","","Eastern Tabletop Manufacturing","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
"FUEL REFILL CAN 36 HOURS ECOBURNER","Fuel.","","","1223505","27913ac2-f3f8-4a29-9d84-5656dd513638","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1223505.JPG","","www.don.com/product/1223505","","","","Eastern Tabletop Manufacturing","Fuel","Chafing Fuel","Wick Fuel","Wick Fuel","","","Edward don","",""
