"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"BOX BEVERAGE FOLDING 72""","Portable Bar.","Plywood","","1000200","864826b4-5e24-4e07-bea9-c5bb2cac47ae","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000200.JPG","","www.don.com/product/1000200","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
"BAR SERVING WITH ACCESSORIES","Serving Bar.","Stainless Steel","","1000503","a91975b2-e70f-4b4b-87fa-763848aa9012","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000503.JPG","","www.don.com/product/1000503","","","","Server Products","Furniture","Banquet_Meeting Room","Portable Bars","Portable Stainless Steel Bars","","","Edward don","",""
"SNEEZEGUARD SINGLE DOOR","Sneeze Guard.","Metal","","1002451","2f049ee2-856e-41e5-b6fb-04266bf5a9c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002451.JPG","","www.don.com/product/1002451","","","","Star International Holdings","Furniture","Banquet_Meeting Room","Food_Sneeze Guards","Portable Food Guards","","","Edward don","",""
"HOLDER SIGN HD ADAPTER W/BRACKETS","Sign Holder.","Metal","","1002674","7c5fe4ed-97ef-49eb-bc0d-e5b6f50ecf1c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002674.JPG","","www.don.com/product/1002674","","","","Tensator","Furniture","Banquet_Meeting Room","Signs_Signage","All Signs_Signage","","","Edward don","",""
"BAR MOBILE WOOD 62X26X48-1/2""","Mobile Bar. Open laminate cabinet and back splash. Stainless steel work counter, sink with drain, and two speed rails. Four 5"" gray wheels for easy portability. Available in a variety of standard finishes.","Wood","","1003672","aa0e6457-d686-4e99-9de0-8fb1fd78356f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003672.JPG","","www.don.com/product/1003672","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Stainless Steel Bars","","","Edward don","",""
"BAR MOBILE WOOD 74X26X48-1/2""","Mobile Bar. Open laminate cabinet and back splash. Stainless steel work counter, sink with drain, and two speed rails. Four 5"" gray wheels for easy portability. Available in a variety of standard finishes.","Wood","","1003682","97f20832-b115-4a63-9d48-bbbbf36713c3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003682.JPG","","www.don.com/product/1003682","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
"BAR MOBILE WOOD 96X26X48-1/2""","Mobile Bar. Open laminate cabinet and back splash. Stainless steel work counter, sink with drain, and two speed rails. Four 5"" gray wheels for easy portability. Available in a variety of standard finishes.","Wood","","1003683","5710ffbb-fd36-4bbf-8fd2-79e99bdba3ec","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003683.JPG","","www.don.com/product/1003683","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
"BAR MOBILE SS 63-1/2X27X48""","Mobile Bar. Stainless steel mobile bar has open cabinet with one shelf, stainless steel work counter with back splash, sink and drain. Laminated accents on sides and front. Shown with optional beer dispensing system.","Stainless Steel","","1003684","5749ed61-6e87-485a-98a0-6e77ad07f38b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003684.JPG","","www.don.com/product/1003684","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Stainless Steel Bars","","","Edward don","",""
"BAR MOBILE SS 99-1/2X27X48""","Mobile Bar.","Stainless Steel","","1003685","2cc991af-e719-4cbf-97fa-5de8fa7a26d6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003685.JPG","","www.don.com/product/1003685","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Stainless Steel Bars","","","Edward don","",""
"BAR MOBILE U-SHAPE WOOD 72X27X47""","Mobile bar. Wood veneer with solid wood molding and ""U"" shaped Avonite countertop and trim. Interior features stainless steel working countertop and sink with drain. Coordinating wood veneer bar back features an Avonite countertop with three enclosed storage sections, three-sided top section with mirrored back, and glass shelves.","Hardwood","","1003694","1dccec15-fe23-4c87-b6fb-0211090a9a13","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003694.JPG","","www.don.com/product/1003694","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
"BAR MOBILE U-SHAPE WOOD 62X29X48""","Mobile Bar. Solid wood with black granite Corian™ top and solid brass footrail. Stainless steel work counter includes back splash, insulated sink and drain. Two detachable speed rails, holds six glassware racks. Standard finishes include: light oak, medium oak, dark oak and white oak specify finish when ordering, other finishes available at an additional charge.","Wood","","1003695","b1144c5a-f626-406a-8b67-34f41d80563a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003695.JPG","","www.don.com/product/1003695","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
"BAR MOBILE U-SHAPE WOOD 97X29X48""","Mobile Bar. Solid wood with black granite Corian™ top and solid brass footrail. Stainless steel work counter includes back splash, insulated sink and drain. Two detachable speed rails, holds six glassware racks. Standard finishes include: light oak, medium oak, dark oak and white oak specify finish when ordering, other finishes available at an additional charge.","Hardwood","","1003696","c9dac45e-4042-4199-ab7e-d4724ce1de7c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003696.JPG","","www.don.com/product/1003696","","","","Forbes Industries","Furniture","Banquet_Meeting Room","Portable Bars","Portable Wood Bars","","","Edward don","",""
