"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"RACK LUGGAGE STEEL SLV 24X21X25""","Luggage Rack. Traditional steel-style rack with bumpered back bar. Black polyester straps. 1"" diameter polished stainless steel tube.","Steel","","1003647","d2c18683-4a5f-429a-9074-b8185ccfe484","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003647.JPG","","www.don.com/product/1003647","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Racks","","","Edward don","",""
"CART LUGGAGE BRASS 48X24X72""","Luggage Cart. Birdcage design. Longer, lower cart with 2"" tube frame. 8"" black pneumatic wheels. Full wrap-around bumper. 48""L x 24""W x 72""H.","Brass","","1003648","02e1b0ad-f034-42b2-a86c-9f38d1457e28","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003648.JPG","","www.don.com/product/1003648","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SS 37X21X70-1/2""","Luggage Cart.","Stainless Steel","","1003650","636e5fca-d556-43fe-9e2b-ddd8e1cf70cc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003650.JPG","","www.don.com/product/1003650","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SS 43X24X78""","Luggage Cart. Luggage cart with 2"" diameter polished stainless steel tube and skirt. Wrap-around bumper and 8"" black pneumatic wheels with chrome-plated hubs. 43""L x 24""W x 78""H.","Stainless Steel","","1003653","e42f8956-6532-4ecf-8765-90921e0d7e62","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003653.JPG","","www.don.com/product/1003653","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SS 43X24X78""","Luggage Cart. Luggage cart with 2"" diameter polished stainless steel tube and skirt. Wrap-around bumper and 8"" black pneumatic wheels with chrome-plated hubs. 43""L x 24""W x 78""H.","Stainless Steel","","1003655","e12e4ec1-0cd4-4c6c-9f84-07728bcbfac1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003655.JPG","","www.don.com/product/1003655","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE BRUSHED SS 43X24X78""","Luggage Cart. Luggage cart with 2"" diameter polished stainless steel tube and skirt. Wrap-around bumper and 8"" black pneumatic wheels with chrome-plated hubs. 43""L x 24""W x 78""H.","Stainless Steel","","1003656","2c11626e-3294-4db5-9588-92485076f561","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003656.JPG","","www.don.com/product/1003656","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SATIN DIAMOND 43X24X78""","Luggage Cart. 2” diameter round tube superstructure. Reinforced hanger T-bar with retainer ends. Reinforced steel deck with carpet (8 colors). Full wrap-around vinyl bumper (4 colors). 8”  black pneumatic wheels. Overall Dimensions: 43”L x 24”W x 78”H.","Stainless Steel","","1003657","b26c0a9d-5642-4782-a1b4-2f8e612221c3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003657.JPG","","www.don.com/product/1003657","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE BRUSHED SS 43X24X78""","Luggage Cart. 2” diameter round tube superstructure. Reinforced hanger T-bar with retainer ends. Reinforced steel deck with carpet (8 colors). Full wrap-around vinyl bumper (4 colors). 8”  black pneumatic wheels. Overall Dimensions: 43”L x 24”W x 78”H.","Stainless Steel","","1003658","2e03901f-2049-4ccc-9515-85a59bc652b7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003658.JPG","","www.don.com/product/1003658","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SS POLISHED 43X24X78""","Luggage Cart. 2” diameter round tube superstructure and reinforced hanger T-bar with retainer ends. Reinforced steel deck with carpet (8 colors). Solid metal skirt around base. Full wrap-around vinyl bumper (4 colors). 8”  black pneumatic wheels. Overall Dimensions: 43”L x 24”W x 78”H.","Stainless Steel","","1003659","be6ec0ae-a432-4444-a892-9bc5937d92ed","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003659.JPG","","www.don.com/product/1003659","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
"CART LUGGAGE SS POL DIAMOND 43X24X78""","Luggage Cart. 2” diameter round tube superstructure and reinforced hanger T-bar with retainer ends. Reinforced steel deck with carpet (8 colors). Solid metal skirt around base. Full wrap-around vinyl bumper (4 colors). 8”  black pneumatic wheels. Overall Dimensions: 43”L x 24”W x 78”H.","Stainless Steel","","1003660","78d2b049-4629-4269-940c-51c999b5543f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003660.JPG","","www.don.com/product/1003660","","","","Forbes Industries","Furniture","Hotel_Hospitality","Luggage Handling","Luggage Carts","","","Edward don","",""
