"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"STAND TRAY MAHOGANY 38""","Tray Stand.","Mahogany","","1000072","07d3e580-3fc9-47d8-8226-8ea4bc8c029a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000072.JPG","","www.don.com/product/1000072","","","","American Metalcraft","Furniture","Tableside Service","Tray Stands","Wood Tray Stands","","","Edward don","",""
"HANDLE FLIP F/ROOM SERVICE CART","Flip Handle.","Metal","","1002657","336cd66f-c2a5-4a17-8a42-2fd2028a40ce","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002657.JPG","","www.don.com/product/1002657","","","","Forbes Industries","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART SERVICE WOOD SATIN 30X33","Service Cart.","Beechwood","","1003081","a8f04f26-3386-45eb-a404-db19d0118a91","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003081.JPG","","www.don.com/product/1003081","","","","Lakeside Manufacturing","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART SALAD WOOD 23X44X35 GRP 1 LAM","Salad Cart.","Beechwood","","1003083","1e9df739-8ec1-481a-a47d-53aea210cd9d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003083.JPG","","www.don.com/product/1003083","","","","Lakeside Manufacturing","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART SERVICE DECANTING 3 SHLF OAK","Decanting Cart.","Oak","","1003184","d190d5b3-20e0-410b-ac34-f648e3e63e8c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003184.JPG","","www.don.com/product/1003184","","","","Forbes Industries","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART DELUX 3 SIDE WOOD VENEERED","Delux Service Cart.","Avonite","","1003185","e6357191-eda2-4931-9e79-cf67deda86b1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003185.JPG","","www.don.com/product/1003185","","","","Forbes Industries","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART BAR FOR MINI BAR","Beverage Restock Cart.","Metal","","1003245","9abe3cb8-c272-4a09-85f4-56374216431b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003245.JPG","","www.don.com/product/1003245","","","","Forbes Industries","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"CART SERVICE WOOD 38X16X30-1/2""","Service Cart. Beautiful hardwood construction with raised wood molding and square legs to provide service in style. Convenient drop leaves on each side. Three open veneer shelves.","Avonite","","1003693","bef02174-2412-4621-a829-2aa6d2fcea3e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003693.JPG","","www.don.com/product/1003693","","","","Forbes Industries","Furniture","Tableside Service","Carts","All Carts","","","Edward don","",""
"STAND TRAY 38"" WOOD BRN","Tray Stand.","Hardwood","","1004672","bc462177-3897-47e7-9e7f-e60db4de0490","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004672.JPG","","www.don.com/product/1004672","","","","G.E.T","Furniture","Tableside Service","Tray Stands","Wood Tray Stands","","","Edward don","",""
"STAND TRAY 38"" WOOD","Tray Stand.","Wood","","1004754","b38a3c3c-d2a9-419f-bb71-573908bdbf0e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004754.JPG","","www.don.com/product/1004754","","","","Tablecraft Products - Food Servi","Furniture","Tableside Service","Tray Stands","Wood Tray Stands","","","Edward don","",""
