"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLASS WINE RED 18 OZ RESTAURANT","Wine Glass.","Glass","","1000445","4ae45c30-8f57-4edb-a919-0d02f5d1af9e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000445.JPG","","www.don.com/product/1000445","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Restaurant","","","Edward don","",""
"GLASS WINE 14-1/2 OZ RESTAURANT","White Wine Glass.","Glass","","1000446","3d1c2f08-b43f-4bdf-adb8-661067748f0a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000446.JPG","","www.don.com/product/1000446","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Restaurant","","","Edward don","",""
"GLASS PRE-DINNER  8-1/2 OZ  YPSILON","Pre-Dinner Glass. Upscale glassware perfect for casual and fashionable venues. Tempered rims for added durability.","Glass","","1000454","1ff26ad1-9730-4a3c-af97-11386a4a5b85","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000454.JPG","","www.don.com/product/1000454","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Ypsilon","","","Edward don","",""
"GLASS AFTER DINNER 5 OZ YPSILON","After Dinner Glass. Upscale glassware perfect for casual and fashionable venues. Tempered rims for added durability.","Glass","","1000455","834bae9b-0b46-4b36-bb5e-d5dd4a5368a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000455.JPG","","www.don.com/product/1000455","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Ypsilon","","","Edward don","",""
"GLASS BORDEAUX 18-1/2 OZ RISERVA/NADIA","Wine Glass.","Glass","","1000977","7da89ff0-283d-4681-88f8-55281ac1c4d2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000977.JPG","","www.don.com/product/1000977","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Riserva","","","Edward don","",""
"GLASS BAROLO 16 OZ RISERVA","Wine Glass.","Glass","","1000978","4227c46a-c5b8-4ec5-9553-d94b16970716","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000978.JPG","","www.don.com/product/1000978","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Riserva","","","Edward don","",""
"GLASS COGNAC 18 OZ RISERVA","Glass.","Glass","","1000979","6012ba67-0183-4829-af9e-e8e6fc737f53","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000979.JPG","","www.don.com/product/1000979","","","","Steelite International","Glassware","Glass Stemware","Bormioli Rocco By Steelite","Riserva","","","Edward don","",""
"GLASS WINE YOUNG 16 OZ CABERNET","Young Wine. Contemporary bowl design promotes oxygenation for the best tasting experience of younger wines. Sheer rim to enhance tasting quality. Arcoroc® fully tempered glassware.","Kwarx","","1002195","04be0d11-ff3d-42c7-815a-3b9086402e05","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002195.JPG","","www.don.com/product/1002195","","","","Cardinal International","Glassware","Glass Stemware","Cardinal","Cabernet","","","Edward don","",""
"GLASS CARAFE 8-1/2 OZ RONA ALL PURPOSE","Carafe.","Glass","","1002931","108d10fe-2d56-4bc2-86a8-cd453fff378c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002931.JPG","","www.don.com/product/1002931","","","","Steelite International","Glassware","Glass Stemware","Rona By Steelite","All Purpose","","","Edward don","",""
"GLASS HURRICANE FOOTED 15 OZ","Hurricane Glass.","Glass","","1003459","e18d9da2-b849-4377-a9ab-d79429efb8f0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003459.JPG","","www.don.com/product/1003459","","","","Anchor Hocking Company","Glassware","Glass Stemware","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
