"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLASS MIXING 20 OZ GREAT WOLF IMP","Mixing Glass.","Glass","","1000123","d1026f92-23ef-447f-86fd-4abff42c3f4f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000123.JPG","","www.don.com/product/1000123","","","","Cardinal International","Glassware","Glass Tumblers","Cardinal","Other Cardinal","","","Edward don","",""
"GLASS COOLER 15 OZ LUNA","Cooler Glass. Classic style with a signature bubble in the base. Mega-resistant tempered glass; dishwasher safe.","Glass","","1000443","da8eac00-bb57-49ff-a09c-c086dd357bcf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000443.JPG","","www.don.com/product/1000443","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Luna","","","Edward don","",""
"GLASS TUMBLER DOF 11-1/2 OZ LUNA","Glass. Classic style with a signature bubble in the base. Mega-resistant tempered glass; dishwasher safe.","Glass","","1000444","390d7ae9-3d67-4a92-9906-861b43bd45a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000444.JPG","","www.don.com/product/1000444","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Luna","","","Edward don","",""
"GLASS DOF CAFE 11-1/4 OZ YPSILON","Double Old Fashioned. Upscale glassware perfect for casual and fashionable venues. Tempered rims for added durability.","Glass","","1000457","98fb1cd2-28a0-4cdd-bcae-7f183272c451","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000457.JPG","","www.don.com/product/1000457","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Ypsilon","","","Edward don","",""
"GLASS LONG DRINK 10-3/4 OZ YPSILON","Long Drink Tumbler. Upscale glassware perfect for casual and fashionable venues. Tempered rims for added durability.","Glass","","1000458","abc83b3c-27e2-42f6-b9af-512a36eb278f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000458.JPG","","www.don.com/product/1000458","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Ypsilon","","","Edward don","",""
"TUMBLER UNIVERSAL CANCLE 8-3/4 OZ GLASS","Universal Candle Tumbler.","Glass","","1001018","98951fd1-d495-4ebc-a7e7-4f4bc253f9e8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001018.JPG","","www.don.com/product/1001018","","","","Libbey Glass","Glassware","Glass Tumblers","Libbey","Other Libbey","","","Edward don","",""
"GLASS ROCKS HAMPTON 8 OZ","Glass.","Glass","","1001833","c10bc361-9ddc-4419-92c0-3cc4779f1b23","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001833.JPG","","www.don.com/product/1001833","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Hampton","","","Edward don","",""
"GLASS ROCKS DOF 11-3/4 OZ MANON","Tumbler DOF.","Glass","","1002379","cb55961d-4538-4e95-9399-97bfb3cc3129","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002379.JPG","","www.don.com/product/1002379","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Manon","","","Edward don","",""
"GLASS SPECIALTY TIKI 14 OZ","Tiki Glass. Heavy Tiki glass with short stem.","Glass","","1003259","d8ba0a03-fb92-494b-bb0c-03a5a0d84ebd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003259.JPG","","www.don.com/product/1003259","","","","Lancaster Commercial Products","Glassware","Glass Tumblers","Miscellaneous","Glass Tumblers","","","Edward don","",""
"GLASS ROCKS REALITY 10 OZ","Rocks. Rounded design and thick sham is the perfect blend of sophistication and durability. Fine bead and tempered rim. Weighted base adds stability on the table.","Glass","","1006009","20f2ba97-6e21-47bd-b718-ea34ada6b4e3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006009.JPG","","www.don.com/product/1006009","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS ROCKS REALITY 12 OZ","Rocks. Rounded design and thick sham is the perfect blend of sophistication and durability. Fine bead and tempered rim. Weighted base adds stability on the table.","Glass","","1006010","ab92bcf1-5f14-4f91-afb4-abb30cd899b4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006010.JPG","","www.don.com/product/1006010","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS TUMBLER REALITY 14 OZ","Tumbler. Rounded design and thick sham is the perfect blend of sophistication and durability. Fine bead and tempered rim. Weighted base adds stability on the table.","Glass","","1006011","02940367-b3ca-4f8f-9b87-48213d1d5703","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006011.JPG","","www.don.com/product/1006011","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS COOLER REALITY 16 OZ","Cooler. Rounded design and thick sham is the perfect blend of sophistication and durability. Fine bead and tempered rim. Weighted base adds stability on the table.","Glass","","1006012","a0ab48d2-bd1a-4d3b-85a5-929d0f7f8a07","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006012.JPG","","www.don.com/product/1006012","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS COOLER REALITY 20 OZ","Cooler. Rounded design and thick sham is the perfect blend of sophistication and durability. Fine bead and tempered rim. Weighted base adds stability on the table.","Glass","","1006013","148296c7-63ad-41e9-8937-478abc59877e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006013.JPG","","www.don.com/product/1006013","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS HI BALL 10-1/2"" CHICAGO CLR","Hi-Ball. Sleek, traditional look in a budget-friendly tumbler. Heavy base for strength and stability. Safedge® rim with lifetime guarantee.","Glass","","1010041","f0f5dd28-4369-4351-a209-368c0b3e280d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010041.JPG","","www.don.com/product/1010041","","","","Libbey Glass","Glassware","Glass Tumblers","Libbey","Chicago","","","Edward don","",""
"GLASS JUICE CHICAGO 4-3/4 OZ","Juice Glass. Sleek, traditional look in a budget-friendly tumbler. Heavy base for strength and stability. Safedge® rim with lifetime guarantee.","Glass","","1010044","3ff341e3-40fc-47ed-b6be-f53f37d12ff9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010044.JPG","","www.don.com/product/1010044","","","","Libbey Glass","Glassware","Glass Tumblers","Libbey","Chicago","","","Edward don","",""
"GLASS DOF 12 OZ QUARTET CLR","Rocks Glass.","Glass","","1010217","d1e7507b-3fc9-43d5-9d9d-b4b053666690","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010217.JPG","","www.don.com/product/1010217","","","","Libbey Glass","Glassware","Glass Tumblers","Libbey","Quartet","","","Edward don","",""
"COOLER 13-1/2 OZ CORTINA GLASS","Cooler.","Glass","","1010827","056f559d-114e-4c5b-8e53-81829e2c5b59","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010827.JPG","","www.don.com/product/1010827","","","","Steelite International","Glassware","Glass Tumblers","Bormioli Rocco by Steelite","Cortina","","","Edward don","",""
"GLASS TUMBLER SUREGUARD 8 OZ","Tumbler.","Glass","","1013208","4729d46e-0c1a-4e57-aa96-21b73be32c6d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013208.JPG","","www.don.com/product/1013208","","","","Anchor Hocking Company","Glassware","Glass Tumblers","Anchor Hocking","Other Anchor Hocking","","","Edward don","",""
"GLASS BORDEAUX  15-1/2 OZ RONA STEMLESS","Bourdeaux Glass.","Glass","","1013373","34f117f0-4982-44c9-9ef0-8929f867f2fa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013373.JPG","","www.don.com/product/1013373","","","","Steelite International","Glassware","Glass Tumblers","Steelite Rona","Stemless","","","Edward don","",""
"GLASS WINE 11-1/4 OZ RONA STEMLESS","Wine Glass.","Glass","","1013374","9641d91e-403a-44b6-8c4d-eb521658f73b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013374.JPG","","www.don.com/product/1013374","","","","Steelite International","Glassware","Glass Tumblers","Steelite Rona","Stemless","","","Edward don","",""
"GLASS BURGUNDY 15 OZ RONA STEMLESS","Burgundy Wine.","Glass","","1013376","2fc4f301-b699-4de1-bc68-56a7a32e2104","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013376.JPG","","www.don.com/product/1013376","","","","Steelite International","Glassware","Glass Tumblers","Steelite Rona","Stemless","","","Edward don","",""
"GLASS DOF 18-1/4 OZ RONA STEMLESS","Double Old Fashioned Glass.","Glass","","1013378","5a544354-a8ad-49de-b720-e0997ba27850","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013378.JPG","","www.don.com/product/1013378","","","","Steelite International","Glassware","Glass Tumblers","Steelite Rona","Stemless","","","Edward don","",""
"GLASS HI BALL 22-1/4 OZ RONA STEMLESS","Hi Ball.","Glass","","1013380","cdd21c36-170d-4124-ac22-6ca99b5e7fba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013380.JPG","","www.don.com/product/1013380","","","","Steelite International","Glassware","Glass Tumblers","Steelite Rona","Stemless","","","Edward don","",""
