"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLASS BEER 13-1/4 OZ EXECUTIVE","Executive Beer. Serve beer in the correct glass and watch your profits rise. Quality glassware provides the perfect merchandiser for your high-profit beers.","Glass","","1002615","a312ef9d-2724-4fbb-984f-93edabb57dd3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002615.JPG","","www.don.com/product/1002615","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Executive","","","Edward don","",""
"GLASS BEER 19-3/4 OZ NONIX","Beer Glass.","Glass","","1012184","1c94f6cb-5dba-426c-bec3-f32cb0c8c12b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012184.JPG","","www.don.com/product/1012184","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Nonix","","","Edward don","",""
"GLASS BEER 17 OZ EXECUTIVE","Beer Glass. Serve beer in the correct glass and watch your profits rise. Quality glassware provides the perfect merchandiser for your high-profit beers.","Glass","","1013508","8e8eadea-e61c-4b9b-bb6c-bdd71349655c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013508.JPG","","www.don.com/product/1013508","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Executive","","","Edward don","",""
"GLASS PILSNER FOOTED 19-1/2 OZ HARMONIA","Pilsner Glass. Serve beer in the correct glass and watch your profits rise. Quality glassware provides the perfect merchandiser for your high-profit beers.","Glass","","1013509","e1f3f732-af19-448e-95e4-ab0fa6077379","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013509.JPG","","www.don.com/product/1013509","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Harmonia","","","Edward don","",""
"GLASS PILSNER FOOTED 13 OZ HARMONIA","Pilsner Glass. Serve beer in the correct glass and watch your profits rise. Quality glassware provides the perfect merchandiser for your high-profit beers.","Glass","","1013510","610a2dc6-41f6-4ba5-8bc2-603e41b43434","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013510.JPG","","www.don.com/product/1013510","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Harmonia","","","Edward don","",""
"GLASS PILSNER FOOTED 9-1/4 OZ HARMONIA","Pilsner Glass. Serve beer in the correct glass and watch your profits rise. Quality glassware provides the perfect merchandiser for your high-profit beers.","Glass","","1013515","20d63451-e662-424e-96cb-869520bfefb2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013515.JPG","","www.don.com/product/1013515","","","","Steelite International","Glassware","Pilsners_Steins_Mugs","Bormioli Rocco By Steelite","Harmonia","","","Edward don","",""
"MUG 10 OZ TEXAN CARAMEL","Mug.","Vitrified China","","1014698","48a85f84-768b-4a0c-a962-31d41fbc8c71","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014698.JPG","","www.don.com/product/1014698","","","","Tuxton China","Glassware","Pilsners_Steins_Mugs","Mugs_Steins","Miscellaneous","","","Edward don","",""
"GLASS BEER 16-1/2 OZ MUNIQUE","Pub Glass.","Glass","","1023044","e39a2687-bc4a-44c9-9b41-c295021cef30","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1023044.JPG","","www.don.com/product/1023044","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS BEER 13-1/2 OZ MUNIQUE","Pub Glass. Classic heavy stem tumbler. Safedge™ rim and foot guarantee. Taller size makes drinks look larger.","Glass","","1023045","9a09226c-17eb-4119-8571-30b3a03180a5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1023045.JPG","","www.don.com/product/1023045","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS BEER 20 OZ GIANT PILSNER","Giant Pilsner. Traditional-style English pub glass. Perfect for all beer presentations. Unique bubbled center for exceptional grip.","Glass","","1031235","f7a61f9d-5e92-4088-951d-7814107e37dd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1031235.JPG","","www.don.com/product/1031235","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS BEER 13 OZ BELGIAN","Beer Glass.","Glass","","1036060","f858e58f-e369-4bfb-b64b-db93af09ee0d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1036060.JPG","","www.don.com/product/1036060","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS BEER 16 OZ BELGIAN","Beer Glass. Classic heavy stem tumbler. Safedge™ rim and foot guarantee. Taller size makes drinks look larger.","Glass","","1036061","9f76d3ac-070b-4bbe-b477-28bd53e1d005","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1036061.JPG","","www.don.com/product/1036061","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS MUG SPORT 25 OZ","Beer Mug.","Glass","","1036251","267857db-43e5-4fe7-bdaf-78f8ffe84593","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1036251.JPG","","www.don.com/product/1036251","","","","Cardinal International","Glassware","Pilsners_Steins_Mugs","Pilsners","Cardinal Pilsners","","","Edward don","",""
"GLASS PANELED MUG 22 OZ","Mug Glass.","Glass","","1039197","607325a2-912c-43af-8991-141f194ddbe0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1039197.JPG","","www.don.com/product/1039197","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Mugs_Steins","Libbey Mugs_Steins","","","Edward don","",""
"MUG BEER 16 OZ GLASS","Beer Mug.","Glass","","1039572","f28ca400-012b-45c2-8aaf-9fba7fc1538b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1039572.JPG","","www.don.com/product/1039572","","","","Anchor Hocking Company","Glassware","Pilsners_Steins_Mugs","Mugs_Steins","Anchor Hocking Mugs_Steins","","","Edward don","",""
"GLASS BEER TALL 16 OZ ALTITUDE","Altitude Sheer Rim Beer Glass.","Glass","","1040624","06246858-0240-4058-bb2b-8ed16143f64e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1040624.JPG","","www.don.com/product/1040624","","","","Libbey Glass","Glassware","Pilsners_Steins_Mugs","Pilsners","Libbey Pilsners","","","Edward don","",""
"GLASS PUB 20 OZ","Glass.","","","1047529","7ab11f28-cbf6-463c-bd8c-80ea3001e3c4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1047529.JPG","","www.don.com/product/1047529","","","","Anchor Hocking Company","Glassware","Pilsners_Steins_Mugs","Mixing_Pint Glasses","Oneida Mixing_Pint Glasses","","","Edward don","",""
