"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLASS PINT DESIGN 16 OZ POLY","Pint. Elegant entertaining in any setting—from poolside to buffets, indoors and out. Crystal-like clarity and design made from virtually unbreakable polycarbonate plastic. FDA approved polycarbonate that is food safe.","Polycarbonate","","1000011","aef0d71f-a0f9-460b-80e7-48b0fad561d7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000011.JPG","","www.don.com/product/1000011","","","","Steelite International","Glassware","Plastic Glassware","Strahl Beverageware","All Plastic Drinkware","","","Edward don","",""
"GLASS WINE SMALL DESIGN 8 OZ POLY","Small Wine. Elegant entertaining in any setting—from poolside to buffets, indoors and out. Crystal-like clarity and design made from virtually unbreakable polycarbonate plastic. FDA approved polycarbonate that is food safe.","Polycarbonate","","1000012","4b9e984a-83c2-4806-bba0-165770b92792","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000012.JPG","","www.don.com/product/1000012","","","","Steelite International","Glassware","Plastic Glassware","Strahl Beverageware","All Plastic Drinkware","","","Edward don","",""
"GLASS MARTINI 10 OZ PLAS","Plastic Glass.","SAN","","1000975","cac130c3-6986-4dc2-99f0-23aa791e9207","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000975.JPG","","www.don.com/product/1000975","","","","G.E.T","Glassware","Plastic Glassware","Miscellaneous","Plastic Glassware","","","Edward don","",""
"GLASS TUMBLER SPEKTRUM 10 OZ PLAS","Tumbler.","SAN","","1001343","29c30a33-84e0-4179-ae83-712646906334","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001343.JPG","","www.don.com/product/1001343","","","","G.E.T","Glassware","Plastic Glassware","Miscellaneous","Plastic Glassware","","","Edward don","",""
"GLASS PITCHER 67 OZ OUTDOOR PERFECT PLAS","Pitcher w/Lid. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Fully recyclable material is environmentally friendly. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing.","SAN","","1001410","58d7ac5d-9e04-48e1-bf77-8ada7d6d901b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001410.JPG","","www.don.com/product/1001410","","","","Cardinal International","Glassware","Plastic Glassware","Cardinal","Outdoor Perfect","","","Edward don","",""
"GLASS FLUTE 5 OZ OUTDOOR PERFECT PLAS","Flute. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Fully recyclable material is environmentally friendly. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing.","SAN","","1001411","dadf5c99-8cf9-4c71-99ef-aa30e0ec1d52","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001411.JPG","","www.don.com/product/1001411","","","","Cardinal International","Glassware","Plastic Glassware","Cardinal","Outdoor Perfect","","","Edward don","",""
"GLASS MARGARITA 10OZ OUTDOOR PERFECT PLS","Margarita. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Fully recyclable material is environmentally friendly. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing.","SAN","","1001412","e43e974f-e7e9-4f1c-8857-a943a652d0f0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001412.JPG","","www.don.com/product/1001412","","","","Cardinal International","Glassware","Plastic Glassware","Cardinal","Outdoor Perfect","","","Edward don","",""
"GLASS HURRICANE 14-3/4OZ OUTDOOR PERFECT","Hurricane. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Fully recyclable material is environmentally friendly. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing.","SAN","","1001413","fe23387d-1329-4fd5-952a-2a751b7a8d5b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001413.JPG","","www.don.com/product/1001413","","","","Cardinal International","Glassware","Plastic Glassware","Cardinal","Outdoor Perfect","","","Edward don","",""
"GLASS WINE 10 OZ OUTDOOR PERFECT PLAS","Wine. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Fully recyclable material is environmentally friendly. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing.","SAN","","1001414","ad1d5ed3-e925-43ad-9bdc-a733e350243d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001414.JPG","","www.don.com/product/1001414","","","","Cardinal International","Glassware","Plastic Glassware","Cardinal","Outdoor Perfect","","","Edward don","",""
"GLASS COCKTAIL 10 OZ OUTDOOR PERFECT PLS","Cocktail. Perfectly designed for use in outdoor and glass-free environments. SAN plastic construction provides exceptional durability and clarity in an elegant indoor/outdoor style. Beautifully withstands high heat industrial dishwashing machines. Water vents to drain during washing. BPA free.","SAN","","1001415","b685a68c-91d3-436b-8547-e2653c113298","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001415.JPG","","www.don.com/product/1001415","","","","Cardinal International","Glassware","Plastic Glassware","Miscellaneous","Plastic Glassware","","","Edward don","",""
