"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLASS SHOT WHISKEY 3/4 OZ","Glass.","Glass","","1000440","eea639e5-7df2-40c4-a4d6-90ad3d0a9cf4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000440.JPG","","www.don.com/product/1000440","","","","Anchor Hocking Company","Glassware","Specialty Glassware","Whiskey_Shot Glasses","All Whiskey_Shot Glasses","","","Edward don","",""
"GLASS CARAFE 50-1/3 OZ AURUM","Decanter.","Glass","","1000441","5e98ff98-495c-4777-850e-b915957cc946","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000441.JPG","","www.don.com/product/1000441","","","","Steelite International","Glassware","Specialty Glassware","Bormioli Rocco By Steelite","Aurum","","","Edward don","",""
"GLASS CARAFE 36-1/2 OZ YPSILON","Carafe. Elevate your guest's experience with a decanter at their table. Allows for easy pouring and good airflow for a variety of wines. A variety of uses for tabletop beverages.","Glass","","1000459","30b2bab4-2061-4e7f-8e2e-00dac153c2df","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000459.JPG","","www.don.com/product/1000459","","","","Steelite International","Glassware","Specialty Glassware","Bormioli Rocco By Steelite","Ypsilon","","","Edward don","",""
"GLASS CARAFE 9-1/2 OZ  YPSILON","Carafe. Elevate your guest's experience with a decanter at their table. Allows for easy pouring and good airflow for a variety of wines. A variety of uses for tabletop beverages.","Glass","","1000460","949283a2-ccd9-4145-82be-a471b979e9ce","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000460.JPG","","www.don.com/product/1000460","","","","Steelite International","Glassware","Specialty Glassware","Bormioli Rocco By Steelite","Ypsilon","","","Edward don","",""
"GLASS TALL SAMPLER 2 OZ","Tall Sampler Glass. This tall glass is the perfect piece to create a unique display and individual tastings.","Glass","","1000743","d7352a22-8e08-4d10-8ec8-5402b693ef23","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000743.JPG","","www.don.com/product/1000743","","","","Front Of The House","Glassware","Specialty Glassware","Miscellaneous","Specialty Glassware","","","Edward don","",""
"GLASS SHOT 2-1/4 OZ  RONA STELLAR","Shot Glass.","Glass","","1001347","abe01857-48df-46d5-9476-08ae6029c01b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001347.JPG","","www.don.com/product/1001347","","","","Steelite International","Glassware","Specialty Glassware","Rona By Steelite","Stellar","","","Edward don","",""
"GLASS CARAFE WINE 1 LITER","Wine Carafe.","Glass","","1001672","2c2c3346-7a1c-431a-8482-ab44ed49592e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001672.JPG","","www.don.com/product/1001672","","","","Anchor Hocking Company","Glassware","Specialty Glassware","Decanters","Other Decanters","","","Edward don","",""
"GLASS ROCKS  9-1/2 OZ MANON","Rocks Glass.","Glass","","1002617","2adf966d-1ce5-4a9e-9a9b-b3c5c5ed9cf3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002617.JPG","","www.don.com/product/1002617","","","","Steelite International","Glassware","Specialty Glassware","Bormioli Rocco By Steelite","Manon","","","Edward don","",""
"GLASS DECANTER ELITE 10 OZ","Glass Decanter.","Glass","","1003145","4fbbf999-3894-485d-a86b-67ce9971602e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003145.JPG","","www.don.com/product/1003145","","","","Rosenthal Sambonet USA Ltd","Glassware","Specialty Glassware","Decanters","Other Decanters","","","Edward don","",""
"GLASS BOTTLE 34 OZ SWING TOP GIARA","Bottle. Trend-forward glass bottles that are dishwasher safe as well as an ideal choice for anything from water and specialty beverages to oils, dressings and even flowers; each bottle is  and equipped with a food safe stopper and rubber gasket within a wire bail enclosure..","Glass","","1003420","184fdaad-c360-41e7-a018-93c83bc621d7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003420.JPG","","www.don.com/product/1003420","","","","Steelite International","Glassware","Specialty Glassware","Bormioli Rocco By Steelite","Giara","","","Edward don","",""
