"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TISSUE BATH PAPER 3-1/5X1000'","Bath Tissue.","Paper","","1000713","82c5849e-fa15-4d17-8cae-ff58be93720e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000713.JPG","","www.don.com/product/1000713","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Jumbo Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH PAPER 550 SHTS WHT","Bath Tissue.","Paper","","1000714","b8bbead3-33f9-4544-816e-edb9b381200f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000714.JPG","","www.don.com/product/1000714","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH JUMBO 1000'  ENVISION WHT","Bath Tissue.","Paper","","1005704","5d0c6ec3-8772-4c84-9b40-caaf0896209c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005704.JPG","","www.don.com/product/1005704","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH 1000 SHEET COMPACT WHT","Bath Tissue. Cost effective coreless design reduces inventory space. High-capacity rolls prevent run-outs and reduce replacement time. Multiple roll dispensers provide 6,000 sheets between refills. Meets or exceeds EPA Comprehensie Procurement Guidlines for post consumer fiber.","Paper","","1005711","1c921cd4-4158-414d-9a6c-a1c9c76aeb19","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005711.JPG","","www.don.com/product/1005711","","","","R3 Papercraft","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH 400 SHEET ANGEL SOFT","Bath Tissue. Recognized brand provides home-use quality. Large sheet count saves on replacement time. Matching tissues presents an upscale look in your restroom. Angel Soft is premium grade, Ultra Soft is super-premium grade.","Paper","","1011906","2629ebc4-32b4-4144-b694-77f3ce52a17c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011906.JPG","","www.don.com/product/1011906","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH EMBOSSED 2 PLY ENVISION WHT","Bathroom Tissue.","Paper","","1020129","9880d8bb-1759-400f-a833-fc2c1a096acd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020129.JPG","","www.don.com/product/1020129","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH 2 PLY 450 SHEET ANGEL WHT","Bathroom Tissue. Recognized brand provides home-use quality. Large sheet count saves on replacement time. Matching tissue presents an upscale look in your rest room. Angel Soft is premium grade, Ultra Soft is super-premium grade.","Paper","","1028837","d2a082c4-2690-443a-806a-4d9c7542fd92","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1028837.JPG","","www.don.com/product/1028837","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH 2PLY MINI TORK ADVA WHITE","Bath Tissue. High capacity allows for fewer refills and reduced labor. Suitable for high to medium traffic washrooms and easy to maintain.","Paper","","1039622","d45bed27-6292-42a2-9eb4-9620e8621612","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1039622.JPG","","www.don.com/product/1039622","","","","Essity","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","2 Ply Tissue","","","Edward don","",""
"TISSUE BATH 1 PLY MINI TORK ADVA WHT","Bath Tissue. High capacity provides fewer refills and reduces labor. Reduced stub roll means less waste; Fewer cores and no wrappers leads to source reduction. Less storage space is needed. Made from 100% recycled fiber provides environmental benefits.","Paper","","1039639","6ac6ef50-a460-4938-8085-e6c916bf6feb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1039639.JPG","","www.don.com/product/1039639","","","","Essity","Paper Towels_Tissue","Bath Tissue","Jumbo Tissue Rolls","1 Ply Tissue","","","Edward don","",""
"TISSUE BATH 4X4-1/8"" 451 SHT COTTONELLE","Bath Tissue. Sleek, durable dispenser holds two full standard rolls of coreless tissue. Meets ADA standards for accessible design.","Paper","","1052760","58cc64a1-d8f9-4d5b-a483-144b0133bc96","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052760.JPG","","www.don.com/product/1052760","","","","R3 Papercraft","Paper Towels_Tissue","Bath Tissue","Standard Tissue Rolls","1 Ply Tissue","","","Edward don","",""
