"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TISSUE FACIAL 85 SHEETS WHT","Facial Tissue.","Paper","","1000715","4f48ba56-e57d-4782-94d9-1a2d0e0eccdd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000715.JPG","","www.don.com/product/1000715","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
"TISSUE FACIAL 100 SHEET ENVISION WHT","Facial Tissue.","Paper","","1005744","1cb164ff-1bc8-484d-a7da-bd0c19a5103b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005744.JPG","","www.don.com/product/1005744","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Flat Dispenser Box","All Flat Dispensers","","","Edward don","",""
"TISSUE FACIAL 100 SHEET PREFERENCE WHT","Facial Tissue.","Paper","","1005745","b9395a3b-7bb1-410e-905b-0407f0a1c4e3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005745.JPG","","www.don.com/product/1005745","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Flat Dispenser Box","All Flat Dispensers","","","Edward don","",""
"TISSUE FACIAL ANGEL SOFT 96 SHEET","Facial Tissue. Recognized brand provides home-use quality. Large sheet count saves on replacement time. Matching tissue presents an upscale look in your rest room. Angel Soft is premium grade, Ultra Soft is super-premium grade.","Paper","","1008078","a67c46e9-6b07-459b-9852-e5800486be7b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008078.JPG","","www.don.com/product/1008078","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
"TISSUE FACIAL ANGEL SOFT 100 SHEET","Facial Tissue. Recognized brand provides home-use quality. Large sheet count saves on replacement time. Matching tissue presents an upscale look in your rest room. Angel Soft is premium grade, Ultra Soft is super-premium grade.","Paper","","1008081","7fcfdf5c-e50b-438f-9284-ce855c929268","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008081.JPG","","www.don.com/product/1008081","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Flat Dispenser Box","All Flat Dispensers","","","Edward don","",""
"TISSUE FACIAL BOUTIQUE WHT PAPER","Facial Tissue.","Paper","","1019713","97f67780-2342-4548-83ed-b73a201b7911","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1019713.JPG","","www.don.com/product/1019713","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
"TISSUE FACIAL 95 SHEET WHT","Facial Tissue.","Post Consumer Recycled Paper","","1020245","4b761f04-7a7e-485d-bf52-74d76b841438","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020245.JPG","","www.don.com/product/1020245","","","","R3 Papercraft","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
"TISSUE FACIAL 2 PLY PAPER WHT","Facial Tissue. Premium ultra-soft 2-ply tissue. Different color tissue indicates when box is nearly empty. Dispenser box made from 100% recycled materials.","Paper","","1027476","1d1cc6c1-21ce-41e9-bbb8-a72390995c8f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027476.JPG","","www.don.com/product/1027476","","","","Essity","Paper Towels_Tissue","Facial Tissue","Flat Dispenser Box","All Flat Dispensers","","","Edward don","",""
"TISSUE FACIAL TORK 94 CT ADVANCED","Tissue. An extra soft and absorbent 2-ply facial tissue which offers the right combination of performance and value. Cube box style is ideal for the vanity or in-wall dispensers.","Paper","","1104823","5f1d05d2-9443-477a-be4d-b8911e25d80b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1104823.JPG","","www.don.com/product/1104823","","","","Essity","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
"COVER TISSUE BOX 5X5X5-1/2"" SS MATTE BLK","Tissue Box Cover.","Stainless Steel","","1172829","692f1935-a86f-4d19-8146-cd43472cf525","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1172829.JPG","","www.don.com/product/1172829","","","","Front Of The House","Paper Towels_Tissue","Facial Tissue","Cube Dispenser Box","All Cube Dispensers","","","Edward don","",""
