"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TOWEL PAPER 250 SHEETS WHT","Folded Towel.","Paper","","1000718","045e5dbd-50cd-4d10-bd1e-b2a47780ef27","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000718.JPG","","www.don.com/product/1000718","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","C Fold Towels","","","Edward don","",""
"DISPENSER 7X11X4"" MINI PAPER TOWEL","Towel Dispenser - Wall Mount.","Steel","","1001153","c3faddf1-659c-4c95-98cc-04bf916978d5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001153.JPG","","www.don.com/product/1001153","","","","Cfs Brands LLC","Paper Towels_Tissue","Paper Towels","Miscellaneous","Paper Towels","","","Edward don","",""
"TOWEL CENTER PULL PAPER 8X12"" 750 CT","Center Pull Towel.","Paper","","1003756","1ccf9a7b-5ff2-4929-aa86-03389ada3057","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003756.JPG","","www.don.com/product/1003756","","","","R3 Papercraft","Paper Towels_Tissue","Paper Towels","Roll Towels","Center Pull Towels","","","Edward don","",""
"TOWEL GUEST 1/4 FOLD LL 8X17"" WHT","Paper Towel. Versatile guest towels are appropriate for both restrooms and dining. Soft and absorbent product, versus a standard paper towel.","Paper","","1004342","777f80cb-f7c9-4e2f-b26b-d2c019a189bd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004342.JPG","","www.don.com/product/1004342","","","","Hoffmaster Creative Converting","Paper Towels_Tissue","Paper Towels","Folded Towels","Guest Towels","","","Edward don","",""
"TOWEL C-FOLD 200 CT PREFERENCE WHT","Paper Towel.","Paper","","1005713","9221c5a5-a9c7-45d4-b7c3-1d4be8f1a3f9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005713.JPG","","www.don.com/product/1005713","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","C Fold Towels","","","Edward don","",""
"TOWEL MULTI FOLD 250 CT PREFERENCE WHT","Paper Towel.","Paper","","1005714","f6cf7ff7-24b1-499a-8862-5c00f9741816","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005714.JPG","","www.don.com/product/1005714","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","Multifolds Towels","","","Edward don","",""
"TOWEL C-FOLD 240 CT ACCLAIM WHT","Paper Towel.","Paper","","1005715","8121bbe1-a329-4861-8b61-b35b3d1ce595","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005715.JPG","","www.don.com/product/1005715","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","C Fold Towels","","","Edward don","",""
"TOWEL MULTI FOLD 125 CT SIGNATURE WHT","Paper Towel.","Paper","","1005717","df24a322-3aa3-46f8-944a-ee23fe181ad7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005717.JPG","","www.don.com/product/1005717","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","Multifolds Towels","","","Edward don","",""
"TOWEL C-FOLD 120 CT SIGNATURE WHT","Paper Towel.","Paper","","1005718","05fc898e-54bc-444a-961a-3200128bb173","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005718.JPG","","www.don.com/product/1005718","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","C Fold Towels","","","Edward don","",""
"TOWEL PAPER ROLL 800' ENVISION BRN","Paper Towel Roll.","Paper","","1005723","1eff7746-852d-45dd-97a6-e0e2d4f1bb0b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005723.JPG","","www.don.com/product/1005723","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Non Perforated Roll Towels","","","Edward don","",""
"TOWEL PAPER ROLL 350' ENVISION BRN","Paper Towel Roll.","Paper","","1005724","10bc94c7-de6e-4062-9d85-58e17150b5aa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005724.JPG","","www.don.com/product/1005724","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Non Perforated Roll Towels","","","Edward don","",""
"TOWEL PAPER ROLL 250 SHEET PREFERENCE","Jumbo Paper Towel Roll.","Paper","","1005726","bb19affd-e14c-47a1-b815-7862132a925c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005726.JPG","","www.don.com/product/1005726","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Perforated Kitchen Roll Towels","","","Edward don","",""
"TOWEL PAPER 275 SHEET SOFPULL WHT","Paper Towel.","Paper","","1005728","09e6e633-8d2e-41d5-83ff-90099e9d24de","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005728.JPG","","www.don.com/product/1005728","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Miscellaneous","Paper Towels","","","Edward don","",""
"TOWEL PAPER 520 SHEET PREFERENCE WHT","Paper Towel.","Paper","","1005743","95c66838-783e-4d0e-96e8-6585ac33afdc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005743.JPG","","www.don.com/product/1005743","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Perforated Kitchen Roll Towels","","","Edward don","",""
"TOWEL PAPER ROLL 700' ENMOTION WHT","Paper Towel Roll. Touchless dispensing eliminates risk of cross contamination. Dispenses one towel at a time to reduce waste. Sleek design for elegant, modern appearance.","Paper","","1005746","79e69536-526a-4b0d-ad54-d235ffc37e6a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005746.JPG","","www.don.com/product/1005746","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Center Pull Towels","","","Edward don","",""
"ROLL PAPER TOWEL WHT ENMOTION 800 FT","Paper Towel Roll. Touchless dispensing eliminates risk of cross contamination. Dispenses one towel at a time to reduce waste. Sleek design for elegant, modern appearance.","Paper","","1008083","0cb80f0b-e897-40ec-bddc-c618439c88ae","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008083.JPG","","www.don.com/product/1008083","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Towel Dispensers","Touchless Dispenser","","","Edward don","",""
"DISPENSER TOWEL INTERFOLD PLAS WHT","Towel Dispenser. Singular dispensing reduces waste. Hygiene shield protects towel until used. Ideal for areas with limited space.","ABS","","1012410","9c47be8c-3088-4d29-931b-a3383db0f4a0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012410.JPG","","www.don.com/product/1012410","","","","Essity","Paper Towels_Tissue","Paper Towels","Tork Dispensers","Multifold_C Fold Dispenser","","","Edward don","",""
"DISPENSER TOWEL PLAS BLK XPRESS","Towel Dispenser. Singular dispensing reduces waste. Hygiene shield protects towel until used. Ideal for areas with limited space.","ABS","","1012411","930a0b97-f797-4750-a012-f42f0bcea0cc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012411.JPG","","www.don.com/product/1012411","","","","Essity","Paper Towels_Tissue","Paper Towels","Tork Dispensers","Kitchen Towel Dispenser","","","Edward don","",""
"DISPENSER TOWEL CENTERFOLD PLAS BLK MINI","Towel Dispenser. System has easy one-handed operation and controlled consumption. No contamination from levers or cranks. Ideal system for areas where hand and surface wiping are combined.","ABS","","1012418","3e31a7fa-8b7b-4611-9887-5d0db840fa1d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012418.JPG","","www.don.com/product/1012418","","","","Essity","Paper Towels_Tissue","Paper Towels","Towel Dispensers","Center Pull Dispenser","","","Edward don","",""
"DISPENSER TOWEL CENTERFOLD PLAS WHT","Towel Dispenser. Easy one-hand operation promotes sanitation. Controlled consumption dispenses one towel at a time. Great for hand drying and light surface wiping.","ABS","","1012419","c596dc27-6f8a-46ba-8c1e-f8306d671e5e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012419.JPG","","www.don.com/product/1012419","","","","Essity","Paper Towels_Tissue","Paper Towels","Tork Dispensers","Center Pull Dispenser","","","Edward don","",""
"DISPENSER TOWEL CENTER PULL PLAS BLK","Towel Dispenser. Easy one-hand operation promotes sanitation. Controlled consumption dispenses one towel at a time. Great for hand drying and light surface wiping.","ABS","","1012420","160f3ccc-7771-4db9-938b-e8797325742f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012420.JPG","","www.don.com/product/1012420","","","","Essity","Paper Towels_Tissue","Paper Towels","Tork Dispensers","Center Pull Dispenser","","","Edward don","",""
"DISPENSER TOWEL TOUCHLESS ENMOTION BLU","Towel Dispenser.","Plastic","","1012528","d80891ff-8f90-4c72-b933-7ed03e8fa7a4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012528.JPG","","www.don.com/product/1012528","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Towel Dispensers","Touchless Dispenser","","","Edward don","",""
"ROLL TOWEL 800 FT PAPER BRN","Towel Roll. Touchless dispensing eliminates risk of cross contamination. Dispenses one towel at a time to reduce waste. Sleek design for elegant, modern appearance.","Paper","","1012530","faf7a692-2d92-481d-9efe-fefb098329a3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012530.JPG","","www.don.com/product/1012530","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Roll Towels","Non Perforated Roll Towels","","","Edward don","",""
"TISSUE INTERFOLDED SAFE-T-GARD 200 SHEET","Pack of Interfolded Tissue.","Tissue Paper","","1014453","3e3fd8ee-4949-4aab-827e-e42ea329e5e4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1014453.JPG","","www.don.com/product/1014453","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","Multifolds Towels","","","Edward don","",""
"HOLDER PAPER TOWEL TABLETOP BLK","Paper Towel Holder.","Metal","","1015155","9ff68b6e-3292-4b6e-ac02-008a88c87a97","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1015155.JPG","","www.don.com/product/1015155","","","","American Metalcraft","Paper Towels_Tissue","Paper Towels","Towel Dispensers","Kitchen Towel Dispenser","","","Edward don","",""
"TOWEL GUEST 12X17"" FLORAL WHT LL","Guest Towel.","Linen","","1015427","a6f5cb81-279e-4c45-bda6-5025c5e02f95","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1015427.JPG","","www.don.com/product/1015427","","","","Hoffmaster Creative Converting","Paper Towels_Tissue","Paper Towels","Folded Towels","Guest Towels","","","Edward don","",""
"TOWEL SCOTFOLD 12X9-1/2"" WHT PAPER","Towel.","Paper","","1018916","a58d8adb-4e95-44e7-8f09-cca7022d6d66","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1018916.JPG","","www.don.com/product/1018916","","","","R3 Papercraft","Paper Towels_Tissue","Paper Towels","Folded Towels","Multifolds Towels","","","Edward don","",""
"TOWEL C-FOLD 260 CT BIG FOLD Z WHT","Paper Towel.","Paper","","1020132","6a49fc79-2112-46ae-bf00-c006cd6946d3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020132.JPG","","www.don.com/product/1020132","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Paper Towels","Folded Towels","C Fold Towels","","","Edward don","",""
