"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PAD MAXI NO 4 NATURELLE","Maxi Pad. Quality feminine hygiene products provide care and convenience for your customers. Packed to easily replenish feminine hygiene vending machines. Naturelle tampons (1009071)feature a cardboard applicator with Posi-Lock Punch® to prevent accidental separation of the applicator tubes before use. Naturelle Maxi Pads (1009063) features a Twin Groove system® to prevent leaks and cotton-like cover and individual wrapping.","Paper","","1009063","7c5cc753-4505-41b9-9264-5646da5e7867","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009063.JPG","","www.don.com/product/1009063","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Feminine Hygiene Products","Pads_Tampons","","","Edward don","",""
"DISPENSER TOILET SEAT COVER HALF GRY","Seat Cover Dispenser. Durable plastic dispensers keep seat covers organized and sanitary. High quality RMC seat covers.","Plastic","","1009064","0c717361-f67b-4ca9-bc2e-a4d86512fab4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009064.JPG","","www.don.com/product/1009064","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"DISPENSER TOILET SEAT COVER HALF WHT","Seat Cover Dispenser. Durable plastic dispensers keep seat covers organized and sanitary. High quality RMC seat covers.","Plastic","","1009065","2e23e7c6-928c-46ac-a2c1-036248c0abb5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009065.JPG","","www.don.com/product/1009065","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"COVER TOILET SEAT HALF FOLD","Toilet Seat Cover. Durable plastic dispensers keep seat covers organized and sanitary. High quality RMC seat covers.","Paper","","1009067","f2b5788d-37b6-49ec-82eb-692e56e9ac07","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009067.JPG","","www.don.com/product/1009067","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"TAMPON VEND TUBE  NATURELLE","Tampon. Quality feminine hygiene products provide care and convenience for your customers. Packed to easily replenish feminine hygiene vending machines. Naturelle tampons (1009071)feature a cardboard applicator with Posi-Lock Punch® to prevent accidental separation of the applicator tubes before use. Naturelle Maxi Pads (1009063) features a Twin Groove system® to prevent leaks and cotton-like cover and individual wrapping.","Paper","","1009071","448cfb48-a279-4af3-ae75-753881ea796b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009071.JPG","","www.don.com/product/1009071","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Feminine Hygiene Products","Pads_Tampons","","","Edward don","",""
"DISPENSER TOILET SEAT COVER GRY","Toilet Seat Cover Dispenser.","Plastic","","1010757","3f60d05e-4dcf-4463-9a52-3c67c013fdb5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010757.JPG","","www.don.com/product/1010757","","","","R3 Papercraft","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"DISPENSER SEAT COVER SS","Dispenser for Seat Covers.","Stainless Steel","","1012143","4c998599-2290-4a9b-abf4-b0c2f40fd201","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012143.JPG","","www.don.com/product/1012143","","","","Hospeco","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"COVER TOILET SEAT UNIVERSAL WHT PAPER","Toilet Seat cover. Easily dispensable, ready for use format. Hygienic, protects users from cross contamination.","Paper","","1020030","90e6edb7-592e-4f51-af5f-6f5f8efcbf09","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020030.JPG","","www.don.com/product/1020030","","","","Essity","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","All Toilet Seat Covers","","","Edward don","",""
"DISP TOILET SEAT COVER WHT","Toilet Dispenser.","","","1020207","6959867f-21c1-4cb5-9e27-5a200f09fb19","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020207.JPG","","www.don.com/product/1020207","","","","R3 Papercraft","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"COVERS TOILET SEAT 1/2 FOLD WHT PAPER","Toilet Seat Cover.","Paper","","1025600","941c45d4-9509-4df3-a4c9-22ba1c4ac83d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1025600.JPG","","www.don.com/product/1025600","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","All Toilet Seat Covers","","","Edward don","",""
"RECEPTACLE SANITARY NAPKIN SS","Receptacle.","Stainless Steel","","1030610","a521f7ce-cda9-48b5-af74-99b7857be4bc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1030610.JPG","","www.don.com/product/1030610","","","","Hospeco","Paper Towels_Tissue","Personal Hygiene Products","Feminine Hygiene Products","Bags_Receptacles","","","Edward don","",""
"LINER F/ SANITARY NAP RECEPTACLE","Liner.","Paper","","1047242","451fb0ca-a1ae-4a41-b9b8-7f97a65956af","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1047242.JPG","","www.don.com/product/1047242","","","","Hospeco","Paper Towels_Tissue","Personal Hygiene Products","Feminine Hygiene Products","Bags_Receptacles","","","Edward don","",""
"DISP SEAT COVER 15-3/4X2X11"" SS","Dispenser.","Stainless Steel","","1108203","c6054403-2aed-4ba4-ab6b-b9d38952c45c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1108203.JPG","","www.don.com/product/1108203","","","","Franklin Machine Products","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","Toilet Seat Cover Dispensers","","","Edward don","",""
"DISPENSER TAMPON/NAPKIN METAL WHT","Dispenser.","Metal","","1113988","e6b13173-2128-457d-bfa8-ea2ba7b1ef6a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113988.JPG","","www.don.com/product/1113988","","","","Impact Products LLC","Paper Towels_Tissue","Personal Hygiene Products","Feminine Hygiene Products","Dispensers_Vending","","","Edward don","",""
"COVER TOILET SEAT HALF FOLD WHT","Toilet Seat Covers. Durable plastic dispensers keep seat covers organized and sanitary.","","","1131658","ed1885a6-8e89-410a-b267-638367176bca","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1131658.JPG","","www.don.com/product/1131658","","","","Hospeco","Paper Towels_Tissue","Personal Hygiene Products","Toilet Seat Covers","All Toilet Seat Covers","","","Edward don","",""
