"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"DISPENSER BATH TISSUE BLK JUMBO TWIN","Bath Tissue Dispenser. Modern and seamless design – make the right impression. Robust design with lock to protect the roll and stop pilferage in demanding environments.","ABS","","1012403","5146398d-3a61-4f67-a58d-20a1d188ce05","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012403.JPG","","www.don.com/product/1012403","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Twin","All Twin Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE PLAS WHT JUMBO","Bath Tissue Dispenser. Great for high-traffic washrooms. Large capacity and stub roll feature reduce costs.","ABS","","1012413","8160288b-741d-42db-9859-65db3528ee7a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012413.JPG","","www.don.com/product/1012413","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Jumbo","All Jumbo Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE PLAS BLK JUMBO","Bath Tissue Dispenser. Great for high-traffic washrooms. Large capacity and stub roll feature reduce costs.","ABS","","1012414","3593c4f9-d529-4b67-98ef-e2b570a5f056","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012414.JPG","","www.don.com/product/1012414","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Jumbo","All Jumbo Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE PLAS BLK MINI","Bath Tissue Dispenser. Complement the TorkMatic and Tork Elevation Intuition systems. Large capacity and stub-roll features reduce costs. Ideal for high-traffic washrooms.","ABS","","1012415","8db7ea8b-2497-4b4a-b7e9-1e6e57c418f9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012415.JPG","","www.don.com/product/1012415","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Single","All Single Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE 2 RL COMPACT HORIZ","Bath Tissue Dispenser. Cost effective packaging reduces inventory space. High-capacity rolls reduce run-outs and replacement time. Multiple roll dispensers provide 3,000 sheets between refills. Meets or exceeds EPA Comprehensive Procurement Guidelines for post consumer fiber.","Plastic","","1012512","f03a52bc-a4ef-4ad5-a933-fb583cd3aece","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012512.JPG","","www.don.com/product/1012512","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Tissue Dispensers","Twin","All Twin Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE 2 RL COMPACT SLV","Bath Tissue Dispenser.","Plastic","","1012514","9f083362-c445-4805-87d1-f6e2b65137b0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012514.JPG","","www.don.com/product/1012514","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Tissue Dispensers","Twin","All Twin Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE 4 RL COMPACT SLV","Bath Tissue Dispenser.","Plastic","","1012523","53c536e9-6a09-4594-a2be-b16db9f6c8fb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012523.JPG","","www.don.com/product/1012523","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Tissue Dispensers","Jumbo","All Jumbo Roll Dispensers","","","Edward don","",""
"DISPENSER BATH TISSUE 4 RL COMPACT GRY","Bath Tissue Dispenser.","Plastic","","1012527","0dc00098-867e-4394-bf6d-73ba2231adef","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012527.JPG","","www.don.com/product/1012527","","","","Georgia Pacific - Commercial","Paper Towels_Tissue","Tissue Dispensers","Jumbo","All Jumbo Roll Dispensers","","","Edward don","",""
"DISPENSER BATH 2 RL ELEVATION PLAS BLK","Bath Tissue Dispenser. High-capacity dispenser is perfect for washrooms with limited space. Innovative auto-transfer feature promotes hygiene and reduces refill time.","Plastic","","1013095","afcee924-ea29-4618-a117-a2f7544ab710","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013095.JPG","","www.don.com/product/1013095","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Twin","All Twin Roll Dispensers","","","Edward don","",""
"DISPENSER 12-3/4"" BATH TISSUE PLAS GRY","Bath Tissue Dispenser. High-capacity for fewer service interruptions. Smooth cover with no recesses is easy to clean and maintain.","Plastic","","1016880","31af0267-a225-4f69-b3c9-51254ad36e2e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016880.JPG","","www.don.com/product/1016880","","","","Essity","Paper Towels_Tissue","Tissue Dispensers","Single","All Single Roll Dispensers","","","Edward don","",""
