"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TRUCK UTILITY 49X35X39"" PLAS","Utility Truck.","Polyethylene","","1001073","974050fa-b94b-4171-80e9-e8ef5a71b38f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001073.JPG","","www.don.com/product/1001073","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"LID F/CUBE TRUCK 464100","Lid for Cube Truck Bin.","Polyethylene","","1001668","06f7a5a1-c2cc-4e83-86d8-e27c5081cb40","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001668.JPG","","www.don.com/product/1001668","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK UTILITY 27 BUSHEL BLK","Utility Truck.","Polyethylene","","1003109","a32bc27e-66f3-44a8-8176-a1c37ab2790e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003109.JPG","","www.don.com/product/1003109","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK TILT HD 850 LB 1/2 CU YARD BLK","Tilt Truck.","Plastic","","1003390","37561d08-2506-4cfe-9b64-08d57a74c52e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003390.JPG","","www.don.com/product/1003390","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK HAND 23-1/2""  POLISHED SS","Hand Truck. 1"" tube frame in polished stainless steel or brass. 23-1/2""L fold up drop-nose. 10"" black pneumatic wheels with chrome plated hubs. Choose from a bumpered or carpeted drop-nose.","Stainless Steel","","1003633","a042acde-b926-4377-940b-0bc518343e69","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003633.JPG","","www.don.com/product/1003633","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Hand Trucks_Dollies","All Hand Trucks_Dollies","","","Edward don","",""
"TRUCK HAND W/CARPET 23-1/2"" BRASS","Hand Truck. 1"" tube frame in polished stainless steel or brass. 23-1/2""L fold up drop-nose. 10"" black pneumatic wheels with chrome plated hubs. Choose from a bumpered or carpeted drop-nose.","Brass","","1003634","af7fb80c-f1c4-4f9d-9065-dbe310551a3f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003634.JPG","","www.don.com/product/1003634","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Hand Trucks_Dollies","All Hand Trucks_Dollies","","","Edward don","",""
"TRUCK HAND W/CARPET 23-1/2"" POLISH SS","Hand Truck. 1"" tube frame in polished stainless steel or brass. 23-1/2""L fold up drop-nose. 10"" black pneumatic wheels with chrome plated hubs. Choose from a bumpered or carpeted drop-nose.","Stainless Steel","","1003636","eae23770-a28c-4f17-93b4-7782cbce21c5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003636.JPG","","www.don.com/product/1003636","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Hand Trucks_Dollies","All Hand Trucks_Dollies","","","Edward don","",""
"CART LAUNDRY HD BAG 15 BUSHEL","Laundry Cart.","Vinyl","","1003639","ec6e8eec-addf-4cbb-be7e-ed9111d72177","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003639.JPG","","www.don.com/product/1003639","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Janitors_Maids Carts","All Janitors_Maids Carts","","","Edward don","",""
"CART HOUSEKEEPING 3 SHELF PLAS","Housekeeping Cart. Durable plastic construction with full wrap-around vinyl bumper and four revolving corner bumpers. Low-profile handles; sturdy, steel amenity drawer. Three shelves in a 30""L x 19""W x 38""H cabinet with 2"" deep top tray. Order bags separately, see below. Under-deck glass rack holder (glass rack not included). Vacuum bracket with bungee cord for vacuum handle.","Plastic","","1003643","2196f9a5-52b3-49d9-8bb6-63c44fc125cf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003643.JPG","","www.don.com/product/1003643","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Janitors_Maids Carts","All Janitors_Maids Carts","","","Edward don","",""
"BAG LONG HD 36X18X12"" NYLON BRN","Long Bag. Durable plastic construction with full wrap-around vinyl bumper. Three shelves in a 30""L x 19""W x 36""H cabinet with 2"" deep top tray. Two bag holders; order bags separately, see below. 8"" black wheels are easy to maneuver.","Nylon","","1003677","eb07e0dc-e165-4a88-9f24-36bb55aa60fa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003677.JPG","","www.don.com/product/1003677","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Janitors_Maids Carts","All Janitors_Maids Carts","","","Edward don","",""
"BAG SHORT HD 26X18X12"" NYLON BRN","Short Bag. Durable plastic construction with full wrap-around vinyl bumper. Three shelves in a 30""L x 19""W x 36""H cabinet with 2"" deep top tray. Two bag holders; order bags separately, see below. 8"" black wheels are easy to maneuver.","Nylon","","1003678","2fb95d3d-9180-4995-aaca-008710004eba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003678.JPG","","www.don.com/product/1003678","","","","Forbes Industries","Sanitation_Maintenance","Carts_Trucks","Janitors_Maids Carts","All Janitors_Maids Carts","","","Edward don","",""
"TROLLEY FLAT BED 24X48"" BLACK","Standard Platform Truck.","Polyethylene","","1004489","985577d3-c5b3-4eaa-95b6-e00c0eb6859e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004489.JPG","","www.don.com/product/1004489","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Platform Trucks","All Platform Trucks","","","Edward don","",""
"TRUCK TILT BLK","Tilt Truck.","Polyethylene","","1004490","dd0af412-507f-481e-9030-c2e60e9bd913","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004490.JPG","","www.don.com/product/1004490","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK RECYCLING 44X31X37"" PLAS BLU","Recycling Cube Truck.","Post Consumer Recycled Plastic","","1004592","c80b59f5-a3f1-4736-b323-7e1cc175be35","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004592.JPG","","www.don.com/product/1004592","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK PLATFORM 36X24"" PLAS BLK","Platform Truck.","Plastic","","1004773","d3e8bc76-d9f5-42fa-a40f-d1267de8b3f2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004773.JPG","","www.don.com/product/1004773","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Platform Trucks","All Platform Trucks","","","Edward don","",""
"TRUCK CUBE 400 LB PLAS BLK","Cube Truck.","Plastic","","1006835","0b3ca9f6-32ce-472c-954c-b2390feb70fc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006835.JPG","","www.don.com/product/1006835","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK TILT 450 LB PLAS BLK","Tilt Truck.","Plastic","","1008568","f94f8eb3-6950-4059-a1e0-037747feaae5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008568.JPG","","www.don.com/product/1008568","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK CUBE 300 LB PLAS BLU","Cube Truck.","Plastic","","1009023","21d752f0-523a-4303-9f94-5c17b3ac7164","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009023.JPG","","www.don.com/product/1009023","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK CUBE 43-3/4X31X37"" PLAS BLK","Cube Truck. Diamond wheel pattern for easy maneuverability. 500 lbs load capacity. Smooth surface facilitates cleaning.","Plastic","","1009547","b9d2cf81-c025-4e0e-9d29-6dda80fcee24","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009547.JPG","","www.don.com/product/1009547","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"TRUCK UTILITY 600 LB PLAS BLK","Utility Truck.","Plastic","","1011201","704ab37a-da42-48f0-ae75-3de3b60bd308","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011201.JPG","","www.don.com/product/1011201","","","","Cambro Manufacturing","Sanitation_Maintenance","Carts_Trucks","Hand Trucks_Dollies","All Hand Trucks_Dollies","","","Edward don","",""
"TRUCK TILT 1000 LB PLAS BLK","Tilt Truck.","Plastic","","1011585","afa92a18-def7-4c9b-99d5-372d175a73d5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011585.JPG","","www.don.com/product/1011585","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
"LID UTILITY TRUCK 49X34X9"" PLAS BLK","Utility Truck Lid.","Plastic","","1011744","e272fafc-8bfe-4396-94a9-c02f31c82c77","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011744.JPG","","www.don.com/product/1011744","","","","Newell Brands","Sanitation_Maintenance","Carts_Trucks","Tilt Trucks_Bushel Trucks","All Tilt_Bushel Trucks","","","Edward don","",""
