"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"BRUSH CLEANING DOUBLE HEAD","Oven & Broiler Brush.","Carbon Steel","","1000116","d99c4390-4df6-4f64-ae4e-dfd732631af5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000116.JPG","","www.don.com/product/1000116","","","","Cfs Brands LLC","Sanitation_Maintenance","Cleaning Supplies","Utility Brushes","Grill_Char Broiler Brushes","","","Edward don","",""
"CLOTH SCOTCH BRITE HIGH PERF","Cleaning Cloth.","Cloth","","1000507","3758ecd5-60b7-4e5e-b5fc-ddc76e2a21de","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000507.JPG","","www.don.com/product/1000507","","","","3M","Sanitation_Maintenance","Cleaning Supplies","Disposable Wipers","All Wipers_Cloths","","","Edward don","",""
"CLOTH SCOTCH BRITE HIGH PERF","Cleaning Cloth.","Cloth","","1000508","6e7f2c93-a211-42b3-b462-0e4f209e64e3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000508.JPG","","www.don.com/product/1000508","","","","3M","Sanitation_Maintenance","Cleaning Supplies","Disposable Wipers","All Wipers_Cloths","","","Edward don","",""
"SWEEPER MULTI SURFACE BLU","Floor Sweeper.","Plastic","","1000657","32473d3c-7e68-40da-a8b6-0abfaf020dac","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000657.JPG","","www.don.com/product/1000657","","","","Cfs Brands LLC","Sanitation_Maintenance","Cleaning Supplies","Floor_Carpet Care","Manual Floor_Carpet Sweepers","","","Edward don","",""
"PAD BUFFER 17"" FOR ROTARY CLNR","Buffer pad.","Polyester","","1000741","93231fab-387d-4ff8-b029-a99696c680fd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000741.JPG","","www.don.com/product/1000741","","","","3M","Sanitation_Maintenance","Cleaning Supplies","Floor_Carpet Care","Floor Machines Pads_Brushes","","","Edward don","",""
"WIPER SANITIZING QUIX PLUS 13X20"" PNK","Foodservice Wipe.","Fiber","","1000816","99cb28a6-c9d5-47f5-8de4-71cd519b2748","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000816.JPG","","www.don.com/product/1000816","","","","Chicopee","Sanitation_Maintenance","Cleaning Supplies","Disposable Wipers","All Wipers_Cloths","","","Edward don","",""
"WIPER AIR LADE 12X13"" WHT","Chux Airlaid.","Fiber","","1000819","ec26d0bd-de19-4239-946e-b568afcec180","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000819.JPG","","www.don.com/product/1000819","","","","Chicopee","Sanitation_Maintenance","Cleaning Supplies","Disposable Wipers","All Wipers_Cloths","","","Edward don","",""
"SQUEEGEE FLOOR 18"" WHT","Floor Squeegee.","Plastic","","1001424","e49c505c-0263-40fb-90b7-5ce238233c0a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001424.JPG","","www.don.com/product/1001424","","","","Cfs Brands LLC","Sanitation_Maintenance","Cleaning Supplies","Floor_Carpet Care","Floor Squeegees","","","Edward don","",""
"FLOOR PACK RESTROOM","Restoom Flook Pack.","","","1001731","2a6d3204-74f4-46eb-a50f-0fbb95085d57","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001731.JPG","","www.don.com/product/1001731","","","","Unger Enterprises","Sanitation_Maintenance","Cleaning Supplies","Floor_Carpet Care","Handles_Poles","","","Edward don","",""
"BRUSH UTILITY 8"" YEL","Utility Brush.","Plastic","","1001774","7fa51153-1852-4c4c-bd9e-499ccdf7aa11","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001774.JPG","","www.don.com/product/1001774","","","","Newell Brands","Sanitation_Maintenance","Cleaning Supplies","Utility Brushes","Plastic Handle Kitchen Brushes","","","Edward don","",""
