"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"MOP WET NO 24 8 PLY CUT END CTN WHT","Wet Mop.","100% Cotton","","1029586","c82a00e3-b350-4c13-9d1e-1829d48e9014","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029586.JPG","","www.don.com/product/1029586","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Cut End Mops","","","Edward don","",""
"MOP HEAD 18 OZ LRG ROUGH SURF CTN WHT","Head Mop.","Cotton","","1029896","f3a33b8e-4420-4bf0-898b-a8621b33fe98","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029896.JPG","","www.don.com/product/1029896","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Looped End Mops","","","Edward don","",""
"MOP HEAD MED TUBE MICROFIBER GRN","Meduim Mop Head. Can increase employee productivity by over 50%. Reduce chemical and water consumption by over 70%. Color-coded to prevent cross-contamination. Promote employee safety and a healthy environment. Lasts up to 500 laundry cycles.","Microfiber","","1030677","8e9408ff-c4be-4725-8750-38aca6de86a2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1030677.JPG","","www.don.com/product/1030677","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Cut End Mops","","","Edward don","",""
"MOP HEAD LRG TUBE MICROFIBER BLU","Large Mop Head. Can increase employee productivity by over 50%. Reduce chemical and water consumption by over 70%. Color-coded to prevent cross-contamination. Promote employee safety and a healthy environment. Lasts up to 500 laundry cycles.","Microfiber","","1030679","f7cd0c96-0eee-4dc5-a420-abdf007aa637","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1030679.JPG","","www.don.com/product/1030679","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Cut End Mops","","","Edward don","",""
"BUCKET WRINGER 5 GAL DIVIDED POLY GRY","Bucket Wringer.","Plastic","","1032066","f3fff53e-11a9-4c3f-ae73-106a60758878","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032066.JPG","","www.don.com/product/1032066","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Mop Bucket_Wringer Combos","Bucket_Wringer Combo Packs","","","Edward don","",""
"KIT HIGH DUSTER 30"" ALUM","Duster Kit. Can increase employee productivity by over 50%. Reduce chemical and water consumption by over 70%. Color-coded to prevent cross-contamination. Promote employee safety and a healthy environment. Lasts up to 500 laundry cycles.","Microfiber","","1032067","331e2dd3-408b-4aa9-a4c4-6d14f01980f2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032067.JPG","","www.don.com/product/1032067","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"FRAME POCKET 16X5"" OFF WHT ALUM","Pocket Frame.","Aluminum","","1032068","deafbc5f-22a3-4ef2-a57d-95995bcd3d5c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032068.JPG","","www.don.com/product/1032068","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"MOP POCKET 18"" MICROFIBER BLU","Pocket Mop.","Microfiber","","1032069","35adb5b6-08ad-4943-8b6a-ca1390debc6e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032069.JPG","","www.don.com/product/1032069","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Looped End Mops","","","Edward don","",""
"MOP POCKET 18"" MICROFIBER GRN","Pocket Mop.","Microfiber","","1032070","33bb9012-ef14-485f-841f-cecb35c7abdb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032070.JPG","","www.don.com/product/1032070","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Looped End Mops","","","Edward don","",""
"BUCKET DBL SYSTEM LRG PLAS","Bucket.","Plastic","","1032074","a9bb4486-9258-4f0f-9b88-0460bbe3bf40","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032074.JPG","","www.don.com/product/1032074","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Mop Buckets","All Mop Buckets","","","Edward don","",""
"MOP POCKET 18"" MICROFIBER RED","Pocket Mop.","Microfiber","","1032075","9f76e1ec-7374-4d58-b710-f6c1faf0b94e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032075.JPG","","www.don.com/product/1032075","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Looped End Mops","","","Edward don","",""
"MOP POCKET 18"" MICROFIBER YLW","Pocket Mop.","Microfiber","","1032076","d727ca1e-ba19-4f69-a4cf-663cf3be0dff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032076.JPG","","www.don.com/product/1032076","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Looped End Mops","","","Edward don","",""
"BUCKET SEALING 6 GAL WITH LID PLAS BLU","Sealing Bucket.","Plastic","","1032077","5e5178d0-c156-4129-9cd3-38be820173e8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032077.JPG","","www.don.com/product/1032077","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Mop Buckets","All Mop Buckets","","","Edward don","",""
"HANDLE TELESCOPE 39"" ALUM","Telescope Handle.","Aluminum","","1032078","f1f8afcd-ab39-4a6f-8419-acccf12cbceb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032078.JPG","","www.don.com/product/1032078","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"HANDLE DRAIN BRUSH SPARTA PLAS 36"" WHT","Handle.","Plastic","","1032517","2a62800e-c973-44bc-a87e-600126bab59e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032517.JPG","","www.don.com/product/1032517","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"PAN DUST LOBBY 12"" FLO-PAC PLAS BLK","Dustpan.","Plastic","","1032892","a715c042-d236-4ebc-b6d5-08bfa18706ba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1032892.JPG","","www.don.com/product/1032892","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"FRAME 18"" VELCRO PLAS GRY","Frame.","Plastic","","1033247","7c9b3293-87f2-47aa-8763-fe730bf5dd2a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033247.JPG","","www.don.com/product/1033247","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"HANDLE MOP 60"" JAW CLAMP PLAS YLW","Mop Handle.","Plastic","","1033249","52860637-692c-4756-b86b-23b594bac2d5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033249.JPG","","www.don.com/product/1033249","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Handles","Wet_Finish Mop Handles","","","Edward don","",""
"SLEEVE KIT REPLCMNT 21"" FOR HIGH DUSTER","Sleeve Kit. Greatly improves cleaning results while improving employee productivity. Reduces chemical and water consumption by up to 75%. Reduces particulates for improved interior air quality and reduced cross contamination. Color coded for easy training. Duster Kit includes flex frame, extension handle, microfiber duster sleeve and chenille sleeve. Sleeve Kit includes replacement sleeves only.","Microfiber","","1033250","3611de76-d5ae-477d-b95f-ea03c4f0cfc3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033250.JPG","","www.don.com/product/1033250","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"MOP 19"" VELCRO MICROFIBER BLU","Mop.","Microfiber","","1033253","711bb67b-6b7a-4089-92ff-828d1a2c1286","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033253.JPG","","www.don.com/product/1033253","","","","Microfiber And More LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
"HANDLE MOP 60"" METAL BLK","Mop Handle. Grips any size mop band and secures it to the handle for optimum performance. Vinyl-coated metal handle with swivel hang up cap. Metal heads feature standard wing nut construction with a quick release cross bar.","Metal","","1034901","ad0c05de-ca9b-4027-bc0c-8948f71cf123","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034901.JPG","","www.don.com/product/1034901","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Handles","Wet_Finish Mop Handles","","","Edward don","",""
"MOPHEAD 11'' WET MICROFIBER BLU","Wet Mop Head.","Microfiber","","1034955","74261ea2-80f8-4554-9bb9-b1c067d87a7a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034955.JPG","","www.don.com/product/1034955","","","","Newell Brands","Sanitation_Maintenance","Floor Mops_Buckets","Wet Finish Mops","Cut End Mops","","","Edward don","",""
"DUST PAN 12"" PLAS BLK","Dustpan.","Plastic","","1036910","48a17e8f-9375-4782-8c9b-39d87b965c2f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1036910.JPG","","www.don.com/product/1036910","","","","Cfs Brands LLC","Sanitation_Maintenance","Floor Mops_Buckets","Dust Mops_Frames_Handles","All Dust Mops","","","Edward don","",""
