"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"GLOVE MESH XL SS GREY","Metal Mesh Glove. Stainless steel construction; micro plasma welded, hermetically sealed rings with no gaps to trap soil. Self-adjusting fit. Warning Note: Gloves are cut-resistant, but not cut-proof—do not subject to high speed or serrated blades.","Stainless Steel","","1004832","e990f88f-86bf-4311-8b13-febb323bf237","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004832.JPG","","www.don.com/product/1004832","","","","Tucker Safety Products","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE STRING KNIT NATURAL LRG WHT","Glove.","Cloth","","1005166","25b04625-70d4-4384-b9ee-946ee2732651","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005166.JPG","","www.don.com/product/1005166","","","","Tradex Holdings LLC","Sanitation_Maintenance","Safety","Protective Gloves","Cotton_Polyester Gloves","","","Edward don","",""
"GLOVE CUT VALUE SERIES EXTRA LRG","Cut Resistant Glove.","Fabric","","1005610","4c344247-f60b-491f-a978-efd72e97ea89","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005610.JPG","","www.don.com/product/1005610","","","","Tucker Safety Products","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE CUT RESISTANT LRG WHT","Cut Resistant Glove. Blend of stainleess steel wire, Spectra® fiber, and specially engineered yarns provides the highest cut resistance. MicroGard™ antimicrobial treatment inhibits bacteria growth.. Colored elastic wristband indicates size and provides comfortable fit. Washable with bleach solution, fit right or left hand..","Cloth","","1008097","a92fbaf1-91df-48d2-a180-e88751f846f5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008097.JPG","","www.don.com/product/1008097","","","","Dexter-Russell","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE CUT RESISTANT MED WHT","Cut Resistant Glove. Blend of stainleess steel wire, Spectra® fiber, and specially engineered yarns provides the highest cut resistance. MicroGard™ antimicrobial treatment inhibits bacteria growth.. Colored elastic wristband indicates size and provides comfortable fit. Washable with bleach solution, fit right or left hand..","Cloth","","1008098","9416da5f-ac4c-4efe-9da7-3d94475da0a9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008098.JPG","","www.don.com/product/1008098","","","","Dexter-Russell","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE CUT RESISTANT SML WHT","Cut Resistant Glove. Blend of stainleess steel wire, Spectra® fiber, and specially engineered yarns provides the highest cut resistance. MicroGard™ antimicrobial treatment inhibits bacteria growth.. Colored elastic wristband indicates size and provides comfortable fit. Washable with bleach solution, fit right or left hand..","Cloth","","1008099","74e0a74b-8d20-415c-922e-bdd7d16601ae","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008099.JPG","","www.don.com/product/1008099","","","","Dexter-Russell","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE OYSTER SHUCKING RUBBER YLW","Oyster Shucking Glove.","Rubber","","1008805","9182d494-359e-49f3-a361-f25f3d1ebaf0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008805.JPG","","www.don.com/product/1008805","","","","Cfs Brands LLC","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"KIT FIRST AID 25 PERSON","First Aid Kit. Be prepared for an emergency with an OSHA compliant 25 person first aid kit. All contents are stored in a weathe-proof white metal box that is wall mountable. Contains adhesive tape, Aspirin, assorted bandages, first aid cream, scissors and more.","Plastic","","1009061","961be285-92da-46b1-ad9a-bc415d296138","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009061.JPG","","www.don.com/product/1009061","","","","Impact Products LLC","Sanitation_Maintenance","Safety","First Aid_Medical Supplies","All First Aid Supplies","","","Edward don","",""
"CONE SAFETY 20"" YLW","Safety Cone.","Vinyl","","1009827","33706819-b714-4d3f-b192-cd84ec4a2cb9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009827.JPG","","www.don.com/product/1009827","","","","Franklin Machine Products","Sanitation_Maintenance","Safety","Miscellaneous","Safety Equipment","","","Edward don","",""
"GLOVE CUT RESISTANT LRG SS","Cut Resistant Glove.","Stainless Steel","","1011627","5da6813f-d85d-4be8-8ea9-68f128b03fe6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011627.JPG","","www.don.com/product/1011627","","","","Victorinox Swiss Army","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GLOVE MESH XS SS","Metal Mesh Glove. Stainless steel construction; micro plasma welded, hermetically sealed rings with no gaps to trap soil. Self-adjusting fit. Warning Note: Gloves are cut-resistant, but not cut-proof—do not subject to high speed or serrated blades.","Stainless Steel","","1013475","50c5055a-c1c7-488f-a0fd-50583b54c6b8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013475.JPG","","www.don.com/product/1013475","","","","Tucker Safety Products","Sanitation_Maintenance","Safety","Protective Gloves","Cut Resistant Gloves","","","Edward don","",""
"GUIDE EMERGENCY FIRST AID","First Aid Guide.","Paper","","1013944","a14fc58b-d2d2-4d0f-b7b2-6b9e0dfae7dc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013944.JPG","","www.don.com/product/1013944","","","","Daymark Food Safety Systems","Sanitation_Maintenance","Safety","First Aid_Medical Supplies","All First Aid Supplies","","","Edward don","",""
