"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"COVER F/RECYCLING CAN 20-1/8X6-1/4"" BLU","Cover.","Plastic","","1009341","9b3b5a86-aaae-4ca4-96d1-1fbbb63291ed","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009341.JPG","","www.don.com/product/1009341","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Kitchen_Bar Trash Containers","Square Containers","","","Edward don","",""
"CAN TRASH 23 GAL PLAS GRN","Trash Can.","Plastic","","1009383","dc5f64eb-b33d-4ce3-ac5e-35b31d68aea9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009383.JPG","","www.don.com/product/1009383","","","","Cfs Brands LLC","Sanitation_Maintenance","Trash Containers_Urns","Kitchen_Bar Trash Containers","Slim_Half Round Containers","","","Edward don","",""
"CAN TRASH STEP 12 GAL STEEL RD W/LINER","Trash Can. Medical step cans comply with OSHA standards on bloodborne pathogens for the safe containment of infectious waste. Foot pedal for hands free operation. Steel construction with red powder coat finish. 1009551, 1009552 & 1009848 have rigid plastic lijers; all others have retainer bands to hold poly bag securely in place and out of sight. Piano hinge lid.","Steel","","1009551","a23972bc-39dd-4cdb-8a4b-22c3a7a3beff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009551.JPG","","www.don.com/product/1009551","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Step On Trash Containers","All Step on Cans","","","Edward don","",""
"CAN TRASH STEP 12 GAL STEEL WHT LINER","Trash Can. Medical step cans comply with OSHA standards on bloodborne pathogens for the safe containment of infectious waste. Foot pedal for hands free operation. Steel construction with red powder coat finish. 1009551, 1009552 & 1009848 have rigid plastic lijers; all others have retainer bands to hold poly bag securely in place and out of sight. Piano hinge lid.","Steel","","1009552","2f5b6550-84bc-49d6-8305-5eb6d4d3a231","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009552.JPG","","www.don.com/product/1009552","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Step On Trash Containers","All Step on Cans","","","Edward don","",""
"CAN TRASH CIGARETTE STEEL GRY","Trash Can.","Steel","","1009771","1810c3f1-e982-4e8a-9343-417a764bdab2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009771.JPG","","www.don.com/product/1009771","","","","Franklin Machine Products","Sanitation_Maintenance","Trash Containers_Urns","Smoking Urns_Floor Ashtrays","All Floor Urns_Ashtray","","","Edward don","",""
"CAN TRASH STEP 24 GAL STEEL WHT","Trash Can. Medical step cans comply with OSHA standards on bloodborne pathogens for the safe containment of infectious waste. Foot pedal for hands free operation. Steel construction with red powder coat finish. 1009551, 1009552 & 1009848 have rigid plastic lijers; all others have retainer bands to hold poly bag securely in place and out of sight. Piano hinge lid.","Steel","","1009848","c0414078-41c1-432c-9e1a-53fe3b6a8232","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009848.JPG","","www.don.com/product/1009848","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Step On Trash Containers","All Step on Cans","","","Edward don","",""
"CAN TRASH 1/2 RND 9 GAL SS","Trash Can.","Steel","","1011043","2e40ce4d-9ec8-4bda-8bfe-531b0f433375","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011043.JPG","","www.don.com/product/1011043","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Outdoor_Public Area Trash Cont","All Public Area","","","Edward don","",""
"BOX RECYCLING 14 GAL PLAS BLU","Recycling Box. Ideal container for curbside recycling programs has integrated handles for easy lifting. Designed to stack for storage and fit into space with high volume paper production such as mail rooms or near copiers.","Plastic","","1012360","8690dd32-d634-4065-88b6-01700f7bed67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012360.JPG","","www.don.com/product/1012360","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Outdoor_Public Area Trash Cont","All Public Area","","","Edward don","",""
"CAN TRASH CIGARETTE 39-2/5"" STEEL TAN","Trash Can.","Steel","","1012502","f33088d2-e3c5-4161-ba78-bab61ced2c21","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012502.JPG","","www.don.com/product/1012502","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Smoking Urns_Floor Ashtrays","All Floor Urns_Ashtray","","","Edward don","",""
"LID RECYCLING BOTTLE & CAN PLAS BLU","Lid.","Plastic","","1012532","a24ea086-3666-454b-a861-072d5d50fa7a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012532.JPG","","www.don.com/product/1012532","","","","Newell Brands","Sanitation_Maintenance","Trash Containers_Urns","Kitchen_Bar Trash Containers","Slim_Half Round Containers","","","Edward don","",""
