"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"LINER 43X47 15MIC HD 56GAL CLR","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","High Density Resin","","1041978","af9b1086-3c8c-4cc3-9a87-22e9c128ef93","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041978.JPG","","www.don.com/product/1041978","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","High Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 40X46 1.7MIL LD 40-45GAL CLR","Can Liner.","Low Density Polyethylene","","1041979","5553cd81-5a04-4253-ab31-9ee09322ae72","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041979.JPG","","www.don.com/product/1041979","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","30 to 50 Gallon Liners","","","Edward don","",""
"LINER 38X58 14MIC HD 55-60GAL CLR","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","High Density Resin","","1041980","a9127f93-e27e-4ed0-8852-549dfe132388","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041980.JPG","","www.don.com/product/1041980","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","High Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 38X58"" 2 MIL LD 55-60 GAL CLR","Can Liner.","Low Density Polyethylene","","1041981","e214ef0f-b283-4a9f-9de9-abde6d67d921","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041981.JPG","","www.don.com/product/1041981","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 38X58 1.5MIL LD 60GAL BLK","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","Low Density Polyethylene","","1041982","8e20c793-4074-4932-aa92-bb44ec3dbd8f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041982.JPG","","www.don.com/product/1041982","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 40X46 1.7MIL LD 45GAL BLK","Can Liner.","Low Density Polyethylene","","1041984","b9aee2ed-8253-4002-9157-49dec87fa951","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041984.JPG","","www.don.com/product/1041984","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","30 to 50 Gallon Liners","","","Edward don","",""
"LINER 38X58 22MIC HD 55-60 GAL CLR","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","High Density Resin","","1041985","fe94b310-ad39-46c5-a398-01870d8aaf4a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041985.JPG","","www.don.com/product/1041985","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","High Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 38X58 1.2MIL LD 60GAL  BLK","Can Liner.","Low Density Polyethylene","","1041989","47215838-b561-4434-85cb-445d6e22925e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041989.JPG","","www.don.com/product/1041989","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 38X58 1.7MIL LD 60GAL BLK","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","Low Density Polyethylene","","1041992","5814c826-fdf9-41ac-b1f5-a716e096fe82","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041992.JPG","","www.don.com/product/1041992","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","Linear Low Density Liners","Greater Than 50 Gallon Liners","","","Edward don","",""
"LINER 40X46 16MIC HD 40-45GAL CLR","Can Liner. Star bottom liners are ideal for heavy, bulky trash. Packaged in coreless rolls.","High Density Resin","","1041993","d9abc361-ed4c-43d9-a8fc-6d5850db05bb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041993.JPG","","www.don.com/product/1041993","","","","Berry Global - AEP","Sanitation_Maintenance","Trash Can Liners_Bags","High Density Liners","30 to 50 Gallon Liners","","","Edward don","",""
