"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"MAT 12X18"" SERVICE BLK","Service Mat. Non-slip, sure-grip all rubber construction. Cleans easily with warm water. Fits perfectly into bar trough.","Rubber","","1001154","dfb15b99-d594-4686-b5a4-20f522959b87","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001154.JPG","","www.don.com/product/1001154","","","","Spill-Stop Manufacturing","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT FLOOR ANTI-FATIGUE 27X36X3/8"" BLK","Floor Mat.","Vinyl","","1012202","130d9faa-26ed-443e-8021-3e87d5fd28b5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012202.JPG","","www.don.com/product/1012202","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT FLOOR 3X10' TEK-TOUGH JR RUBBER BLK","Floor Mat.","Rubber","","1013806","03621c8a-09c8-47ce-8020-9a70424936f7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013806.JPG","","www.don.com/product/1013806","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT FLOOR 3'X5'X1/2"" RUBBER BLK","Floor Mat.","Rubber","","1015256","90190096-0d7e-4852-a393-5a8be465ec3d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1015256.JPG","","www.don.com/product/1015256","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT 3X5"" ENTRANCE RIDGE RUBBER BLK","Entrance and Floor Mat.","SBR Rubber","","1016391","d1b464c5-571e-49c3-a8d8-a80e90583913","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016391.JPG","","www.don.com/product/1016391","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"FLOOR MAT 3X5' RUBBER RED","Heavy Duty Floor Mat.","SBR Rubber","","1016547","3c2797c5-515c-4509-a989-822671e26922","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016547.JPG","","www.don.com/product/1016547","","","","Cactus Mat Manufacturing","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT KIT 72X24"" METROMAX POLYMER BLK","Mat Kit.","Polymer","","1017280","b2d6dd69-dda4-43da-806e-6b27161e5625","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017280.JPG","","www.don.com/product/1017280","","","","Intermetro Industries","Sanitation_Maintenance","Floor Mats","Miscellaneous","Floor Mats_Runners","","","Edward don","",""
"MAT BAR 60"" BEVELED EDGE RUBBER BLK","Bar Mat.","SBR Rubber","","1018063","572296c4-11e6-4ff6-9962-78287764412b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1018063.JPG","","www.don.com/product/1018063","","","","San Jamar","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Proof Mats","","","Edward don","",""
"MAT FLOOR 60"" KITCHEN BEVELED EDGE RUBBE","Ultra Kitchen Mat.","SBR Rubber","","1018064","5cff077e-7cb7-4e34-acb1-ca4a70942543","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1018064.JPG","","www.don.com/product/1018064","","","","San Jamar","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Proof Mats","","","Edward don","",""
"MAT FLOOR 3X5'X1/2"" GREASE RESIS RED SBS","Floor Mat - Lightweight.","SBR Rubber","","1019235","6b5cd30c-a30b-4ac3-af5a-90b960d32339","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1019235.JPG","","www.don.com/product/1019235","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Resistant Mats","","","Edward don","",""
"MAT FLOOR 4'X6' ATLANTIC OLEFIN VINYL BL","Floor Mat. Designed for light to medium foot traffic areas including entrances and lobbies—a step above commodity entrance matting. Durable, stain-resistant 100% Olefin® fibers provide moisture and dirt retention at entrances and passageways, reducing slip hazards and floor care maintenance. Vinyl non-slip backing helps to minimize movement.","Olefin","","1026604","c9b59715-5b6c-45d7-b50b-396a4aa008fd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026604.JPG","","www.don.com/product/1026604","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT FLOOR 4'X8' ATLANTIC OLEFIN VINYL BL","Floor Mat.","Olefin","","1026605","1e313eb8-f953-4ff3-8078-fedaafcef1c6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026605.JPG","","www.don.com/product/1026605","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT ENTRANCE 3'X10' WATER PROF CHARCOAL","Entrance Mat.","","","1029643","0ca4df11-47ec-4e63-bf58-63dcd6273693","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029643.JPG","","www.don.com/product/1029643","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT FLOOR 3'X10' ATLANTIC OLEFIN FIBER B","Carpet Matting.","Polypropylene","","1040092","5b0e9cb8-da3c-4e09-9020-a4c91e9aaeb6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1040092.JPG","","www.don.com/product/1040092","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT ANTI FATIGUE 3'X5'X3/8'' BLK PVC","Mat.","PVC","","1040828","315b066b-688f-4f2f-87a1-817412b70940","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1040828.JPG","","www.don.com/product/1040828","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT BAR VERSA MAT 12 PK CLR","Bar Mat.","Rubber","","1041382","23b9a147-fdec-45c6-a5b0-d8cc1d7f8b56","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1041382.JPG","","www.don.com/product/1041382","","","","San Jamar","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Resistant Mats","","","Edward don","",""
"MAT FLOOR 3'X5'X3/4"" DRAINAGE RUBBER BLK","Floor Mat.","Rubber","","1042597","f3da1091-7e1c-414a-9b8c-7f5629810cdf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042597.JPG","","www.don.com/product/1042597","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Drainage Mats","","","Edward don","",""
"MAT FLOOR 3X5' CHALLENGER T25 RED","Floor Mat.","Rubber","","1043994","4d66a4a5-b046-4155-9180-25903a3196e7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1043994.JPG","","www.don.com/product/1043994","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Drainage Mats","","","Edward don","",""
"MAT ANTI-MICRO 39X39X7/8"" RUBBER RED","Grease Resistant Mat.","Nitrile","","1045767","ee5bb8c2-3195-4fc2-b179-bca17910b1b0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045767.JPG","","www.don.com/product/1045767","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Resistant Mats","","","Edward don","",""
"MAT ANTI-MICRO 39X39X7/8"" RUBBER BRN","Grease Resistant Mat.","Nitrile","","1045768","241ebcfc-1f49-4586-8568-9e3fe665590c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045768.JPG","","www.don.com/product/1045768","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Grease Resistant Mats","","","Edward don","",""
"MAT FLOOR ANTI-FATIGUE 2X3' VINYL COAL","Floormat.","","","1046989","74e57fcd-eb2e-4297-bc92-5978b7fcceac","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1046989.JPG","","www.don.com/product/1046989","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"RAMP MAT ATTACHABLE FEMALE 3'","Ramp.","","","1047601","f3acf0c8-834a-45e1-9ef9-6745aef95a67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1047601.JPG","","www.don.com/product/1047601","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Miscellaneous","Floor Mats_Runners","","","Edward don","",""
"RAMP MAT ATTACHABLE MALE 3'","Ramp.","","","1047602","96665a91-437b-4370-8e86-5b09b99a6f66","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1047602.JPG","","www.don.com/product/1047602","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Miscellaneous","Floor Mats_Runners","","","Edward don","",""
"MAT FLOOR ANTI FATIGUE 39X19-1/2"" BLK","Mat.","","","1047725","a8eb1e84-4900-4619-9e46-fda1ec13dbec","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1047725.JPG","","www.don.com/product/1047725","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Anti Fatigue Floor Mats","All Anti Fatigue Mats","","","Edward don","",""
"MAT FLOOR 39X29-1/4"" BLK","Mat.","Nitrile","","1048960","a9eed4b4-2645-4cb4-87d6-a749bcdf008a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1048960.JPG","","www.don.com/product/1048960","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Kitchen_Bar Floor Mats","Drainage Mats","","","Edward don","",""
"RUNNER CARPET 3X60' RED/BLACK","Mat.","Vinyl","","1056113","105115f9-f3ec-45ef-9d41-634bb9e5c04b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056113.JPG","","www.don.com/product/1056113","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Carpeted Surface Mats","","","Edward don","",""
"MAT 24X32X3/8"" FINGER SCRAPE BLK","Mat. Molded rubber bristles grip and hold dirt while providing a slip resistant surface. Molded beveled edging on all four sides creates a retention dam to trap moisture while reducing trip hazards. Remains flexible in cold temperatures.","Vinyl","","1100980","784e9b77-b11e-4079-a556-c56b36adb93f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100980.JPG","","www.don.com/product/1100980","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 3'X5'X1/4"" RIDGE SCRAPER BLK","Mat. Low profile rubber mat for door clearance. Raised bar design scrapes debris from shoes. Easy to clean. Raised edge contains spills.","Vinyl","","1100981","eaaa3aa1-5744-4aaf-abad-b7bd09a42173","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100981.JPG","","www.don.com/product/1100981","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 4'X6'X1/4"" RIDGE SCRAPER BLK","Mat. Low profile rubber mat for door clearance. Raised bar design scrapes debris from shoes. Easy to clean. Raised edge contains spills.","Vinyl","","1100982","da6e6ae0-091c-48a5-9093-bc0a5f68c369","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100982.JPG","","www.don.com/product/1100982","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 3'X10'X1/4"" RIDGE SCRAPER BLK","Mat. Low profile rubber mat for door clearance. Raised bar design scrapes debris from shoes. Easy to clean. Raised edge contains spills.","Vinyl","","1100983","becbf17f-5614-45f3-99c0-d1828e60fdb4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100983.JPG","","www.don.com/product/1100983","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 3'X5'X3/8"" WATER MASTER BRN","Mat. Designed for use in medium to heavy traffic areas. Raised, crushproof waffle design aggressively scrapes and cleans while rubber-edged perimeter entraps dirt and moisture for superior water and soil control. Molded rubber cleats on the underside of the mat grip underlying surfaces and minimizes mat movement. Stain and fade resistant fiber to keep colors sharp and the mat looking like new. Highly recommended for Green Cleaning applications.","Vinyl","","1100984","6032c0d0-3adf-4d53-872e-3cc3be68d1e6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100984.JPG","","www.don.com/product/1100984","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 3'X5'X3/8"" WATER MASTER BLU","Mat. Designed for use in medium to heavy traffic areas. Raised, crushproof waffle design aggressively scrapes and cleans while rubber-edged perimeter entraps dirt and moisture for superior water and soil control. Molded rubber cleats on the underside of the mat grip underlying surfaces and minimizes mat movement. Stain and fade resistant fiber to keep colors sharp and the mat looking like new. Highly recommended for Green Cleaning applications.","Vinyl","","1100985","b6fb85bd-598b-49b5-b3be-fe63e9a3c2c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100985.JPG","","www.don.com/product/1100985","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
"MAT 4'X6'X3/8"" WATER MASTER BRN","Mat. Designed for use in medium to heavy traffic areas. Raised, crushproof waffle design aggressively scrapes and cleans while rubber-edged perimeter entraps dirt and moisture for superior water and soil control. Molded rubber cleats on the underside of the mat grip underlying surfaces and minimizes mat movement. Stain and fade resistant fiber to keep colors sharp and the mat looking like new. Highly recommended for Green Cleaning applications.","Vinyl","","1100986","a30600e6-ed62-4d9e-a6a7-c2135421ac15","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1100986.JPG","","www.don.com/product/1100986","","","","Justrite Safety Group","Sanitation_Maintenance","Floor Mats","Entrance Mats_Runners","Plastic_Scraper Surface Mats","","","Edward don","",""
