"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"COAT EXEC W/COOL VENT XXL WHT","Executive Coat. Combed cotton-poly blend with cool vent box pleat back. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006306","0bd46fa5-657c-44cb-a94e-f760b782616d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006306.JPG","","www.don.com/product/1006306","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT EXEC W/COOL VENT LRG WHT","Executive Coat. Combed cotton-poly blend with cool vent box pleat back. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006307","daa5faa6-8046-41fd-85e2-31ef1add7046","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006307.JPG","","www.don.com/product/1006307","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT EXEC W/COOL VENT MED WHT","Executive Coat. Combed cotton-poly blend with cool vent box pleat back. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006308","aff800ec-c0e2-4405-ad42-d1d9f3bd7c74","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006308.JPG","","www.don.com/product/1006308","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT EXEC W/COOL VENT SML WHT","Executive Coat. Combed cotton-poly blend with cool vent box pleat back. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006309","2f7a241e-82e3-4f5c-bb49-2335907a42f4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006309.JPG","","www.don.com/product/1006309","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT EXEC W/COOL VENT XL WHT","Executive Coat. Combed cotton-poly blend with cool vent box pleat back. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006310","58a29fdd-f422-4aeb-9502-e0033163d188","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006310.JPG","","www.don.com/product/1006310","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT BASIC CHEF W/COOL VENT LRG BLK","Basic Chef Coat. Traditional-cut, lightweight, cotton-poly twill with cool vent back panel. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006312","da692c6b-9e44-47f1-b26a-7fa0d4470a0c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006312.JPG","","www.don.com/product/1006312","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT BASIC CHEF W/COOL VENT MED BLK","Basic Chef Coat. Traditional-cut, lightweight, cotton-poly twill with cool vent back panel. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006313","c4ea0d95-6c00-4a23-a349-4b4deaf9f1e1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006313.JPG","","www.don.com/product/1006313","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT BASIC CHEF W/COOL VENT SML BLK","Basic Chef Coat. Traditional-cut, lightweight, cotton-poly twill with cool vent back panel. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006314","99fb009a-bda3-424c-9e43-5bf702d3a65b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006314.JPG","","www.don.com/product/1006314","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT BASIC CHEF W/COOL VENT XL BLK","Basic Chef Coat. Traditional-cut, lightweight, cotton-poly twill with cool vent back panel. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006315","e72f3fca-5b75-41cd-b603-601dff2b7769","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006315.JPG","","www.don.com/product/1006315","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
"COAT BASIC CHEF W/COOL VENT XXL BLK","Basic Chef Coat. Traditional-cut, lightweight, cotton-poly twill with cool vent back panel. Short sleeves. Left inset and thermometer pockets.","Poly/Cotton Blend","","1006316","e178617f-7f13-430f-a2ac-9e52300d315f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006316.JPG","","www.don.com/product/1006316","","","","Chef Works","Apparel","Coats","Chefs_Cooks_Server Coats","All Coats","","","Edward don","",""
