"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PANTS CHEF BASIC BLACK LARGE","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001602","c04be3e5-cdf6-4177-9300-96aa9d5a3270","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001602.JPG","","www.don.com/product/1001602","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BASIC BLACK MEDIUM","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001603","f4444601-a77d-417b-9829-bc3cd7c55cae","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001603.JPG","","www.don.com/product/1001603","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BASIC BLACK SMALL","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001604","d6e2fa7f-89b2-4bd3-b8e9-797fb541e618","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001604.JPG","","www.don.com/product/1001604","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BASIC BLACK X-LARGE","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001605","4706b6d6-f9b3-473e-bb04-ce82312bf987","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001605.JPG","","www.don.com/product/1001605","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BLK/WHT CHECK LARGE","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001606","10988745-b873-468d-8cf6-9016d4b28615","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001606.JPG","","www.don.com/product/1001606","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BLK/WHT CHECK MEDIUM","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001607","43d101c6-e2b5-4505-9d87-a7609fa5926f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001607.JPG","","www.don.com/product/1001607","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BLK/WHT CHECK SMALL","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001608","89d5d24b-3a85-4e55-b5fa-649ef8835414","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001608.JPG","","www.don.com/product/1001608","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BLK/WHT CHECK XL","Chef Pants. Polyester-cotton blend; zipper fly. Two front pockets and one back pocket.","Poly/Cotton Blend","","1001609","756c64ed-e608-4947-bf5a-9aec72b36833","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001609.JPG","","www.don.com/product/1001609","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON 2XL BLK","Pants.","100% Cotton","","1003585","cba4d710-7930-4d82-bd6c-dab8a6adeba4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003585.JPG","","www.don.com/product/1003585","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON 3XL BLK","Pants.","100% Cotton","","1003586","d10ae4cc-f8a1-49d6-b879-a849d435bdea","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003586.JPG","","www.don.com/product/1003586","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON LRG BLK","Pants.","100% Cotton","","1003588","8feafd9c-e79f-45ce-8cc2-2dcae6c71a16","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003588.JPG","","www.don.com/product/1003588","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON MED BLK","Pants.","100% Cotton","","1003589","f3d9199e-a5f2-4204-bbd5-9df5cdc3613f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003589.JPG","","www.don.com/product/1003589","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON SML BLK","Pants.","100% Cotton","","1003590","648894e0-6723-4248-ad61-3fc287ab0a59","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003590.JPG","","www.don.com/product/1003590","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON XL BLK","Pants.","100% Cotton","","1003591","ca497573-dcfa-4335-89d8-e528cd6e3fe3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003591.JPG","","www.don.com/product/1003591","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS YARN DYED COTTON XS BLK","Pants.","100% Cotton","","1003592","ea706785-e923-4b1b-9405-9e7a879402bc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003592.JPG","","www.don.com/product/1003592","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY CHALKSTRIPE XXL BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006311","f164a846-1e3f-4528-a4f6-07b1ce832324","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006311.JPG","","www.don.com/product/1006311","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY PINSTRIPE LRG BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006322","817be806-8a06-4cac-8465-8d21b75e370d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006322.JPG","","www.don.com/product/1006322","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY PINSTRIPE MED BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006323","0ba3a67f-27b3-4b7d-b363-22d3c6cb1410","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006323.JPG","","www.don.com/product/1006323","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY PINSTRIPE SML BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006324","1ca4da37-4402-4d4f-8510-38051e5a3c44","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006324.JPG","","www.don.com/product/1006324","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY PINSTRIPE XL BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006325","12df20ba-355d-4174-b440-4b93f83d7b52","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006325.JPG","","www.don.com/product/1006325","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS BAGGY PINSTRIPE XXL BLK","Baggy Pants. Poly-cotton blend. Elastic waist with drawstring, tapered legs, two front pockets and one back pocket.","Poly/Cotton Blend","","1006326","c778c4d1-dd67-4ce9-a833-ab665689a5c3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006326.JPG","","www.don.com/product/1006326","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT 3 XL CHEF BAGGY BLK","Chef Pants.","100% Cotton","","1016140","d21b864d-a09d-4a0e-b23b-cb2af4b6ce63","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016140.JPG","","www.don.com/product/1016140","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT 2XL BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033241","c5937d3d-429f-4fbb-9d81-8d7984f6164d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033241.JPG","","www.don.com/product/1033241","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT LRG BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033242","c453bfb9-c8a8-4870-b962-cf512b1e050a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033242.JPG","","www.don.com/product/1033242","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT MED BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033243","d36afb4f-6ff9-4d8a-8f4c-b642f216d2d9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033243.JPG","","www.don.com/product/1033243","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT SML BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033244","eb042373-2eae-46e5-950c-007dbb34734f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033244.JPG","","www.don.com/product/1033244","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT XL BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033254","fce92994-40e9-4de7-b776-e58703c6e748","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033254.JPG","","www.don.com/product/1033254","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT XS BAGGY BETTER BUILT SOLID BLK","Baggy Pants.","Poly/Cotton Blend","","1033255","192d135e-1694-46c6-8c54-34e1403c0508","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033255.JPG","","www.don.com/product/1033255","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BASIC LIGHTWEIGHT BLK LRG","Pant. 65/35 poly/cotton 'lite' twill fabric. Elastic waistband with zipper fly. Two side seam pockets, two oversized back pockets.","Poly/Cotton Blend","","1042027","9d516acc-c0ab-4a6d-b93c-ba424b639f48","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042027.JPG","","www.don.com/product/1042027","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BASIC LIGHTWEIGHT BLK MED","Pant. 65/35 poly/cotton 'lite' twill fabric. Elastic waistband with zipper fly. Two side seam pockets, two oversized back pockets.","Poly/Cotton Blend","","1042029","4aaf3719-e6dc-49f5-bd92-fe00a63bb7ff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042029.JPG","","www.don.com/product/1042029","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BASIC LIGHTWEIGHT BLK SML","Pant. 65/35 poly/cotton 'lite' twill fabric. Elastic waistband with zipper fly. Two side seam pockets, two oversized back pockets.","Poly/Cotton Blend","","1042030","213309ca-0e85-4a3b-8181-cc84e3c5ccee","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042030.JPG","","www.don.com/product/1042030","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BASIC LIGHTWEIGHT BLK XL","Pant. 65/35 poly/cotton 'lite' twill fabric. Elastic waistband with zipper fly. Two side seam pockets, two oversized back pockets.","Poly/Cotton Blend","","1042032","e7f16450-6fdb-483c-9624-c8e0991f81f9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042032.JPG","","www.don.com/product/1042032","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BASIC LIGHTWEIGHT BLK XS","Pant. 65/35 poly/cotton 'lite' twill fabric. Elastic waistband with zipper fly. Two side seam pockets, two oversized back pockets.","Poly/Cotton Blend","","1042033","7bc74c06-74f0-4bcf-a7a4-62d020ac31f5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042033.JPG","","www.don.com/product/1042033","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BAGGY COOL VENT BLK LRG","Pant. Stylish chef pants that bring comfort, function, and fashion together. 4.6 oz 65/35 poly/cotton ""lite"" twill fabric. Cool Vent™ pants (1042039) have Cool Vent™ inserts on side seam, back of knee, and back pockets for cool comfort.","Poly/Cotton Blend","","1042039","bb5f6970-21e4-4ede-a16c-1a6ceb4fb260","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042039.JPG","","www.don.com/product/1042039","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BAGGY COOL VENT BLK MED","Pant.","Poly/Cotton Blend","","1042041","3becbca4-908e-454e-9264-7bd90f8b2eb4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042041.JPG","","www.don.com/product/1042041","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BAGGY COOL VENT BLK SML","Pant.","Poly/Cotton Blend","","1042042","6c688b86-b20b-490e-8769-8fcfe4698898","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042042.JPG","","www.don.com/product/1042042","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BAGGY COOL VENT BLK XL","Pant.","Poly/Cotton Blend","","1042044","06d92a65-3f36-4358-b111-6046bf33f841","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042044.JPG","","www.don.com/product/1042044","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANT BAGGY COOL VENT BLK XS","Pant.","Poly/Cotton Blend","","1042045","f312e111-7a58-46e9-b5c1-d4d8c493ee86","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1042045.JPG","","www.don.com/product/1042045","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO 2XLRG COTTON BLK","Pants.","100% Cotton","","1053518","9017c6c9-ca7f-4430-90c5-1b3e7d4e1ff0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053518.JPG","","www.don.com/product/1053518","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO 3XLRG COTTONBLK","Pants.","100% Cotton","","1053519","8093efa3-aa73-4a00-9d12-783111e863f7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053519.JPG","","www.don.com/product/1053519","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO LRG COTTON BLK","Pants.","100% Cotton","","1053520","dfe8797d-cb04-424b-95c5-f682529463d8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053520.JPG","","www.don.com/product/1053520","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO MED COTTON BLK","Pants.","100% Cotton","","1053521","7def5c61-a680-4fc6-b75e-f635c404fdaf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053521.JPG","","www.don.com/product/1053521","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO SML COTTON BLK","Pants.","100% Cotton","","1053522","57902781-09ec-4fa4-93a5-626d76d7a305","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053522.JPG","","www.don.com/product/1053522","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO XLRG COTTON BLK","Pants.","100% Cotton","","1053523","4352a966-7f3a-4cda-83da-4e551f8eca7e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053523.JPG","","www.don.com/product/1053523","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CARGO XSML COTTON BLK","Pants.","100% Cotton","","1053524","3a770a46-e00e-4714-8e4b-9620922d5ef2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1053524.JPG","","www.don.com/product/1053524","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF BAGGY X- SMALL BLK","Pants.","Fabric","","1056867","73d504ff-82ef-4644-8c29-e4a706a90ee3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1056867.JPG","","www.don.com/product/1056867","","","","Chef Works","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF MIL UNISEX HOUNDS TOOTH XL","Chef Pants.","65/35 Poly/Cotton Blend","","1106821","f67f993b-07b4-4d0d-a467-28624a98de70","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1106821.JPG","","www.don.com/product/1106821","","","","Mercer Tool Corp","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
"PANTS CHEF MIL UNISEX HOUNDS TOOTH 2XL","Chef Pants.","65/35 Poly/Cotton Blend","","1106822","7a2b91c1-aa3a-468d-a623-521257a91775","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1106822.JPG","","www.don.com/product/1106822","","","","Mercer Tool Corp","Apparel","Pants","Chefs_Cooks_Server Pants","All Pants","","","Edward don","",""
