"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"SHIRT COOK COOL VENT BLK LRG","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001582","c853e53b-b175-4829-a017-c1a0a64f8908","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001582.JPG","","www.don.com/product/1001582","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT BLK MED","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001583","997c1680-7149-4625-a0ce-1aac450150fd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001583.JPG","","www.don.com/product/1001583","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT BLK SML","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001584","4603c694-4ca4-4134-a8fc-fd43d69c9e92","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001584.JPG","","www.don.com/product/1001584","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT BLK XL","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001585","cdb2e844-3a9b-4621-af13-239546b6ed98","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001585.JPG","","www.don.com/product/1001585","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT WHT LRG","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001586","c4f254f0-bcdf-4f5f-acae-79edaf7fa57b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001586.JPG","","www.don.com/product/1001586","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT WHT MED","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001587","ea54be30-f4a5-4a2d-9191-028f9d7a19d9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001587.JPG","","www.don.com/product/1001587","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT WHT SML","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001588","2ae82182-aee4-405b-ab3e-fb63a7bea175","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001588.JPG","","www.don.com/product/1001588","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK COOL VENT WHT XL","Cook Shirt. 65/35 polyester-cotton blend with cool vent panels under sleeves and sides. Short sleeves available in black or white.","Poly/Cotton Blend","","1001589","19adcfc9-22aa-4fb5-9733-2c3e22b68753","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001589.JPG","","www.don.com/product/1001589","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK BLACK LRG","Cook Shirt. 65/35 polyester-cotton blend available in a variety of colors in sizes S to X Large. Short sleeves.","Poly/Cotton Blend","","1001590","587c08b9-e61b-442a-8739-faf50a3dc79c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001590.JPG","","www.don.com/product/1001590","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
"SHIRT COOK BLACK MEDIUM","Cook Shirt. 65/35 polyester-cotton blend available in a variety of colors in sizes S to X Large. Short sleeves.","Poly/Cotton Blend","","1001591","f5ab4ee2-4f5e-4ac1-9b2e-0d5a9ed66467","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001591.JPG","","www.don.com/product/1001591","","","","Chef Works","Apparel","Shirts","Chefs_Cooks_Servers Shirts","All Shirts","","","Edward don","",""
