"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TIE BOW BLK","Bow Tie.","Poly/Cotton Blend","","1008471","fb1db7d5-ee6e-43e7-980a-cd0a54cc0efc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008471.JPG","","www.don.com/product/1008471","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"TIE NECK DIAGONAL SLV","Tie.","Poly/Cotton Blend","","1008475","ba5f1014-0857-4c1d-9f51-b7535cb45036","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008475.JPG","","www.don.com/product/1008475","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MEN'S BASIC 2X-LRG RED","Vest.","Poly/Cotton Blend","","1011369","377ca1fa-cd1e-4e99-8806-ba933c9fa383","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011369.JPG","","www.don.com/product/1011369","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MEN'S BASIC LRG RED","Vest.","Poly/Cotton Blend","","1011370","e400320f-6c4b-49a0-8cbe-4f119086f1a0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011370.JPG","","www.don.com/product/1011370","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MEN'S BASIC MED RED","Vest.","Poly/Cotton Blend","","1011371","3d237ce0-b9c2-4a1f-8795-30785de00226","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011371.JPG","","www.don.com/product/1011371","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MEN'S BASIC X-LRG RED","Vest.","Poly/Cotton Blend","","1011372","66351f12-e9be-4b6a-83a4-1f306c3c7830","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011372.JPG","","www.don.com/product/1011372","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST WOMEN'S BASIC MED RED","Vest.","Poly/Cotton Blend","","1011382","a0324e4e-0557-4e79-9b01-1ca5e3062866","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011382.JPG","","www.don.com/product/1011382","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST WOMEN'S BASIC SML RED","Vest.","Poly/Cotton Blend","","1011383","c3d8f71d-70e2-4e61-b516-9682d0b3a958","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011383.JPG","","www.don.com/product/1011383","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST WOMEN'S BASIC X-LRG RED","Vest.","Poly/Cotton Blend","","1011384","41e91209-b9ba-438b-aec4-2be4a814ddd2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011384.JPG","","www.don.com/product/1011384","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST WOMEN'S BASIC X-SML RED","Vest.","Poly/Cotton Blend","","1011385","c0a9a87f-2038-41e7-9d95-d06a3dd27973","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1011385.JPG","","www.don.com/product/1011385","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"BOW TIE 2"" BLK","Bowtie.","100% Polyester","","1110932","4ed78c4d-c970-4d65-9f73-0aa391a3e6a1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1110932.JPG","","www.don.com/product/1110932","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MENS LRG BLK","Vest.","Polyester","","1112136","f6bc6662-b658-458b-b4a0-8c189fea4996","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1112136.JPG","","www.don.com/product/1112136","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MENS MED BLK","Vest.","Polyester","","1112137","06e22d69-2511-4ebd-bb95-3fdc8835e2af","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1112137.JPG","","www.don.com/product/1112137","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MENS SML BLK","Vest.","Polyester","","1112138","d46a1fd5-3b8f-4da0-ac46-bdf42e532802","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1112138.JPG","","www.don.com/product/1112138","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
"VEST MENS XS BLK","Vest.","Polyester","","1112140","e6a0e0ad-56fb-4598-95b2-35e44cea15a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1112140.JPG","","www.don.com/product/1112140","","","","Chef Works","Apparel","Uniforms","Chefs_Cooks_Server Uniforms","All Uniforms","","","Edward don","",""
