"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PLATTER 13-1/2"" FUTURA SANDSTONE BLK","Platter.","Cast Aluminum","","1000085","cc496d66-8901-42ab-8907-3be2dc1ca450","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000085.JPG","","www.don.com/product/1000085","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 13-1/2"" FUTURA SANDSTONE WHT","Platter.","Cast Aluminum","","1000086","fe9904ac-fd66-45a9-8abd-30fb4f06c0aa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000086.JPG","","www.don.com/product/1000086","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 18-1/4"" FUTURE SANDSTONE BLK","Platter.","Cast Aluminum","","1000087","15a3101b-0dd1-4e5f-bf2f-faf9ef2c7ab1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000087.JPG","","www.don.com/product/1000087","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 18-1/4"" FUTURA SANDSTONE WHT","Platter.","Cast Aluminum","","1000088","949af4b3-99ef-4b47-aa23-e97f9655772c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000088.JPG","","www.don.com/product/1000088","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 13.5X.2.5"" FUTURA SANDSTONE BLK","Platter.","Cast Aluminum","","1000089","54225ec0-50c1-438a-b239-a86bf42afaff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000089.JPG","","www.don.com/product/1000089","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 13.5X2.5"" FUTURA SANDSTONE WHT","Platter.","Cast Aluminum","","1000090","e8d091f0-519c-45c7-b36d-0b8269919ad3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000090.JPG","","www.don.com/product/1000090","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 18.25X2.5"" FUTURA SANDSTONE BLK","Platter.","Cast Aluminum","","1000091","c91d476c-61ce-4538-95af-644a5e09a5e7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000091.JPG","","www.don.com/product/1000091","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 18.25X2.5"" FUTURA SANDSTONE WHT","Platter.","Cast Aluminum","","1000092","6107551d-db66-4b39-b6ce-85feccc5dc38","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000092.JPG","","www.don.com/product/1000092","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"BOWL SALAD QUEEN ANN SANDSTONE BLK","Bowl.","Cast Aluminum","","1000093","4841db8e-2f5f-47f1-8827-0de99a0446ca","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000093.JPG","","www.don.com/product/1000093","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"SKILLET PIZZA 16"" CAST ALUM PEWTER GLO","Pizza Skillet.","Cast Aluminum","","1000149","b6266f15-1093-4131-b294-4ceb95f52366","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000149.JPG","","www.don.com/product/1000149","","","","Bon Chef","Buffet Service","Display Trays_Platters","Aluminum Trays","Stamped Aluminum Trays","","","Edward don","",""
"TRAY LINER 13"" RUBBER BLK","Tray Liner.","ABS","","1000510","27a1f7b3-3ba6-4d21-9c47-0b6601528644","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000510.JPG","","www.don.com/product/1000510","","","","American Metalcraft","Buffet Service","Display Trays_Platters","Display Tray Covers","All Display Tray Covers","","","Edward don","",""
"CASSEROLE 20 OZ 6X8"" CAST ALUM WHT","Serving Dish.","Cast Aluminum","","1000514","83a8c2d5-d08a-4ee6-9af6-e2a1b58b1b05","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000514.JPG","","www.don.com/product/1000514","","","","Bon Chef","Buffet Service","Display Trays_Platters","Bon Chef","All","","","Edward don","",""
"PLATTER 19X7 CAST ALUM BLK","Buffet Platter.","Cast Aluminum","","1000547","e389783d-cabc-4f9f-942c-ff8de8e7f01a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000547.JPG","","www.don.com/product/1000547","","","","G.E.T","Buffet Service","Display Trays_Platters","Aluminum Trays","Cast Aluminum Trays","","","Edward don","",""
