"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"SPOON ICED TEA CORAL 18/0 SS","Spoon.","18/0 Stainless Steel","","1000404","822cc576-0866-4b82-8603-1ae21d563b4f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000404.JPG","","www.don.com/product/1000404","","","","World Tableware","Flatware","18_0 Select Flatware","World","Coral","","","Edward don","",""
"SPOON BOUILLON VENICE 18/0 SS","Spoon. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001251","0da27e7f-692a-48e3-8aeb-4c7f59bd2c54","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001251.JPG","","www.don.com/product/1001251","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"SPOON DEMITASSE VENICE 18/0 SS","Spoon. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001253","0579fc27-e425-40e6-9384-106073144053","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001253.JPG","","www.don.com/product/1001253","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"SPOON DESSERT VENICE 18/0 SS SOUP","Spoon. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001255","10e6bd44-a6ec-4502-ba69-41a23876e834","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001255.JPG","","www.don.com/product/1001255","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"FORK DINNER EURO VENICE 18/0 SS","Fork. Heavyweight, 18% stainless steel. Mirror finish.","18/0 Stainless Steel","","1001257","82fadf60-6629-45bb-97b7-cd7115909e5d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001257.JPG","","www.don.com/product/1001257","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"KNIFE DINNER VENICE 18/0 SS","Knife. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001259","3e65ddd4-6691-4ad1-a802-90a1225cdb47","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001259.JPG","","www.don.com/product/1001259","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"SPOON ICED TEA VENICE 18/0 SS","Spoon. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001261","c73a4aca-04f5-4c61-a695-2fbcb18513f1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001261.JPG","","www.don.com/product/1001261","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"FORK OYSTER VENICE 18/0 SS","Fork. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001262","91660205-9e1c-4839-bbf9-ace4541e93d7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001262.JPG","","www.don.com/product/1001262","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"FORK SALAD VENICE 18/0 SS","Fork. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001263","55bda8fc-6c62-49df-b7df-9ecbc1926e8f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001263.JPG","","www.don.com/product/1001263","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
"TABLESPOON VENICE 18/0 SS","Tablespoon. Heavyweight, 18% stainless steel. Mirror finish. Large European size and weight. Versatile, classic rim pattern looks great with any table setting.","18/0 Stainless Steel","","1001264","5ce43891-0bbf-4b78-b169-9aa89cc48692","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001264.JPG","","www.don.com/product/1001264","","","","Imco","Flatware","18_0 Select Flatware","Don","Venice","","","Edward don","",""
