"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TEASPOON ANTIQUE SP","Teaspoon.","Metal","","1006885","7fccca1d-5e43-4f45-a607-f870cc7fe044","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006885.JPG","","www.don.com/product/1006885","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"SPOON BOUILLON ANQTIQUE SP","Spoon.","Metal","","1006886","732fcc1b-2066-42d5-9deb-b3dee4b0f105","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006886.JPG","","www.don.com/product/1006886","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"FORK DINNER ANTIQUE SP","Fork.","Metal","","1006887","095cb93a-b755-45dc-8271-42ef88c211ba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006887.JPG","","www.don.com/product/1006887","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"FORK DESSERT ANTIQUE SP","Fork.","Metal","","1006889","f3f9d1b0-e18b-4405-964b-06d37341e6a0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006889.JPG","","www.don.com/product/1006889","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"FORK SALAD ANTIQUE SP","Fork.","Metal","","1006890","7fc5e8e6-b366-455a-ba43-15678ffa7f11","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006890.JPG","","www.don.com/product/1006890","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"KNIFE DINNER ANTIQUE SP","Knife.","Metal","","1006891","58c0c5a5-1ed8-4748-83d5-8d2104d1426a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006891.JPG","","www.don.com/product/1006891","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"KNIFE B&B ANTIQUE SP","Knife.","Metal","","1006892","eb438a35-9237-44ae-bbf9-87e5635fe091","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006892.JPG","","www.don.com/product/1006892","","","","World Tableware","Flatware","Silver Plated Flatware","World","Antique","","","Edward don","",""
"TEASPOON CORTLAND SP","Teaspoon.","Metal","","1006903","e908cf1a-57f0-4676-913c-c73f1ee7e318","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006903.JPG","","www.don.com/product/1006903","","","","World Tableware","Flatware","Silver Plated Flatware","World","Cortland","","","Edward don","",""
"SPOON DESSERT CORTLAND SP","Spoon.","Metal","","1006904","2540fd9a-9b1b-49f3-ae39-284246470994","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006904.JPG","","www.don.com/product/1006904","","","","World Tableware","Flatware","Silver Plated Flatware","World","Cortland","","","Edward don","",""
"SPOON BOUILLON CORTLAND SP","Spoon.","Metal","","1006905","5439e5cd-390a-4922-b6d4-4c2b9c1a4c5c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006905.JPG","","www.don.com/product/1006905","","","","World Tableware","Flatware","Silver Plated Flatware","World","Cortland","","","Edward don","",""
"FORK DESSERT CORTLAND SP","Fork.","Metal","","1006906","d3bdd130-8db2-4d38-9d31-26211aa97306","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006906.JPG","","www.don.com/product/1006906","","","","World Tableware","Flatware","Silver Plated Flatware","World","Cortland","","","Edward don","",""
"KNIFE UTILITY CORTLAND SP","Knife.","Metal","","1006907","6321ad0a-f774-47c7-9f83-74619e67ba7f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006907.JPG","","www.don.com/product/1006907","","","","World Tableware","Flatware","Silver Plated Flatware","World","Cortland","","","Edward don","",""
"TEASPOON KINGS SP","Teaspoon.","Stainless Steel","","1007068","15ca7251-904f-4151-bdb3-19bfd9174296","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007068.JPG","","www.don.com/product/1007068","","","","World Tableware","Flatware","Silver Plated Flatware","World","Kings","","","Edward don","",""
"SPOON DESSERT KINGS SP","Spoon.","","","1007070","e30282bb-908b-402e-a5af-b9b5cb9e9d2f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007070.JPG","","www.don.com/product/1007070","","","","World Tableware","Flatware","Silver Plated Flatware","World","Kings","","","Edward don","",""
"TABLESPOON KINGS SP","Tablespoon.","Metal","","1007072","adedf62e-83f0-4314-98be-377a546fc2df","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007072.JPG","","www.don.com/product/1007072","","","","World Tableware","Flatware","Silver Plated Flatware","World","Kings","","","Edward don","",""
