"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"KNIFE DINNER MONTEREY 18/0 SS","Knife.","18/0 Stainless Steel","","1000423","da6733f5-55e4-4443-ad70-ecd2b93896a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000423.JPG","","www.don.com/product/1000423","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Monterey","","","Edward don","",""
"SPOON BOUILLON BALANCE 18/0 SS","Spoon.","18/0 Stainless Steel","","1000518","6dac3abd-646e-4c87-8fa7-e96c99531360","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000518.JPG","","www.don.com/product/1000518","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Balance","","","Edward don","",""
"SPOON ICED TEA CHAMBERS 18/0 SS","Spoon.","18/0 Stainless Steel","","1000916","95b2568f-2406-48bb-83da-373ccdd259c2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000916.JPG","","www.don.com/product/1000916","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"FORK OYSTER/COCKTAIL CHAMBERS 18/0 SS","Fork.","18/0 Stainless Steel","","1000917","57499446-54ed-4008-90b0-30fec299c1e9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000917.JPG","","www.don.com/product/1000917","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"SPREADER BUTTER CHAMBERS 18/0 SS","Spreader.","18/0 Stainless Steel","","1000918","b96893cc-abce-4ce7-a553-6fa7b9febab5","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000918.JPG","","www.don.com/product/1000918","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"FORK DINNER EURO AMORE 18/0 SS","Fork.","18/0 Stainless Steel","","1000930","2257efe3-c1c0-4782-9e6e-1fea929bdd49","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000930.JPG","","www.don.com/product/1000930","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Amore","","","Edward don","",""
"FORK DINNER EURO CHAMBERS 18/0 SS","Fork.","18/0 Stainless Steel","","1000932","d6d1ba33-21c6-42b1-b726-0d060de2da6b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000932.JPG","","www.don.com/product/1000932","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"FORK DINNER EURO REFLECTIONS 18/0 SS","Fork.","18/0 Stainless Steel","","1000933","3bd2bab6-35b7-4a7e-82eb-9b9835b7ef00","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000933.JPG","","www.don.com/product/1000933","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Reflections","","","Edward don","",""
"SPOON DEMITASSE REFLECTIONS 18/0 SS","Spoon.","18/0 Stainless Steel","","1000934","4be88629-ec57-4755-a658-1f9c82ab57cc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000934.JPG","","www.don.com/product/1000934","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Reflections","","","Edward don","",""
"TEASPOON AMORE 18/0 SS","Teaspoon.","18/0 Stainless Steel","","1000935","db22e34d-19a8-41ec-9825-55d95081ec1f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000935.JPG","","www.don.com/product/1000935","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Amore","","","Edward don","",""
"SPOON BOUILLON AMORE 18/0 SS","Spoon.","18/0 Stainless Steel","","1000936","c40f5fa5-f340-4a83-a2c8-15f4859b19ff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000936.JPG","","www.don.com/product/1000936","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Amore","","","Edward don","",""
"SPOON SOUP/DESSERT AMORE 18/0 SS","Spoon.","18/0 Stainless Steel","","1000947","6a1ec6f2-4781-4aff-81a8-fb2c544dc8e9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000947.JPG","","www.don.com/product/1000947","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Amore","","","Edward don","",""
"TEASPOON MONTEREY 18/0 SS","Teaspoon.","18/0 Stainless Steel","","1000948","3ea81567-fe0b-4929-ae17-1136aed3e718","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000948.JPG","","www.don.com/product/1000948","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Monterey","","","Edward don","",""
"FORK DINNER MONTEREY 18/0 SS","Fork.","18/0 Stainless Steel","","1000949","a50190d5-6b0b-4599-8704-9393016041f2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000949.JPG","","www.don.com/product/1000949","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Monterey","","","Edward don","",""
"SPOON DESSERT MONTEREY 18/0 SS","Spoon.","18/0 Stainless Steel","","1000950","db453b0c-f8a6-4712-8ed4-40703aaa37fb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000950.JPG","","www.don.com/product/1000950","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Monterey","","","Edward don","",""
"KNIFE DINNER LISBON 18/0 SS","Knife.","18/0 Stainless Steel","","1002966","c7c82bc4-7721-4f97-b254-816d90d5d226","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002966.JPG","","www.don.com/product/1002966","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Lisbon","","","Edward don","",""
"KNIFE DINNER ACOLADE 18/0 SS","Knife.","18/0 Stainless Steel","","1004054","d9be24f2-af18-438c-b989-66850448c30f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004054.JPG","","www.don.com/product/1004054","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Accolade","","","Edward don","",""
"SPOON BOUILLON ACCOLADE 18/SS","Spoon.","18/0 Stainless Steel","","1004055","7f9b6871-4eb2-40e8-8fe4-6aae1c94fc62","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004055.JPG","","www.don.com/product/1004055","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Accolade","","","Edward don","",""
"TEASPOON ACOLADE 18/0 SS","Teaspoon.","18/0 Stainless Steel","","1004056","7ae59017-ea8a-4dd7-a131-56bb06e9181b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004056.JPG","","www.don.com/product/1004056","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Accolade","","","Edward don","",""
"SPOON ICED TEA  ACOLADE 18/0 SS","Spoon.","18/0 Stainless Steel","","1004057","451df5b1-d267-42ed-82c2-703e66bb7317","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004057.JPG","","www.don.com/product/1004057","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Accolade","","","Edward don","",""
"FORK DINNER ACOLADE 18/0 SS","Fork.","18/0 Stainless Steel","","1004107","3031632b-8853-4658-8e13-667c985346a6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004107.JPG","","www.don.com/product/1004107","","","","Steelite International","Flatware","18_0 Superior Flatware","Walco","Accolade","","","Edward don","",""
"TEASPOON CHAMBERS 18/0 SS","Teaspoon.","18/0 Stainless Steel","","1004216","337a25fa-bcfd-436f-a241-8f4ce5441d57","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004216.JPG","","www.don.com/product/1004216","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"SPOON BOUILLON CHAMBERS 18/0 SS","Spoon.","18/0 Stainless Steel","","1004218","6de9a96d-f2da-4fe4-a170-443c16bfb112","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004218.JPG","","www.don.com/product/1004218","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
"SPOON SOUP/DESSERT CHAMBERS 18/0 SS","Spoon.","18/0 Stainless Steel","","1004219","0a7f28b9-80ad-4957-ad6b-2475254ca489","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004219.JPG","","www.don.com/product/1004219","","","","Bon Chef","Flatware","18_0 Superior Flatware","Bon Chef Bon Steel","Chambers","","","Edward don","",""
