"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TEASPOON LAFAYETTE 18/8 SS","Teaspoon.","18/8 Stainless Steel","","1000163","95dd2808-38c6-402a-bd62-0a29517c8b92","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000163.JPG","","www.don.com/product/1000163","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Lafayette","","","Edward don","",""
"SPOON BOUILLON LAFAYETTE 18/8 SS","Spoon.","18/0 Stainless Steel","","1000164","f4152800-6755-40c7-9504-3e32a85c2534","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000164.JPG","","www.don.com/product/1000164","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Lafayette","","","Edward don","",""
"FORK DINNER LAFAYETTE 18/8 SS","Fork.","18/8 Stainless Steel","","1000165","614320fe-0e5c-4ce3-84f2-106f3bd9d5a7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000165.JPG","","www.don.com/product/1000165","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Lafayette","","","Edward don","",""
"KNIFE DINNER LAFAYETTE 18/8 SS","Knife.","18/8 Stainless Steel","","1000166","f1865355-5aa3-4d92-83a6-1bb1eee62523","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000166.JPG","","www.don.com/product/1000166","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Lafayette","","","Edward don","",""
"SPOON SERVING 8-1/2"" SHANGARILA","Serving Spoon.","Stainless Steel","","1000248","ef20d58b-cb7d-4248-b38e-2839ed812cc6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000248.JPG","","www.don.com/product/1000248","","","","Winco","Flatware","18_8 Superior Flatware","Miscellaneous","18_8 Superior Flatware","","","Edward don","",""
"SPOON SALAD 9"" SS","Salad Spoon.","Stainless Steel","","1004703","7d697fa9-0fc7-480b-a1c0-65d085afd0ef","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004703.JPG","","www.don.com/product/1004703","","","","Dexter-Russell","Flatware","18_8 Superior Flatware","Miscellaneous","18_8 Superior Flatware","","","Edward don","",""
"SPOON SOUP SATINIQUE 18/8 SS","Soup/Dessert Spoon.","18/8 Stainless Steel","","1005586","a5e09575-620a-4a10-b1ce-86205ebf132b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005586.JPG","","www.don.com/product/1005586","","","","1880 Hospitality","Flatware","18_8 Superior Flatware","Oneida","Santinique","","","Edward don","",""
"FORK DINNER MASTERPIECE 18/0 SS","Fork. 18/8 stainless steel. Bright mirror finish. Gracefully simple design highlighted with a single border line.","18/8 Stainless Steel","","1007632","57db2b11-8fc8-4449-8925-5839822e6a34","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007632.JPG","","www.don.com/product/1007632","","","","World Tableware","Flatware","18_8 Superior Flatware","World","Masterpiece","","","Edward don","",""
"KNIFE B&B MASTERPIECE 18/0 SS","Knife. 18/8 stainless steel. Bright mirror finish. Gracefully simple design highlighted with a single border line.","18/8 Stainless Steel","","1007634","a566f364-3009-4802-a730-c56f6df3be42","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007634.JPG","","www.don.com/product/1007634","","","","World Tableware","Flatware","18_8 Superior Flatware","World","Masterpiece","","","Edward don","",""
"FORK COCKTAIL SONATA 18/8 SS","Fork.","18/8 Stainless Steel","","1007677","cbec06db-9e72-41f4-b58c-d58cca1793ad","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007677.JPG","","www.don.com/product/1007677","","","","World Tableware","Flatware","18_8 Superior Flatware","World","Sonata","","","Edward don","",""
"TEASPOON WINDSOR 18/8 SS","Teaspoon.","18/8 Stainless Steel","","1009113","4ee0b286-6b04-4794-b567-ec94d0f06581","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009113.JPG","","www.don.com/product/1009113","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Other 18_8 Superior","","","Edward don","",""
"SPOON DINNER WINDSOR 18/8 SS","Spoon.","18/8 Stainless Steel","","1009114","b17d8f25-f48b-48a8-91ed-64aa4c29be0f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009114.JPG","","www.don.com/product/1009114","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Other 18_8 Superior","","","Edward don","",""
"FORK DINNER WINDSOR 18/8 SS","Fork.","18/8 Stainless Steel","","1009115","8c1ca5bb-b87a-449b-a8f4-2187433d87e4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009115.JPG","","www.don.com/product/1009115","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Other 18_8 Superior","","","Edward don","",""
"KNIFE DINNER WINDSOR 18/8 SS","Knife.","18/8 Stainless Steel","","1009116","3a49ef20-357b-4903-a295-a774db0e7703","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1009116.JPG","","www.don.com/product/1009116","","","","Winco","Flatware","18_8 Superior Flatware","Winco_D.W.L","Other 18_8 Superior","","","Edward don","",""
"SPOON APPETIZER WINDSOR 18/8 SS","Spoon.","18/8 Stainless Steel","","1012427","5fa0f2ef-79c2-4c37-9b7a-abd0bef5e4f8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1012427.JPG","","www.don.com/product/1012427","","","","World Tableware","Flatware","18_8 Superior Flatware","Miscellaneous","18_8 Superior Flatware","","","Edward don","",""
