"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"FORK DESSERT SALAD REFLECTIONS 18/8 SS","Fork.","18/8 Stainless Steel","","1000919","8f83f083-613b-4678-9e8e-08b01ac72fd8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000919.JPG","","www.don.com/product/1000919","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Reflections","","","Edward don","",""
"FORK OYSTER/COCKTAIL REFLECTIONS 18/8 SS","Fork.","18/8 Stainless Steel","","1000920","d607c18b-4668-4b7a-bd53-050302ffd71f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000920.JPG","","www.don.com/product/1000920","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Reflections","","","Edward don","",""
"FORK DINNER SAFARI 18/8 SS","Fork. 18/8 stainless steel. Zebra stripes featured on handle. 11 pieces available.","18/8 Stainless Steel","","1000937","2c391b0c-fea8-4c63-ac2b-a4dd320dccdb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000937.JPG","","www.don.com/product/1000937","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Safari","","","Edward don","",""
"TABLESPOON SERVING CHAMBERS 18/8 SS","Tablespoon.","18/8 Stainless Steel","","1000939","decabca0-a018-45f1-a775-cfbc67beb0b1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000939.JPG","","www.don.com/product/1000939","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Chambers","","","Edward don","",""
"KNIFE DINNER HH EURO CHAMBERS 18/8 SS","Knife.","18/8 Stainless Steel","","1000940","1b98b2c3-77ee-430b-83fb-5ba79916e4c6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000940.JPG","","www.don.com/product/1000940","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Chambers","","","Edward don","",""
"SPOON SOUP/DESSERT REFLECTIONS 18/8 SS","Spoon.","18/8 Stainless Steel","","1000942","ab4a9c34-ba4c-4283-bd7f-5bbc8ef77ac1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000942.JPG","","www.don.com/product/1000942","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Reflections","","","Edward don","",""
"SPOON DEMITASSE REFLECTIONS 18/8 SS","Spoon.","18/8 Stainless Steel","","1000943","8d01b1d4-3684-4ccd-9ef8-8f04232d764a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000943.JPG","","www.don.com/product/1000943","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Reflections","","","Edward don","",""
"KNIFE BUTTER SH EURO REFLECTIONS 18/8 SS","Knife.","18/8 Stainless Steel","","1000944","fce28906-e039-4914-95cf-5ac7f0701e1b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000944.JPG","","www.don.com/product/1000944","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Reflections","","","Edward don","",""
"KNIFE DINNER SH EURO SAFARI 18/8 SS","Knife. 18/8 stainless steel. Zebra stripes featured on handle. 11 pieces available.","18/8 Stainless Steel","","1000945","71891ac6-25fb-4e9d-8785-1381e6bb8ecb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000945.JPG","","www.don.com/product/1000945","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Safari","","","Edward don","",""
"SPOON DEMITASSE SAFARI 18/8 SS","Spoon. 18/8 stainless steel. Zebra stripes featured on handle. 11 pieces available.","18/8 Stainless Steel","","1000946","6ebb382a-855c-4a12-af8e-618e08be270b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000946.JPG","","www.don.com/product/1000946","","","","Bon Chef","Flatware","18_8 Supreme Flatware","Bon Chef","Safari","","","Edward don","",""
