"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"SPOON ESPRESSO HARMONY 18/0 SS","Spoon. Flat plating surface with a modern, raised edge creates an elegant base for cuisine. Durable, proprietary porcelain with a scratch-resistant Superwhite glaze. Collection designed to partner with all presentations. Cappuccino spoon (1007540, sold separately) nests in handle of cup (1007534). Oven, microwave and dishwasher safe. Many additional sizes available.","18/8 Stainless Steel","","1007539","a00d4f27-4313-4155-a180-7903d2e40d16","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007539.JPG","","www.don.com/product/1007539","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"SPOON LATTE HARMONY 18/0 SS","Spoon.","18/8 Stainless Steel","","1007542","f848d140-0c76-4fde-b254-ab34bb98d066","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1007542.JPG","","www.don.com/product/1007542","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"SPOON HANGING 5-1/4"" SS","Spoon.","18/8 Stainless Steel","","1052773","4be89db0-e729-4ef3-bab5-194d9af0a1a1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052773.JPG","","www.don.com/product/1052773","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"SPOON MINI SCOOP 4-1/4"" SS","Spoon.","18/8 Stainless Steel","","1052775","e0d7a1a0-7800-44a3-9fbb-0bd9b0ea5797","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052775.JPG","","www.don.com/product/1052775","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"FORK HANGING 5-1/4"" SS","Fork.","18/8 Stainless Steel","","1052777","f185dc51-27b5-49d2-9d77-af33edbcafe1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052777.JPG","","www.don.com/product/1052777","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"FORK MINI SCOOP 4-1/4"" SS","Fork.","18/8 Stainless Steel","","1052779","8fa802f5-6bae-4137-b5b0-774da8daa380","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1052779.JPG","","www.don.com/product/1052779","","","","Front Of The House","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"FORK COCKTAIL QUEEN ANNA SS","Fork.","Stainless Steel","","1059605","2e63375b-39a5-4d10-a2e6-ec4b79ac707b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1059605.JPG","","www.don.com/product/1059605","","","","The Vollrath Company LLC","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"TEASPOON 7""","Teaspoon.","Bamboo","","1161959","5c6ea18f-6247-4a49-ba2b-d3262ba3d487","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1161959.JPG","","www.don.com/product/1161959","","","","Korin","Flatware","Economy Flatware","Miscellaneous","Economy Flatware","","","Edward don","",""
"SPOON BOUILLON GIOVANNI 18/10 SS","Bouillon Spoon. 18/10 stainless steel; polished finish. Distinctive handles feature an elegantly stated vintage design. Ten pieces available.","18/10 Stainless Steel","","1166300","35d4b3cc-83e5-4bb3-9a52-d433cf818279","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166300.JPG","","www.don.com/product/1166300","","","","World Tableware","Flatware","Economy Flatware","World","Giovanni","","","Edward don","",""
"FORK SALAD GIOVANNI 18/10 SS","Salad Fork. 18/10 stainless steel; polished finish. Distinctive handles feature an elegantly stated vintage design. Ten pieces available.","18/10 Stainless Steel","","1166301","ca9e000b-9991-4fa1-9479-bab5b8d5216e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166301.JPG","","www.don.com/product/1166301","","","","World Tableware","Flatware","Economy Flatware","World","Giovanni","","","Edward don","",""
