"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"FORK DINNER CONTOUR 18/10 SS","Fork.","18/10 Stainless Steel","","1000326","28ca1f93-ef79-4c00-a662-80028cf1a83f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000326.JPG","","www.don.com/product/1000326","","","","Rosenthal Sambonet USA Ltd","Flatware","18_10 Stainless Flatware","Sambonet","Contour","","","Edward don","",""
"TEASPOON CONTOUR 18/10 SS","Teaspoon.","18/10 Stainless Steel","","1000327","298acac9-cb56-4646-a309-17f50bf5bd61","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000327.JPG","","www.don.com/product/1000327","","","","Rosenthal Sambonet USA Ltd","Flatware","18_10 Stainless Flatware","Sambonet","Contour","","","Edward don","",""
"SPOON COFFEE CONTOUR 18/10 SS","Spoon.","18/10 Stainless Steel","","1000329","bb820028-d42c-47d9-9d8a-222a8e82ba17","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000329.JPG","","www.don.com/product/1000329","","","","Rosenthal Sambonet USA Ltd","Flatware","18_10 Stainless Flatware","Sambonet","Contour","","","Edward don","",""
"FORK OYSTER CONTOUR 18/10 SS","Fork.","18/10 Stainless Steel","","1000330","88e337be-7688-4fde-980f-484674e8cfb0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000330.JPG","","www.don.com/product/1000330","","","","Rosenthal Sambonet USA Ltd","Flatware","18_10 Stainless Flatware","Sambonet","Contour","","","Edward don","",""
"SPREADER BUTTER NEW RIM 18/10 SS","Spreader. Deluxe heavyweight 18/10 stainless steel with mirror finish. Sleek, traditional styling with European sizing. 17 pieces available.","18/10 Stainless Steel","","1000373","c070625b-cea5-4741-84cc-f85e14b5bc3f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000373.JPG","","www.don.com/product/1000373","","","","1880 Hospitality","Flatware","18_10 Stainless Flatware","Oneida","New Rim","","","Edward don","",""
"KNIFE BUTTER ASTRAGAL 18/10 SS","Spreader. Astragal - Extra Heavyweight 18/10 Mirror FInish.","18/10 Stainless Steel","","1000670","70663a99-70ad-4400-b070-981c4c28523e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000670.JPG","","www.don.com/product/1000670","","","","1880 Hospitality","Flatware","18_10 Stainless Flatware","Oneida","Astragel","","","Edward don","",""
"FORK DINNER ATHENIAN 18/10 SS","Fork. Heavyweight, 18/10 stainless steel. Frost finished middle with mirror finished edges. 13 items available.","18/10 Stainless Steel","","1000671","42f1645e-fced-4cdb-be7a-1bf92f165dbb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000671.JPG","","www.don.com/product/1000671","","","","Steelite International","Flatware","18_10 Stainless Flatware","Walco","Athenian","","","Edward don","",""
"SPOON ICED TEA PRIM 18/10 SS","Spoon.","18/10 Stainless Steel","","1000693","d474b263-0411-41c4-adfd-38f2068b3028","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000693.JPG","","www.don.com/product/1000693","","","","Steelite International","Flatware","18_10 Stainless Flatware","Walco","Prim","","","Edward don","",""
"SPOON DESSERT ELEVATION 18/10 SS","Spoon. Heavyweight, 18/10 stainless steel. Mirror finish; bead blasted rims on spoons. Full line-17 items.","18/10 Stainless Steel","","1001117","eed39a76-7ad2-4590-a375-9b8cbafb8415","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001117.JPG","","www.don.com/product/1001117","","","","1880 Hospitality","Flatware","18_10 Stainless Flatware","Oneida","Elevation","","","Edward don","",""
"SPOON ICED TEA IRONSTONE 18/10","Spoon. Heavyweight 18/10 stainless steel with mirror finish. Classic 17th century hammered-finish design captures and reflects light, while hiding fingerprints. Ten pieces available.","18/10 Stainless Steel","","1001168","cb6029ac-53b4-47ea-9a4b-41fc8980667c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001168.JPG","","www.don.com/product/1001168","","","","Steelite International","Flatware","18_10 Stainless Flatware","Walco","Iron Stone","","","Edward don","",""
