"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"MITT OVEN CUSTOM BESTGUARD 24""","Oven Mitt. Quality hand protection against heat. Non-stick coating. Fire-retardant. Protects up to 450° F.","100% Polyester","","1000980","383beaab-8e81-4b8b-af25-20b4ec150147","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000980.JPG","","www.don.com/product/1000980","","","","Cfs Brands LLC","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"TOWEL BAR WAFFLE WEAVE","Bar Towel.","100% Cotton","","1001806","ffcd881b-a18f-4a60-935a-44fde7d7c611","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001806.JPG","","www.don.com/product/1001806","","","","John Ritzenthaler Company","Kitchen Supplies","Kitchen Textiles","Bar_Dish Towels","All Bar_Dish Towels","","","Edward don","",""
"APRON BIB NEOPRENE 36X43"" BLK","Bib Apron.","Neoprene","","1004367","baff168e-6bd8-4645-8bd7-57492502611b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004367.JPG","","www.don.com/product/1004367","","","","Cfs Brands LLC","Kitchen Supplies","Kitchen Textiles","Aprons","Vinyl_Rubber Aprons","","","Edward don","",""
"MITT OVEN 13"" ONE SIZE BLK","Ove Mitt.","100% Polyester","","1004374","b1d86d1d-2af1-470c-9bdc-df2046bcdeec","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004374.JPG","","www.don.com/product/1004374","","","","San Jamar","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"MITT OVEN 15"" KITCHEN GRIPS BLK","Oven Mitt. Unique FLXaPrene™ is a flexible, non-porous material for use in professional kitchens. Superior heat protection -134° F to 500° F. Antibacterial and antimicrobial protection, treated with Aegis Microbe Shield®. Safe non-slip grip. Stain resistant.","Neoprene","","1006447","b5bfa6d3-22e9-4899-8bb2-6315932ba4af","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006447.JPG","","www.don.com/product/1006447","","","","Browne USA","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"MITT OVEN 18"" KITCHEN GRIPS BLK","Oven Mitt. Unique FLXaPrene™ is a flexible, non-porous material for use in professional kitchens. Superior heat protection -134° F to 500° F. Antibacterial and antimicrobial protection, treated with Aegis Microbe Shield®. Safe non-slip grip. Stain resistant.","Neoprene","","1006448","fa356e90-83db-49e7-893d-181cc56054c7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006448.JPG","","www.don.com/product/1006448","","","","Browne USA","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"MITT OVEN PUPPET 15"" KITCHEN GRIPS BLK","Oven Mitt. Unique FLXaPrene™ is a flexible, non-porous material for use in professional kitchens. Superior heat protection -134° F to 500° F. Antibacterial and antimicrobial protection, treated with Aegis Microbe Shield®. Safe non-slip grip. Stain resistant.","Neoprene","","1006449","d47cb1de-0bee-4b5d-b2fe-73c9ab15bf74","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006449.JPG","","www.don.com/product/1006449","","","","Browne USA","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"MITT OVEN PUPPET 18"" KITCHEN GRIPS BLK","Oven Mitt. Unique FLXaPrene™ is a flexible, non-porous material for use in professional kitchens. Superior heat protection -134° F to 500° F. Antibacterial and antimicrobial protection, treated with Aegis Microbe Shield®. Safe non-slip grip. Stain resistant.","Neoprene","","1006450","48e50572-4f6f-484e-b8a1-a49630bd2aed","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006450.JPG","","www.don.com/product/1006450","","","","Browne USA","Kitchen Supplies","Kitchen Textiles","Oven Mitts","All Oven Mitts","","","Edward don","",""
"TOWEL BAR 16X19"" COTTON WHT","Bar Towel.","100% Cotton","","1010705","1af7ebb3-94ff-4e3f-a703-b4f932b6e766","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010705.JPG","","www.don.com/product/1010705","","","","John Ritzenthaler Company","Kitchen Supplies","Kitchen Textiles","Bar_Dish Towels","All Bar_Dish Towels","","","Edward don","",""
"APRON 42"" QUICKLEAN COTTON BLU","Apron.","Poly/Cotton Blend","","1016144","ebf80b65-538e-4271-bf80-dfc5f80c590c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016144.JPG","","www.don.com/product/1016144","","","","Tucker Safety Products","Kitchen Supplies","Kitchen Textiles","Aprons","Miscellaneous","","","Edward don","",""
