"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"BLADE ASSEMBLY DIE FRAME","Blade Assembly.","Steel","","1000245","7e61af7f-616a-473f-bbe1-1e15b95ac787","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000245.JPG","","www.don.com/product/1000245","","","","The Vollrath Company LLC","Kitchen Supplies","Manual Food Processors","Dicers","All Dicers","","","Edward don","",""
"BLOCK PUSHER 9/32""","Pusher Block.","Steel","","1000246","55d78ea9-007e-4f63-bd5f-88a5f0846f07","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000246.JPG","","www.don.com/product/1000246","","","","The Vollrath Company LLC","Kitchen Supplies","Manual Food Processors","Dicers","All Dicers","","","Edward don","",""
"SLICER TOMATO SABER 3/16""","Tomato Slicer.","Stainless Steel","","1000265","c0795ead-a0de-42cb-9603-73978268a66d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000265.JPG","","www.don.com/product/1000265","","","","Marmon Foodservice Tech","Kitchen Supplies","Manual Food Processors","Tomato Slicers","All Tomato Slicers","","","Edward don","",""
"BLADE REPLACEMENT GRN ONION SLI","Replacement Blade.","Stainless Steel","","1000516","9282eba4-b38c-471c-a3cf-ca806aece1a6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000516.JPG","","www.don.com/product/1000516","","","","Nemco Food Equipment","Kitchen Supplies","Manual Food Processors","Onion Slicers","All Onion Slicers","","","Edward don","",""
"MANDOLINE FINE BLADE","Fine Blade Mandoline.","Stainless Steel","","1000697","3d55d58f-4c1b-42ae-a161-eea5a5055b37","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000697.JPG","","www.don.com/product/1000697","","","","J B Prince Company","Kitchen Supplies","Manual Food Processors","Mandolins_Slicers","All Mandolins_Slicers","","","Edward don","",""
"SLICER 13"" HERITAGE PROSCIUTTO RED","Manual Slicer.","Stainless Steel","","1000954","c5842c77-ed97-4924-8418-ecd3beedb4ba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000954.JPG","","www.don.com/product/1000954","","","","Berkel","Kitchen Supplies","Manual Food Processors","Mandolins_Slicers","All Mandolins_Slicers","","","Edward don","",""
"CUTTER PASTA RND CARBON STEEL","Pasta Cutter.","Carbon Steel","","1001008","e0169d38-a34c-4362-a56c-bcc3a4cd9285","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001008.JPG","","www.don.com/product/1001008","","","","J B Prince Company","Kitchen Supplies","Manual Food Processors","Pasta Machines_Accessories","All Pasta Machines","","","Edward don","",""
"SLICER EASY ONION 1/4 SLICE SS","Onion Slicer 1/4"".","Stainless Steel","","1001152","57d61843-5576-449e-a4b2-c10df83cde1e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001152.JPG","","www.don.com/product/1001152","","","","Nemco Food Equipment","Kitchen Supplies","Manual Food Processors","Onion Slicers","All Onion Slicers","","","Edward don","",""
"PAN UTILITY 24 QT SS SILVER","Food Pan.","Stainless Steel","","1001354","9e4d1be9-7f28-4461-8229-5336d2646d43","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001354.JPG","","www.don.com/product/1001354","","","","The Vollrath Company LLC","Kitchen Supplies","Manual Food Processors","Miscellaneous","Manual Food Prep","","","Edward don","",""
"CUTTER SPAGHETTI 2.0 MM","Pasta Cutter.","Carbon Steel","","1001458","1f967eb6-1ce8-4ac7-b2f7-15fa5137382e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001458.JPG","","www.don.com/product/1001458","","","","J B Prince Company","Kitchen Supplies","Manual Food Processors","Pasta Machines_Accessories","All Pasta Machines","","","Edward don","",""
