"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"SCALE PORTION CONTROL 8"" DIAL","Scale.","Metal","","1000040","345a9451-a21b-415f-b665-0903621346d6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000040.JPG","","www.don.com/product/1000040","","","","Crestware","Kitchen Supplies","Scales","Portion Control Scales","Mechanical Portion Scales","","","Edward don","",""
"SCALE PORTION DIAL TYPE","Scale.","Stainless Steel","","1000318","be4e76ea-f4c2-4476-821f-78cb938da120","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000318.JPG","","www.don.com/product/1000318","","","","Edlund","Kitchen Supplies","Scales","Portion Control Scales","Mechanical Portion Scales","","","Edward don","",""
"SCALE PORTION 5 LB ENAMEL","Portion Scale.","Metal","","1000361","6a566a2b-7550-400f-a12e-d9721a989a20","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000361.JPG","","www.don.com/product/1000361","","","","Cardinal Scale Manufacturing","Kitchen Supplies","Scales","Portion Control Scales","Mechanical Portion Scales","","","Edward don","",""
"SCALE MECHANICAL RECEIVING 75 LB","Receiving Scale.","Steel","","1000716","4063c606-0d65-452e-8f71-eb643590c5d2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000716.JPG","","www.don.com/product/1000716","","","","Yamato","Kitchen Supplies","Scales","Receiving Scales","Mechanical Receiving Scales","","","Edward don","",""
"SCALE PORTION CONTROL SUB SELF-CALIBRATE","Digital Scale Self Calibrating. Self-calibrating scale that is submersible for easy, thorough cleaning. Heavy-duty digital portioning with all stainless body for durability and cleaning. Dual-housing design protects internal components from moisture and grease. Six different weighing modes makes it a fit for any application; 10 lb/5000g weighing capacity. Submersible for easy, thorough cleaning.","Stainless Steel","","1001333","705f6c6d-711b-431d-9198-d7d20faed92b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001333.JPG","","www.don.com/product/1001333","","","","Edlund","Kitchen Supplies","Scales","Portion Control Scales","Digital Portion Scales","","","Edward don","",""
"SCALE PORTION CONTROL SUB OVERSIZED PLAT","Digital Scale.","Stainless Steel","","1001954","02feef59-01f3-42f6-81c5-8b32f9d2033e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001954.JPG","","www.don.com/product/1001954","","","","Edlund","Kitchen Supplies","Scales","Portion Control Scales","Digital Portion Scales","","","Edward don","",""
"PLATFORM OVERSIZED F/POSEIDON SCALE","Platform.","Stainless Steel","","1001955","51e7d828-7add-4656-b717-b5877c097d69","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001955.JPG","","www.don.com/product/1001955","","","","Edlund","Kitchen Supplies","Scales","Portion Control Scales","Scale Accessories","","","Edward don","",""
"SCALE 8 LB BAKERS DOUGH WHT ENAMEL","Baker's Dough Scale.","Stainless Steel","","1002277","7ce49daa-bf5a-4f08-905e-2d4268c55d2e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002277.JPG","","www.don.com/product/1002277","","","","Edlund","Kitchen Supplies","Scales","Bakers_Balance Beam Scales","Bakers Scales","","","Edward don","",""
"SCALE PORTION 10 LB X.2 OZ SS","Portion Control Scale.","Stainless Steel","","1002622","15a7b297-621d-4f60-bf13-5df9264e92f4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002622.JPG","","www.don.com/product/1002622","","","","Lifetime Brands - Taylor","Kitchen Supplies","Scales","Portion Control Scales","Digital Portion Scales","","","Edward don","",""
"SCALE RECEIVING 150LBX2LB STEEL","Receiving Scale.","Steel","","1002623","530e071d-0cc9-4175-9c2d-548254c2364d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002623.JPG","","www.don.com/product/1002623","","","","Lifetime Brands - Taylor","Kitchen Supplies","Scales","Receiving Scales","Digital Receiving Scales","","","Edward don","",""
