"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PAN FOOD 6"" DEEP LOW TEMP","Food Pan.","Polycarbonate","","1000105","9fc9adc8-d8ca-4c9d-a57e-bb8fc8388a67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000105.JPG","","www.don.com/product/1000105","","","","The Vollrath Company LLC","Kitchen Supplies","Food Containers","Food Pans","High Heat Food Pans","","","Edward don","",""
"PAN FOOD 6"" 1/6 SZ PLAS BLK","Food Pan.","Polycarbonate","","1000106","1aed50c5-b86c-498e-bd38-bc26fa5c6e62","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000106.JPG","","www.don.com/product/1000106","","","","The Vollrath Company LLC","Kitchen Supplies","Food Containers","Food Pans","High Heat Food Pans","","","Edward don","",""
"PAN FOOD 1/3 SZ 4"" DEEP POLY","Food Pan.","Polycarbonate","","1000112","ad67ced3-3612-408f-9bcf-a317757869a4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000112.JPG","","www.don.com/product/1000112","","","","The Vollrath Company LLC","Kitchen Supplies","Food Containers","Food Pans","High Heat Food Pans","","","Edward don","",""
"CONT FOOD 18X26X12"" POLY CLR","Food Box. Container holds full case of lettuce; improves food safety through safer storage. Uses Camwear® 12"" Sliding or Flat lids (not included).","Polycarbonate","","1001540","21a0e5d5-a7b2-4ac1-9bf7-6a1203d1692c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001540.JPG","","www.don.com/product/1001540","","","","Cambro Manufacturing","Kitchen Supplies","Food Containers","Food Boxes","Polycarbonate Food Boxes","","","Edward don","",""
"LID SEAL F/ 6&8 QT POLY SQ CONT TRANS","Lid. Designed to fit Camwear® CamSquares®. Dual inner and outer seal for superior spill resistance. Translucent color for easy content identification. Polypropylene material is safe from -40º F to 160º F for use in coolers and freezers.","Polypropylene","","1001663","05e2c858-06f6-4825-8278-1aaf6d79d5dc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001663.JPG","","www.don.com/product/1001663","","","","Cambro Manufacturing","Kitchen Supplies","Food Containers","Food Container Lids_Square","Lids For Square Food Containers","","","Edward don","",""
"LID SEAL F/ 2&4 QT POLY SQ CONT TRANS","Lid. Designed to fit Camwear® CamSquares®. Dual inner and outer seal for superior spill resistance. Translucent color for easy content identification. Polypropylene material is safe from -40º F to 160º F for use in coolers and freezers.","Polypropylene","","1001664","2dc57138-34ac-49bb-99da-848980e4d9bf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001664.JPG","","www.don.com/product/1001664","","","","Cambro Manufacturing","Kitchen Supplies","Food Containers","Food Container Lids_Square","Lids For Square Food Containers","","","Edward don","",""
"LID SEAL F/ 12-22 QT POLY SQ CONT TRANS","Lid. Designed to fit Camwear® CamSquares®. Dual inner and outer seal for superior spill resistance. Translucent color for easy content identification. Polypropylene material is safe from -40º F to 160º F for use in coolers and freezers.","Polypropylene","","1001665","ba18ff5e-27f8-4559-8fe4-c1dd71102c67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001665.JPG","","www.don.com/product/1001665","","","","Cambro Manufacturing","Kitchen Supplies","Food Containers","Food Container Lids_Square","Lids For Square Food Containers","","","Edward don","",""
"PAN FOOD HI HEAT 1/4 SIZE 6""D AMBER","Food Pan. Withstands temperature extremes from -40° F to 375° F. Stain-resistant, won’t warp, chip, or dent. Reduces handling and saves expenses. Safe for use in microwave. Can go from prep to cooler to oven to table.","Polysulfonate","","1002459","deab5ac8-55cc-4efd-933a-d024a4bdabe7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002459.JPG","","www.don.com/product/1002459","","","","Cambro Manufacturing","Kitchen Supplies","Food Containers","Food Pans","High Heat Food Pans","","","Edward don","",""
"PADDLE RAPI-KOOL PLUS 64 OZ CLR","Rapid Chill Unit. Innovative handle and hook are durable for secure hanging and easy stirring; avoid cross-contamination in storage and lower the risk of burns during cooling. Fill-Rite™ design removes need for fill line; simply fill with water, secure cap, and freeze. Uses 50% more surface area for faster chilling; wide mouth is large enough to drop in ice to speed the chilling process. Dishwasher safe.","Polycarbonate","","1002835","f64ef07a-dfae-4aa8-8480-c13b7981a025","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002835.JPG","","www.don.com/product/1002835","","","","Cfs Brands LLC","Kitchen Supplies","Food Containers","Rapid Cooling Devices","All Rapid Cooling Devices","","","Edward don","",""
"PADDLE RAPI-KOOL PLUS 128 OZ CLR","Rapid Chill Unit. Innovative handle and hook are durable for secure hanging and easy stirring; avoid cross-contamination in storage and lower the risk of burns during cooling. Fill-Rite™ design removes need for fill line; simply fill with water, secure cap, and freeze. Uses 50% more surface area for faster chilling; wide mouth is large enough to drop in ice to speed the chilling process. Dishwasher safe.","Polycarbonate","","1002836","ce3fb5e2-0a1c-437a-ada9-cdb9056ce5d4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002836.JPG","","www.don.com/product/1002836","","","","Cfs Brands LLC","Kitchen Supplies","Food Containers","Rapid Cooling Devices","All Rapid Cooling Devices","","","Edward don","",""
