"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PAN PIZZA 13X1"" HARD COAT","Pizza Pan.","Aluminum","","1000348","fdd2f735-c4f5-443a-9012-a4506bf65021","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000348.JPG","","www.don.com/product/1000348","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"CUTTING BOARD & GUIDE PIZZA SLICE","Cutting Board and Guide.","Wood","","1000608","981bbe34-6359-40a2-9cc1-1048f9029b81","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000608.JPG","","www.don.com/product/1000608","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"CUTTER DOUGH 5 WHEEL STEEL","Dough Cutter.","Steel","","1000976","b86a843c-2d19-4e9f-917f-cc30972958da","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000976.JPG","","www.don.com/product/1000976","","","","Alegacy Foodservice","Kitchen Supplies","Pizza Supplies","Pizza Knives_Cutters","All Pizza Knives","","","Edward don","",""
"PAN COUPE PIZZA 9""","Pan.","Aluminum","","1001967","8b16b15e-3c40-4598-892c-52fbb4617b54","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001967.JPG","","www.don.com/product/1001967","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"DISK PIZZA 12"" PERFORATED 18G","Pizza Disk 113 Holes.","Aluminum","","1002257","bb113d9f-c5a2-4056-a45d-01410d28b89f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002257.JPG","","www.don.com/product/1002257","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"PAN PIZZA 12"" ALUM","Pizza Pan.","Aluminum","","1002926","b9b0c16c-6d5a-4267-b5db-0850ff1ba026","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002926.JPG","","www.don.com/product/1002926","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"PAN PIZZA 8"" ALUM","Pizza Pan.","Aluminum","","1002927","2e2bddbd-51eb-4879-b839-2410226e1f2b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002927.JPG","","www.don.com/product/1002927","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"PEEL PIZZA 37X14X1 ALUM","Pizza Peel.","Aluminum","","1003011","42b09b75-5973-4171-ae16-a6b2bdaceb1f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003011.JPG","","www.don.com/product/1003011","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Peels","All Pizza Peels","","","Edward don","",""
"SKILLET PIZZA 13-3/4"" ALUM PEWTER GLO","Pizza Skillet.","Cast Aluminum","","1003044","84d7ac1a-c6e8-4273-9226-65c125cd5b81","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003044.JPG","","www.don.com/product/1003044","","","","Bon Chef","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
"RACK PIZZA SCREEN 10-1/2"" STEEL","Pizza Screen Rack.","Steel","","1003336","4f984abc-f739-4508-850c-02c23e309534","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003336.JPG","","www.don.com/product/1003336","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","Screens","","","Edward don","",""
"PEEL PIZZA 16X17"" WOOD","Pizza Peel.","Wood","","1003895","8a6cbb9b-f1c5-4868-8849-319496dce288","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003895.JPG","","www.don.com/product/1003895","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Peels","All Pizza Peels","","","Edward don","",""
"PAN PIZZA 9"" SOLID 14 GUAGE HARDCOAT","Pizza Pan.","Aluminum","","1004857","0a5a3cf4-d207-4a92-a4ca-a9eb8a1b655c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004857.JPG","","www.don.com/product/1004857","","","","American Metalcraft","Kitchen Supplies","Pizza Supplies","Pizza Pans_Trays","All Pizza Pans","","","Edward don","",""
