"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"THERMOMETER INFRARED THERMOCPLE","Probe Thermometer.","ABS","","1000283","742a2be7-3727-43b2-9ff8-58df028a3bcd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000283.JPG","","www.don.com/product/1000283","","","","Component Design","Kitchen Supplies","Thermometers_Timers","Thermometers","Infrared w_Probe","","","Edward don","",""
"TEST STRIP DISHWASHER 180 F","Temperature Test Strips. 1038709  is the most accurate, easy to read and the only NSF digital thermometer for the refrigerator and freezer. K5462, K5480, and K5460 are waterproof with a 4-6 second response time, ±°F accuracy and only 1/8"" food penetration for accurate reading. K5460 includes BioCote anti-microbial protection and is field calibratable. K5480 features a temperature alarm and can also be used to measure final rinse temperatures for the dishwasher. K5370 is a four-station timer that is color coded and features a large LCD and loud beeper alerts.","","","1000898","5bfca74f-56aa-4cd1-b198-030d6b797e71","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000898.JPG","","www.don.com/product/1000898","","","","Lifetime Brands - Taylor","Kitchen Supplies","Thermometers_Timers","Thermometers","Dishwasher Test Thermometers","","","Edward don","",""
"THERMOCOUPLER DIGITAL 100-500F","Digital Thermocouple.","ABS","","1001144","b0acd7d1-c05b-474d-8182-5649ed259690","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001144.JPG","","www.don.com/product/1001144","","","","Cooper-Atkins","Kitchen Supplies","Thermometers_Timers","Thermometers","Digital Probe Thermometers","","","Edward don","",""
"THERMOMETER DIGITAL 36"" WIRE SS","Digital Thermometer.","Stainless Steel","","1001549","cc3b164e-ce85-496e-a4f2-2e64177806c8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001549.JPG","","www.don.com/product/1001549","","","","J B Prince Company","Kitchen Supplies","Thermometers_Timers","Thermometers","Digital Probe Thermometers","","","Edward don","",""
"THERMOMETER SUGAR 100 TO 400 F","Sugar Thermometer.","Stainless Steel","","1001554","b9c106a7-be15-4a2a-872b-4b6bd19aebd4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001554.JPG","","www.don.com/product/1001554","","","","J B Prince Company","Kitchen Supplies","Thermometers_Timers","Thermometers","Candy_Deep Frying Thermometers","","","Edward don","",""
"THERMOMETER REFRIGERATOR MAGNETIC","Cooler Wall Thermometer. Large dial thermometer with wall mounting bracket. Clearly defined Caution and Danger Zones. HACCP reference color-zoned dial and a large black pointer for ease in viewing.","Plastic","","1002770","ba22761f-04e2-436e-8f05-2e114be4b3b8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002770.JPG","","www.don.com/product/1002770","","","","Fluke Electronics","Kitchen Supplies","Thermometers_Timers","Thermometers","Refrigerator_Freezer Thermometers","","","Edward don","",""
"THERMOMETER REFR/FREEZER","Thermometer. Temperature range -40° - 120° F. Hangs or mounts to shelving.","Plastic","","1002998","02dfe868-c882-4676-a401-8efff914347b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002998.JPG","","www.don.com/product/1002998","","","","Fluke Electronics","Kitchen Supplies","Thermometers_Timers","Thermometers","Refrigerator_Freezer Thermometers","","","Edward don","",""
"PROBE NEEDLE TIP 6""","Dura needle probe 6"". Measure both internal and surface temperatures with one instrument. Temperature range of -76° to 932° F with 0.1° resolution; °F/°C switchable. Single dot laser sighting—Distance to Spot (D:S) 11:1. High and low alarms with automatic data hold. Accepts any type K thermocouple probe (not included)—temperature range with probe is -83.2° to 999° F; includes two AAA batteries. Back-lit LCD for easy viewing.","Stainless Steel","","1003095","fd952798-59b7-41ae-a634-499a29d50775","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003095.JPG","","www.don.com/product/1003095","","","","Cooper-Atkins","Kitchen Supplies","Thermometers_Timers","Thermometers","Digital Probe Thermometers","","","Edward don","",""
"PROBE GRIDDLE SURFACE 5""","Weight Griddle Surface Probe.","Stainless Steel","","1003096","3e315624-1e64-4325-b249-96a97a2e6da9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003096.JPG","","www.don.com/product/1003096","","","","Cooper-Atkins","Kitchen Supplies","Thermometers_Timers","Thermometers","Digital Probe Thermometers","","","Edward don","",""
"THERMOMETER FREEZER -30 TO 88 F","Thermometer.","Stainless Steel","","1004706","c5aad557-3b12-455c-8222-0e97f4d1cd65","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004706.JPG","","www.don.com/product/1004706","","","","Lifetime Brands - Taylor","Kitchen Supplies","Thermometers_Timers","Thermometers","Refrigerator_Freezer Thermometers","","","Edward don","",""
"THERMOMETER POCKET O-220 F","Pocket Thermometer.","Stainless Steel","","1004714","7b485e79-610e-4584-b469-91e01189c1a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004714.JPG","","www.don.com/product/1004714","","","","Lifetime Brands - Taylor","Kitchen Supplies","Thermometers_Timers","Thermometers","Dial Pocket Test Thermometers","","","Edward don","",""
