"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"BIBAPRON 30X40"" NO POCKET COTTON WHT","Apron.","100% Cotton","","1050377","1620cf70-85a2-46d2-a865-018367524497","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050377.JPG","","www.don.com/product/1050377","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"BIBAPRON 34X30"" NO POCKET POLY WHT","Apron.","100% Polyester","","1050378","0ee23017-1803-4ced-bc6c-44858b917db3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050378.JPG","","www.don.com/product/1050378","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"BIBAPRON 34X30"" 2 POCKET POLY RED","Apron.","100% Polyester","","1050380","449d927b-0008-423e-a9b4-e7929ee6fe1f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050380.JPG","","www.don.com/product/1050380","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"BIBAPRON 34X30"" 2 POCKET POLY RYL BLU","Apron.","100% Polyester","","1050381","02eac5c3-16d5-4966-86de-dd67975856c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050381.JPG","","www.don.com/product/1050381","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"RAGS CLEANING TERRY 25 LB WHT","Cleaning Towels.","Terry Cloth","","1050385","e24dcf9d-bdc1-4e74-9af3-6e4197fa4744","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050385.JPG","","www.don.com/product/1050385","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"RAGS CLEANING KNIT 25 LB WHT","Cleaning Towels.","Terry Cloth","","1050386","f5e32c6e-3cb8-421c-a234-c249680c314d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050386.JPG","","www.don.com/product/1050386","","","","R&R Textile Mills","Linens","Cloth Napkins","Miscellaneous","Cloth Napkins","","","Edward don","",""
"NAPKIN 17X17"" OVERLOCKED POLY BLK","Napkin.","100% Polyester","","1114363","0d12d9c0-96da-47ea-bd34-6de7d4d6f801","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1114363.JPG","","www.don.com/product/1114363","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED RED","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118971","5bf08368-3c30-400c-a57e-5a8d71202f94","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118971.JPG","","www.don.com/product/1118971","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED GLD","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118973","669dc238-278a-4001-9d28-8308f73ba2e8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118973.JPG","","www.don.com/product/1118973","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED BLK","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118974","0f6b90c1-a3fc-4152-98aa-f8370ec83671","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118974.JPG","","www.don.com/product/1118974","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED BLU","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118977","ed8e24dc-a666-40e8-8e81-d86b40c92e04","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118977.JPG","","www.don.com/product/1118977","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED SAGE","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118980","06c6146e-7bad-4d8c-bc97-1c6ec1f7abd0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118980.JPG","","www.don.com/product/1118980","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED ORG","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118982","d9258265-3ffb-4298-b8c4-941cc76244ea","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118982.JPG","","www.don.com/product/1118982","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED GRY","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118983","c66f2b76-a4a3-4cf9-b04e-f3f0d7e7eacb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118983.JPG","","www.don.com/product/1118983","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED CHOC","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118984","89e6bdb0-9a78-44f9-ab65-12d19688da7a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118984.JPG","","www.don.com/product/1118984","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN BISTRO 18X22"" STRIPED BELIZE BLU","Napkin. Provides a farm-to-table look in an economical way. Stays true to color without fading or bleeding; designed to be washed with bleach. 18"" x 22"" pre-cut with sturdy and durable hemmed construction.","Poly/Cotton Blend","","1118985","3dc451bc-ea6f-430f-b0c3-0414cc1e5821","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1118985.JPG","","www.don.com/product/1118985","","","","Snap-Drape International","Linens","Cloth Napkins","Poly_Cotton Napkins","All Poly_Cotton Napkins","","","Edward don","",""
"NAPKIN 20X20"" ASPEN DAMASK SAGE","Napkin.","Linen","","1136073","9bee1eb8-9622-4c23-a6ac-102735bdd65b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136073.JPG","","www.don.com/product/1136073","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP BIRDSEYE 20X20"" POLYEST CREAM HEMMED","Napkin. Versatile and practical hybrid of ring-spun, double-twisted micro staple fiber yarn and Murata jet-spun polyester fibers. Soft and absorbent, European-designed linens that artfully mimic the feel of cotton without the risk of breakdown. Durable and substantial to withstand repeated wash cycles without fading or shrinking while remaining lint-free.","Polyester","","1166637","8cfd2b19-e835-4212-b0e3-33b2a58c8c25","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166637.JPG","","www.don.com/product/1166637","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP BIRDSEYE 22X22"" POLYEST CREAM HEMMED","Napkin.","Polyester","","1166642","54ee86f3-dda1-4f43-9998-c9d96a1c7395","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166642.JPG","","www.don.com/product/1166642","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP BIRDSEYE 22X22"" POLYEST STONE HEMMED","Napkin.","Polyester","","1166643","171f9c79-1342-4cac-8a7a-ccbc8ec192b1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166643.JPG","","www.don.com/product/1166643","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP BIRDSEYE 22X22"" POLYEST WHT HEMMED","Napkin.","Polyester","","1166644","a47e17bf-528f-4624-b401-86d93bb13578","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166644.JPG","","www.don.com/product/1166644","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP SATIN 22X22"" EMBOSSED EDGE POLY BLK","Napkin.","Polyester","","1166649","f5a0f051-2416-4b20-b91e-c5fc202e83a1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166649.JPG","","www.don.com/product/1166649","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP SATIN 22X22"" EMBOSSED EDGE POLY CREA","Napkin.","Polyester","","1166650","d7007f6c-9097-4cc3-80c1-430799ad2053","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166650.JPG","","www.don.com/product/1166650","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"NAP SATIN 22X22"" EMBOSSED EDGE POLY WHT","Napkin.","Polyester","","1166651","37c06b93-a621-4502-a88f-0005dc242059","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1166651.JPG","","www.don.com/product/1166651","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"SCARF DINING 34X25"" SIGNITURE BLACK","Dining Scarf.","Polyester","","1171258","1de1ed47-ac2c-454c-922a-ce46dac13ced","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1171258.JPG","","www.don.com/product/1171258","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
"SCARF DINING 34X25"" SIGNITURE MAROON","Dining Scarf.","Polyester","","1171274","99b4c977-6069-4067-a3fc-df840336acdd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1171274.JPG","","www.don.com/product/1171274","","","","Snap-Drape International","Linens","Cloth Napkins","Polyester Napkins","All Polyester Napkins","","","Edward don","",""
