"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TABLECOVER 52X52"" ROVE VINYL TAN","TableCloth. Premium vinyl with polyester knit backing. Heavyweight 6 gauge, flame resistant. Merrowed edges.","Vinyl","","1006526","84ad5fbe-85f2-43b3-9291-00d8da018fdb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006526.JPG","","www.don.com/product/1006526","","","","Snap-Drape International","Linens","Cloth Table Covers","Marko","Tablecloths","","","Edward don","",""
"COVER ICE BIN SPANDEX BLK","Ice Bin Cover. Form-fitting cover for Cambro rolling ice bin. True four-way stretch spandex/polyester blend fabric is machine washable and flame retardant. Custom sizes available.","Spandex","","1045742","12049843-df92-409b-be6d-1d7d9787b703","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045742.JPG","","www.don.com/product/1045742","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 30"" HIGHBOY SPANDEX BLK","Cover. Form fitting spandex cover for cocktail height tables. True four-way stretch spandex/polyester blend fabric is machine washable/dryable and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling tables and circle base tables must be specified. Standard spandex covers will be for an ""X-base"" table leg design.","Spandex","","1045743","25c69c6a-e00b-4a0e-b8c7-9529326626a8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045743.JPG","","www.don.com/product/1045743","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 36"" HIGHBOY SPANDEX BLK","Cover. Form fitting cover for cocktail height table. True four-way stretch spandex/polyester blend fabric is machine washable and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling tables and circle base tables must be specified. Standard spandex covers will be for an ""X-base"" table leg design.","Spandex","","1045744","0f377a33-30ce-4a22-b3a5-04fe37c3eb3d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045744.JPG","","www.don.com/product/1045744","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 60"" RND SPANDEX BLK","Cover. Form fitting cover for sit down round table. True four-way stretch spandex/polyester blend fabric is machine washable/dryable and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling table must be specified. Standard spandex covers will be for a four-legged table.","Spandex","","1045745","17b554cc-62a5-4f3a-a5f6-3f589abcb18b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045745.JPG","","www.don.com/product/1045745","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE BANQUET 6X30"" SPANDEX BLK","Cover. Robust table covers are designed for rigors of high traffic use to offer lasting purchase value. Patented polycaster boots extend product life by preventing linen from coming in contact with ground. Measuring not required; true 4-way stretch easily stretches over most standard tables. Easy to install, no pressing or dry cleaning required. Screenprinting, branding and custom designs are available. Over 30 color and style options available; ask your Don Sales Representative for more information.","Spandex","","1045746","92c09a8e-2284-435d-b24b-57375a800b23","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045746.JPG","","www.don.com/product/1045746","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 72"" RND SPANDEX BLK","Cover. Robust table covers are designed for rigors of high traffic use to offer lasting purchase value. Patented polycaster boots extend product life by preventing linen from coming in contact with ground. Measuring not required; true 4-way stretch easily stretches over most standard tables. Easy to install, no pressing or dry cleaning required. Screenprinting, branding and custom designs are available. Over 30 color and style options available; ask your Don Sales Representative for more information.","Spandex","","1045747","b68240b7-d3ed-464e-b442-333b6eb54329","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045747.JPG","","www.don.com/product/1045747","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE BANQUET 8X30"" SPANDEX BLK","Cover. Form fitting cover for rectangular banquet table. True four-way stretch spandex/polyester blend fabric is machine washable/dryable  and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling table must be specified. Standard spandex covers will be for a four-legged table.","Spandex","","1045748","a39ea2be-87db-47a0-81a2-74daa66dc6b6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045748.JPG","","www.don.com/product/1045748","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 84"" SERPENTINE SPANDEX BLK","Cover. Form fitting spandex cover for serpentine style table. True four-way stretch spandex/polyester blend fabric is machine washable/dryable and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling table must be specified. Standard spandex covers will be for a four-legged table.","Spandex","","1045749","02f517fd-e89d-4e05-a80d-55dc932a3d23","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045749.JPG","","www.don.com/product/1045749","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
"COVER TABLE 30"" HIGHBOY SPANDEX WHT","Cover. Form fitting spandex cover for cocktail height tables. True four-way stretch spandex/polyester blend fabric is machine washable/dryable and flame retardant. Patented poly caster boots extend product life. Measurement not required. Rolling tables and circle base tables must be specified. Standard spandex covers will be for an ""X-base"" table leg design.","Spandex","","1045750","b3ae09eb-218e-4f79-8faf-7fb8ad201115","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045750.JPG","","www.don.com/product/1045750","","","","Sculptware","Linens","Cloth Table Covers","Polyester Table Covers","All Polyester Table Covers","","","Edward don","",""
