"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"PLACEMAT 13X14"" METROWEAVE VINYL BLK","Placemat.","Vinyl","","1008597","10a94388-a403-46e8-8e96-e868b9cf2512","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008597.JPG","","www.don.com/product/1008597","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 12X16"" BSKTWVE VINYL WHT","Placemat.","Vinyl","","1010771","767abf93-f65b-41e1-aa24-ab338f948b8e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010771.JPG","","www.don.com/product/1010771","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 12X16"" TWEED VINYL BLK","Vinyl Placemat.","Vinyl","","1016336","1c7bc97b-deed-47b7-a318-c559384b9eb4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016336.JPG","","www.don.com/product/1016336","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 13X14"" BSKTWVE VINYL LINNEN TAN","Placemat.","Vinyl","","1016999","c9185e08-f7ea-4bd2-8add-3ecaf55a759b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1016999.JPG","","www.don.com/product/1016999","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 13X14"" RATTAN VINYL OFF WHT","Placemat.","Vinyl","","1017175","863d9a22-011b-4916-8675-078db0859193","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017175.JPG","","www.don.com/product/1017175","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 11X14"" RATTAN VINYL OFF WHT","Placemat.","Vinyl","","1017176","4ef7645a-63bc-4b57-9ccb-8f893b5628e7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017176.JPG","","www.don.com/product/1017176","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 16X12"" RUSH VINYL TAN","Placemat. Stain, fade, bacteria and heat resistant up to 300° F. The natural look and feel adds definition and color while reducing laundering and linen costs. Proprietary Thermosealed™ edges. In-house custom capabilities. Ask your DON representative for more details..","Vinyl","","1017177","ad3116e7-2532-46c6-a935-587e4f7c8b99","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017177.JPG","","www.don.com/product/1017177","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 11X14"" RUSH VINYL TAN","Placemat.","Vinyl","","1017179","835ea704-987e-444f-b445-c55cb6dd8fba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017179.JPG","","www.don.com/product/1017179","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 13X14"" TWEED VINYL BLK","Placemat.","Vinyl","","1017180","97774a4d-278c-4f6e-87e5-ad1811d30fdb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017180.JPG","","www.don.com/product/1017180","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 16X12"" URBAN VINYL ASSORTED","Placemat.","Vinyl","","1017182","e1e7b422-9693-4110-b612-dc56635a28dd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017182.JPG","","www.don.com/product/1017182","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
"PLACEMAT 11X14"" URBAN VINYL ASSORTED","Placemat.","Vinyl","","1017183","d9bbf314-028a-4efd-801b-44a5ab7f2845","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1017183.JPG","","www.don.com/product/1017183","","","","Front Of The House","Linens","Place Mats_Table Pads","Placemats","All Placemats","","","Edward don","",""
