"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"COVER TABLE HI-TOP RND 30"" BLK","Table Cover. True four-way stretch polyester/spandex fabric embraces the table for a snug fit. Easy to install with no measuring, pinning or clips required. Reinforced plastic feet are sewn in to hold the cover firmly in place. Machine washable; no pressing or dry cleaning required. Available in a variety of colors, ask your DON sales representative for more information.","Polyester","","1194261","776e875c-6466-4c89-8020-a634503de94b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1194261.JPG","","www.don.com/product/1194261","","","","Snap-Drape International","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"COVER CONTOUR SLIM JIM TRASH CAN BLK","Trash Can Cover.","Polyester","","1033334","b66f09f6-afd6-4524-bdad-fe53b939e21c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033334.JPG","","www.don.com/product/1033334","","","","Snap-Drape International","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 42X42"" 2 PLY POLY WHITE","Tablecloth.","100% Polyester","","1212166","db8d4fef-a452-4c7e-8ab6-3eb03dfda9f7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1212166.JPG","","www.don.com/product/1212166","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 54X54"" SATIN BND POLY-COT WHT","Tablecloth.","45/55 Poly/Cotton Blend","","1212159","1dfdf17d-22c0-487f-a592-42762c0f5914","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1212159.JPG","","www.don.com/product/1212159","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 18X72"" SPUN POLY BLK","Tablecloth.","100% Polyester","","1235215","f7995f04-dd79-46fa-a514-4d0851de0497","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235215.JPG","","www.don.com/product/1235215","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X96"" SPUN POLY BLK","Tablecloth.","100% Polyester","","1235219","61b0b52a-534f-4bad-be98-50d44f24e6f8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235219.JPG","","www.don.com/product/1235219","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"SKIRTING 17X29"" BOX PLT POLY BLK","Skirting.","100% Polyester","","1235221","e6c8ca61-5766-4f47-b0c5-5ba71c0cc3e4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235221.JPG","","www.don.com/product/1235221","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X72"" SPUN POLY BLK","Tablecloth.","100% Polyester","","1235217","4e603a73-3ffe-4a98-939a-612baf78deee","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235217.JPG","","www.don.com/product/1235217","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 64X64"" COTTON WHITE","Tablecloth.","100% Polyester","","1212161","7b59c06d-ccca-4443-82b2-68eeeb853bf1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1212161.JPG","","www.don.com/product/1212161","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"SKIRTING 21X29"" SHIRRED PLT BLK","Skirting.","100% Polyester","","1235223","e4b36f71-20c6-4795-a3a6-257236b9c276","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235223.JPG","","www.don.com/product/1235223","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 30X72"" PLT SPUN POLY BLK","Tablecloth.","100% Polyester","","1235218","b7bce5b8-619d-4776-83d1-0213bf6d5978","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235218.JPG","","www.don.com/product/1235218","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X96"" POLY BLK","Tablecloth.","100% Polyester","","1235213","3e2e16be-adf0-4057-a2e1-78ba11749388","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235213.JPG","","www.don.com/product/1235213","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X72"" PLT POLY BLK","Tablecloth.","100% Polyester","","1235212","e0041534-a6a8-485c-bb2f-1cb7b3cb1089","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235212.JPG","","www.don.com/product/1235212","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 18X72"" PLT SPUN POLY BLK","Tablecloth.","100% Polyester","","1235216","f27176ce-cb93-40e9-9a43-a9dfc2717491","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235216.JPG","","www.don.com/product/1235216","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 42X42"" 2 PLY POLY BLACK","Tablecloth.","100% Polyester","","1212167","c183a4c7-e176-4e3b-adf2-b080879f16ce","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1212167.JPG","","www.don.com/product/1212167","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 3 SIDE 18X72"" POLY WHT","Tablecloth.","100% Polyester","","1235729","1f99f049-b01c-4c75-b1d6-c257eb958302","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235729.JPG","","www.don.com/product/1235729","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X96"" PLT POLY BLK","Tablecloth.","100% Polyester","","1235214","b6905e14-c319-46cc-a6ab-c3c8b2e5bcaf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235214.JPG","","www.don.com/product/1235214","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 54X54"" COTTON WHITE","Tablecloth.","100% Polyester","","1212160","6a4b25ad-8822-48b9-8dbc-c4869f12c572","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1212160.JPG","","www.don.com/product/1212160","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 30X96"" PLT SPUN POLY BLK","Tablecloth.","100% Polyester","","1235220","bd41d666-6ab3-4e28-990b-d4ffd3468946","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235220.JPG","","www.don.com/product/1235220","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"SKIRTING 21X29"" BOX PLT POLY BLK","Skirting.","100% Polyester","","1235222","7a9a4599-13c1-46e6-9ff8-bdc4c1e7b81b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235222.JPG","","www.don.com/product/1235222","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 18X72"" PLT POLY BLK","Tablecloth.","100% Polyester","","1235210","dbed08db-5956-4a07-b546-beca943c16b8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235210.JPG","","www.don.com/product/1235210","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
"TABLECLOTH 4 SIDE 30X72"" POLY BLK","Tablecloth.","100% Polyester","","1235211","bba58094-8183-40e2-9761-e0096d5c6125","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1235211.JPG","","www.don.com/product/1235211","","","","Sculptware","Linens","Polyester Table Covers","All Polyester Table Covers","Contour","","","Edward don","",""
