"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CLIP SKIRTING PLASTIC 1-1/4""","Clip. Lightweight tables are designed for frequent transport and handling. All through-bolt construction—no screws to come loose. Durable, blow molded polyethylene top surface. Rugged steel frame. Gravity lock folding legs.","Plastic","","F1452","94420c61-12fc-4cc5-8eee-d51a3c5f6a3b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/F1452.JPG","","www.don.com/product/F1452","","","","Forbes Industries","Linens","Table Skirting","Table Skirting Clips","Snap Clips","","","Edward don","",""
"HANGER SKIRTING 30X5-1/2"" METAL WHT","Hanger. Store skirting with efficiency. No need to remove clips for storage. 4L17 is in stock for quick delivery.","Steel","","4L17","dda2c87c-6c3f-45ee-b4ff-6e111ff0f55c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/4L17.JPG","","www.don.com/product/4L17","","","","Snap-Drape International","Linens","Table Skirting","Storage Systems","All Storage Systems","","","Edward don","",""
"CLIP SKIRTING 3/4"" WV POLYCARB VELCRO","Table Skirt Clip.","Polycarbonate","","1158882","0156d95b-32f1-4964-bb72-bcc80e9d1a00","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158882.JPG","","www.don.com/product/1158882","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING LV POLYCARB VELCRO","Table Skirt Clip.","Polycarbonate","","1158876","71a50ae8-8f40-4c5c-824e-858be35d3a7b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158876.JPG","","www.don.com/product/1158876","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING1 1/2 - 2"" JV POLYCARB VELC","Table Skirt Clip.","Polycarbonate","","1158873","58c34f9e-746c-437c-8ef0-5d8aa76826b7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158873.JPG","","www.don.com/product/1158873","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING 2-1/2"" PLAS VELCRO","Skirt Clips.","Plastic","","1001269","e9675f99-8fad-4293-912b-4fadabfaeed4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001269.JPG","","www.don.com/product/1001269","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING 1-1/2"" DV POLYCARB VELCRO","Table Skirt Clip.","Polycarbonate","","1158865","d6f30690-b14b-4642-a9cb-4851eeccf490","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158865.JPG","","www.don.com/product/1158865","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING 3/4"" BV POLYCARB VELCRO","Table Skirt Clip.","Polycarbonate","","1158857","324abb4f-8032-4484-8a71-21dc477d583e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158857.JPG","","www.don.com/product/1158857","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING 1"" CV POLYCARB VELCRO","Table Skirt Clip.","Polycarbonate","","1158861","17766cf7-440f-4dcf-ab14-2b5b46c8222e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158861.JPG","","www.don.com/product/1158861","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
"CLIP SKIRTING 1-1/4"" KV PLAS VELCRO","Table Skirt Clip.","Polycarbonate","","1158875","730d4b14-9270-4f45-ad67-ad3d77d9c95a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1158875.JPG","","www.don.com/product/1158875","","","","Snap-Drape International","Linens","Table Skirting","Table Skirting Clips","Velcro Clips","","","Edward don","",""
