"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"MAT BASKETWEAVE 44-1/4X24-1/4"" VINYL BLK","Runner.","Vinyl","","1247850","c0f41c70-0ed2-46f3-b6be-66a11889fce2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1247850.JPG","","www.don.com/product/1247850","","","","Front Of The House","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"TABLECOVER 52"" VINYL RED CHECK","Tablecloth. Heavyweight. Adds comfort and convenience indoors and out. Eliminates laundry costs, wipes clean in seconds. An inexpensive way to transform the look of your dining room. Drapes like linen, color resists fading.","Vinyl","","L149","421a4c57-e4da-4bd5-be36-7395b4a61219","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/L149.JPG","","www.don.com/product/L149","","","","Snap-Drape International","Linens","Vinyl Table Covers","Cut Vinyl Table Covers","Light Cut Vinyl","","","Edward don","",""
"RUNNER RIB 14X72"" VINYL BUTTERSCOTCH","Runner.","Vinyl","","1244655","0b949bdf-a625-4ffd-bac2-b240c005e8d9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1244655.JPG","","www.don.com/product/1244655","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER TABLE 14X72"" BSKTWVE WHT","Placemat.","Vinyl","","1229029","85b41fda-cb67-4ab6-bab4-b22c229d02eb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1229029.JPG","","www.don.com/product/1229029","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER 14X72"" MOSAIC VINYL WHT/BLK","Runner.","Vinyl","","1244654","9d52815e-183a-44e3-81a9-dabd624454dd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1244654.JPG","","www.don.com/product/1244654","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER FLORA 14X72"" ALMOND","Runner. Flora mats and runners are suitable for indoor and outdoor use. Easy to clean with soap and water. Ultrasonically sealed to prevent fraying.","Vinyl","","1245396","fec37f7e-6771-4b50-b3ab-f6a40433abe2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1245396.JPG","","www.don.com/product/1245396","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER RIB WEAVE 14X72"" VINYL SPICE","Runner.","Vinyl","","1244656","0e84ae01-0f81-479a-9690-9173b6b293f6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1244656.JPG","","www.don.com/product/1244656","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER TABLE SAMPLER 14 X 72"" MULTI","Table Runner. This dynamic design is inspired by samplers that were used to learn and demonstrate darning: a sewing technique for repairing holes or worn areas in fabric by replicating the structure of the original material.. Dating back to at least the 18th century, these samplers typically covered small pieces of cloth in darning ""blocks"" of various weave structures in a variety of colors—especially blue, green, red, and yellow yarns—to make intricacies visible and show the weaver's skill..","Vinyl","","1229028","d59ab04a-025f-4e26-9093-88a3663d8548","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1229028.JPG","","www.don.com/product/1229028","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER 14X72"" BOTANIC VINYL MINT","Runner. Botanic is a fresh perspective on floral motifs, featuring a deconstructed bouquet brought to life on the loom..","Vinyl","","1244664","031bf5e2-1c0c-4958-bf19-8ccb5f3200e4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1244664.JPG","","www.don.com/product/1244664","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
"RUNNER BSKTWVE 14X72"" VINYL TEAK","Runner. One of the oldest and simplest of weaving constructions, Chilewich’s four-over-four Basketweave has become the most important vehicle for expressing our unique chromatic point of view.","Vinyl","","1244635","92dfea0f-97ec-456f-9dc9-8a93a569dfb3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1244635.JPG","","www.don.com/product/1244635","","","","Chilewich Sultan LLC","Linens","Vinyl Table Covers","Miscellaneous","Vinyl Table Covers","","","Edward don","",""
