"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CLOTH 16X16"" PREMIUM MICROFIBER BLK","Cloth.","Microfiber","","1195644","a2daa29f-2984-4b1d-bc03-bdeb90cc2095","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1195644.JPG","","www.don.com/product/1195644","","","","Impact Products LLC","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL KITCHEN 20X28"" LINEN WHT W/STRIPES","Towel.","100% Cotton","","1227771","9fc34145-755a-47f6-a6ed-d8f068814924","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1227771.JPG","","www.don.com/product/1227771","","","","John Ritzenthaler Company","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BAR 16X19"" COTTON WHITE W/GOLD","Bar Towel.","Cotton","","1183771","7fb65100-b561-41f2-8c29-8f5390093f54","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1183771.JPG","","www.don.com/product/1183771","","","","John Ritzenthaler Company","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH 27X54 SPA & COMFORT WHT","Bath Towel.","100% Cotton","","1136349","cda31ecc-32b9-45b5-b33d-fbde756854eb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136349.JPG","","www.don.com/product/1136349","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH POOL 24X50 R&R VALUE WHT","Bath Towel.","Cotton","","1136335","92714ff2-d1a3-41f6-9174-fc37b141b805","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136335.JPG","","www.don.com/product/1136335","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"CLOTH WASH 13X13 SPA & COMFORT BGE","Wash Cloth.","100% Cotton","","1136360","5e65ce36-75ac-4dbe-8c8e-a12db00c8b0a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136360.JPG","","www.don.com/product/1136360","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL HAND 16X27 R&R VALUE GRN","Hand Towel.","100% Cotton","","1136342","d7301ce9-bae8-4444-a267-a4df790b7f3e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136342.JPG","","www.don.com/product/1136342","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH POOL 20X40 R&R VALUE WHT","Bath Towel.","100% Cotton","","1136328","f961c265-0786-460a-a226-a7ce4828ef7a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136328.JPG","","www.don.com/product/1136328","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH POOL 22X44 R&R VALUE BLU STRP","Bath Towel.","100% Cotton","","1136331","b8ac80e5-f827-4985-88df-b0a05519cc30","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136331.JPG","","www.don.com/product/1136331","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL HAND 16X27 R&R VALUE BRN","Hand Towel.","100% Cotton","","1136338","33617433-5371-4873-bfe7-b3aee8d27a96","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136338.JPG","","www.don.com/product/1136338","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH POOL 24X48 R&R VALUE WHT","Bath Towel.","Cotton","","1136334","c20f170f-318d-4fe2-b7d8-b5c7c1d4399e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136334.JPG","","www.don.com/product/1136334","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
"TOWEL BATH POOL 24X48 R&R VALUE WHT","Bath Towel.","100% Cotton","","1136332","3daf2693-1e1e-4768-b86e-b6d8398d99dc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1136332.JPG","","www.don.com/product/1136332","","","","R&R Textile Mills","Linens","Towels","Towels Non-Kitchen_Bar","All Towels","","","Edward don","",""
