"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"DETERGENT LOW TEMP LTD POWER 5 GAL","Detergent. Heavy duty non-chlorinated low temperature mechanical liquid dishwashing detergent. Formulated for cleaning dishes, glassware, plasticware, pots, pans and utensils. For low to moderate water hardness, phosphate free. Your DON Sales Representative will establish dilution rate depending on machine type and water conditions.","","","1113551","773212e0-35c8-4ae6-8ea7-1ca484ea6c56","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113551.JPG","","www.don.com/product/1113551","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Liquid Detergents","","","Edward don","",""
"SANITIZER LOW TEMP KLOR KLEEN 5 GAL","Sanitizer. Concentrated sanitizer releases chlorine in low temperature dish machine solutions. Provides the most economical use of sanitizing & disinfection and ensures sanitary food contact surfaces. Use with automatic dispensing equipment. Your DON Sales Representative will establish proper dilution rate depending on machine type and water conditions.","","","1113552","e8dbb53b-1537-493e-ab60-e68717bf18fa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113552.JPG","","www.don.com/product/1113552","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Rinse Aids_Additives_Sanitizers","","","Edward don","",""
"DETERGENT DISH SOLID CAPSULATED 9 LBS","Dish Detergent. All-temperature warewashing detergent provides clean dishware and sparkling glassware under heavy soil condition sin soft to moderately hard water. Use with automatic dispensing system in any dishmachine for washing all types of china, tableware and glassware. Efficiently breaks down soils.","","","1113554","de13c0a7-1b34-4256-b65c-779bf6dff6aa","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113554.JPG","","www.don.com/product/1113554","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Solid Detergents","","","Edward don","",""
"DETERGENT POT & PAN SUPER SUDS 5 GAL","Detergent. Heavy-duty, non-chlorinated mechanical liquid dishwashing detergent formulated for superior cleaning of dishes, glassware, plasticware, pots, pans and utensils. Highly concentrated with a unique blend of wetting agents that causes glassware and utensils to dry without spots. Phosphate free and 100% biodegradable. Dispenses directly into three-compartment sink through Advantage Dispenser System.","","","1113555","e102e995-96b1-4be5-bd82-714e51e3f7f8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113555.JPG","","www.don.com/product/1113555","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Liquid Detergents","","","Edward don","",""
"SANITIZER QUAT 1 GAL","Sanitizer. Effective sanitizer, disinfectant and deodorizer for use on flatware, glassware, counter tops or any hard, non-porous surface. Highly concentrated formula provides the most economical use for sanitizing and disinfection with a broad spectrum kill. Easy to use; just spray surface with solution, wipe clean and dry with a clean cloth or sponge, no rinsing required.","","","1113556","76822e8f-c465-4ed7-abcb-14b6eeb49ea0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113556.JPG","","www.don.com/product/1113556","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Rinse Aids_Additives_Sanitizers","","","Edward don","",""
"PRESOAK SILVER SHINE 1 GAL","Presoak. Powerful, highly concentrated silverware pre-soak formulated with a superb blend of alkalies, water conditioners and wetting agents for excellent action and soil penetration. Non-caustic, will not harm aluminum or other soft metals. Presoak flatware prior to machine washing in a solution containing 1 oz. Silver Shine to 2 gallons water. Also works as a silver detarnisher in higher concentrations.","","","1113557","c1ef0208-fb0e-4d7f-aa6f-e2fbe27edf2f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113557.JPG","","www.don.com/product/1113557","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Presoaks_Destainers","","","Edward don","",""
"CLEANER GLASS CONCENTRATE 1 GAL","Cleaner. Effectively cleans a variety of surfaces and leaves a crystal clear, streak free finish. Concentrated fast-drying formula. Great for rest rooms, counter tops, glass, porcelain and other surfaces.","","","1113560","0b87567d-e7bd-4f54-a200-3d8337b57b79","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1113560.JPG","","www.don.com/product/1113560","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Housekeeping Products","Glass_All Purpose_Hard Surface Clea","","","Edward don","",""
"DETERGENT ALL TEMP DISH MACH 1 GAL","Detergent. Heavy-duty, non-chlorinated mechanical liquid dishwashing detergent formulated for superior cleaning of dinnerware, glassware, plastic ware, pots, pans and utensils. Easy to use concentrated high yield liquid formula automatically dispensed into dish machine. Your DON Sales Representative will establish the proper detergent concentration.","","","1116493","85bf7b8c-f20a-44e5-aa22-b265b526b540","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1116493.JPG","","www.don.com/product/1116493","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Liquid Detergents","","","Edward don","",""
"DETERGENT POT & PAN SUPER SUDS 1 GAL","Detergent. Heavy-duty, non-chlorinated mechanical liquid dishwashing detergent formulated for superior cleaning of dishes, glassware, plasticware, pots, pans and utensils. Highly concentrated with a unique blend of wetting agents that causes glassware and utensils to dry without spots. Phosphate free and 100% biodegradable. Dispenses directly into three-compartment sink through Advantage Dispenser System.","","","1116494","efc9cf9d-0df5-4f1f-8042-ef2dc7ce219c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1116494.JPG","","www.don.com/product/1116494","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Liquid Detergents","","","Edward don","",""
"DETERGENT SOLID DISH RINSE 5 LBS","Detergent. Super concentrated solid rinse aid keeps glassware, dinnerware and flatware free from water spots. Convenient disposable dispenser jar designed for easy storage and handling. Long-lasting, powerful formula for economical use for all soil loads and water conditions.","","","1116653","a1993240-0e2f-4e42-a8ca-89e616d92189","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1116653.JPG","","www.don.com/product/1116653","","","","Accurate Chemical Acquisition LLC","Serviced Chemical Products","Advantage","Kitchen Products","Solid Detergents","","","Edward don","",""
