"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"DETERGENT NATURAL STAIN 5 GAL","Liquid Detergent.","","","1001300","116290e6-f07a-421e-8a6e-25ab58ffa989","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001300.JPG","","www.don.com/product/1001300","","","","Ecolab","Serviced Chemical Products","Ecolab","Laundry Products","Detergents_Builders","","","Edward don","",""
"CLEANER FRYER GREASE ESPRESS","Fryer Cleaner.","","","1002048","5059b9de-3b00-4bab-9900-30429e5a5ba0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002048.JPG","","www.don.com/product/1002048","","","","Ecolab","Serviced Chemical Products","Ecolab","Kitchen Products","Cleaners_Degreasers_Delimers","","","Edward don","",""
"DETERGENT LAUNDRY NEUTRALIZER 15GL","Neutralizer.","","","1003334","fe9e3395-e804-4b3c-882d-69ed96697243","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003334.JPG","","www.don.com/product/1003334","","","","Ecolab","Serviced Chemical Products","Ecolab","Laundry Products","Detergents_Builders","","","Edward don","",""
"DETERGENT LAUNDRY SOLID SURGE PLUS 9 LB.","Laundry Detergent.","","","1004095","a6e8fcba-8a77-4bf8-bb79-d835b56430d0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1004095.JPG","","www.don.com/product/1004095","","","","Ecolab","Serviced Chemical Products","Ecolab","Laundry Products","Detergents_Builders","","","Edward don","",""
"DELIMER SOLID 1.33 LB LIME-A-WAY","Delimer.","","","1008230","9cc2b2bf-2954-46ae-bc95-1f5ebcfbbe6a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008230.JPG","","www.don.com/product/1008230","","","","Ecolab","Serviced Chemical Products","Ecolab","Kitchen Products","Cleaners_Degreasers_Delimers","","","Edward don","",""
"NEUTRALIZER FLOOR 90-.5 PKS FACILIPRO","Floor Neutralizer.","","","1010204","8df0c882-a1b3-4131-837e-7cb70240fa81","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010204.JPG","","www.don.com/product/1010204","","","","Ecolab","Serviced Chemical Products","Ecolab","Housekeeping Products","Floor Cleaners_Finishes_Sealers_Str","","","Edward don","",""
"SANITIZER MULTI-QUAT 1 GAL OASIS","Sanitizer.","","","1010437","0937f7fe-1e83-4a69-bbe5-21138375f56d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010437.JPG","","www.don.com/product/1010437","","","","Ecolab","Serviced Chemical Products","Ecolab","Housekeeping Products","Disinfectant Cleaners_Bleach_Ammoni","","","Edward don","",""
"OXY BRITE 55 GAL","Oxy Brite.","","","1010439","478f81df-9c33-4686-b2eb-24cdf67a76ad","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010439.JPG","","www.don.com/product/1010439","","","","Ecolab","Serviced Chemical Products","Ecolab","Laundry Products","Bleach_Stain Removers_Prespotters","","","Edward don","",""
"DISINFECTANT BATHROOM 2-1/2 GAL","Bathroom Disinfectant.","","","1010440","cb26803d-408d-410f-9599-bd0ef32b189d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010440.JPG","","www.don.com/product/1010440","","","","Ecolab","Serviced Chemical Products","Ecolab","Housekeeping Products","Bathroom Cleaners","","","Edward don","",""
"DETERGENT BUILDER C 55 GAL ECO-STAR","Detergent.","","","1010498","6e9d3285-d6b2-4a7f-9c4d-550f85f0ed92","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010498.JPG","","www.don.com/product/1010498","","","","Ecolab","Serviced Chemical Products","Ecolab","Laundry Products","Detergents_Builders","","","Edward don","",""
