"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"DETERGENT WAREWASH MULTI-TEMP 1 GAL","Detergent.","","","1027042","4143a4b2-48d5-463e-8bed-6bbc0466e4b0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027042.JPG","","www.don.com/product/1027042","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Liquid Detergents","","","Edward don","",""
"SANITIZER CLEAR 5 GAL","Sanitizer.","","","1027049","b75c2163-3a04-41d0-b171-ad8eab440bd8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027049.JPG","","www.don.com/product/1027049","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Rinse Aids_Additives_Sanitizers","","","Edward don","",""
"CLEANER ORANGE NEUTRAL 2-1/2 GAL","Cleaner.","","","1027051","ac72b71b-f442-408f-a9af-b01213147c0e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027051.JPG","","www.don.com/product/1027051","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Housekeeping Products","Glass_All Purpose_Hard Surface Clea","","","Edward don","",""
"DETERGENT POT & PAN PLATINUM 2-1/2 GAL","Detergent.","","","1027060","485914c2-7e66-40d6-af0e-e6195811f34f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1027060.JPG","","www.don.com/product/1027060","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Liquid Detergents","","","Edward don","",""
"CLEANER DEGREASER RED NON BUTYL 1 GAL","Degreaser Cleaner.","","","1029043","b52edab5-82c3-4cb8-837d-def6cebbabc0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029043.JPG","","www.don.com/product/1029043","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Cleaners_Degreasers_Delimers","","","Edward don","",""
"CLEANER DISINFECTANT PINK 2-1/2 GAL","Disinfectant Cleaner.","","","1029046","66febd6e-eb71-4ba9-a993-3d0bd4f5b3cc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029046.JPG","","www.don.com/product/1029046","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Housekeeping Products","Disinfectant Cleaners_Bleach_Ammoni","","","Edward don","",""
"DETERGENT DISH MACHINE SWISHER 9LB","Detergent.","","","1033379","d3840d31-30b3-4e70-ac46-262228328470","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033379.JPG","","www.don.com/product/1033379","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Solid Detergents","","","Edward don","",""
"RINSE LOW TEMP SWISHER 5 GAL","Rinse.","","","1033383","3382d55c-7aa2-4723-bd16-c95e70664415","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033383.JPG","","www.don.com/product/1033383","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Rinse Aids_Additives_Sanitizers","","","Edward don","",""
"CLEANER GEN PURP SWISHER CITRUS 1 GAL","Cleaner.","","","1033384","c4909339-8916-4848-a780-8a9a66bbbbd3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033384.JPG","","www.don.com/product/1033384","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Housekeeping Products","Glass_All Purpose_Hard Surface Clea","","","Edward don","",""
"DETERGENT POT PAN SWISHER PLATINUM 1 GAL","Detergent.","","","1033392","965fa673-753d-44d1-82d7-5a32187bb6da","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033392.JPG","","www.don.com/product/1033392","","","","R3 Papercraft","Serviced Chemical Products","Swisher","Kitchen Products","Liquid Detergents","","","Edward don","",""
