"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"DISINFECTANT 80 OZ LEMON YLW","DISINFECTANT 80 OZ LEMON YLW.","","","1183671","9d9be44e-5ccd-4683-af5b-7e21c9fcedf9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1183671.JPG","","www.don.com/product/1183671","","","","Nyco Products","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"DEGREASER FLOOR SCRUB 80 OZ PUR","DEGREASER FLOOR SCRUB 80 OZ PUR.","","","1183670","3fd62f4b-62a8-487e-9429-7bc5497f9361","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1183670.JPG","","www.don.com/product/1183670","","","","Nyco Products","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Housekeeping Products","","","Edward don","",""
"DELIMER SCALE FREE 4 LB CITRUS BASE","Scale Delimer.","","","1230662","b1592cf2-a988-4ed1-b34b-29d5bc8abb86","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1230662.JPG","","www.don.com/product/1230662","","","","Alto Shaam","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"SANITIZER HAND REFILL P&G 1200 ML","Hand Sanitizer Gel. A sparkling clean that will impress even the toughest critics. Industry-compliant disinfection and sanitization solutions. Simplified training and recognizable brands your employees know and trust.","","","1219268","64f5a060-2d71-4f38-ba77-7d9c9baad1c4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219268.JPG","","www.don.com/product/1219268","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"DELIMER LUSTER 1 GAL","Delimer.","","","1219266","e78edea3-de08-4a3f-8fe0-805a86ab1bbe","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219266.JPG","","www.don.com/product/1219266","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"DEGREASER HD DAWN PROF 1 GAL","MS Heavy Duty Degreaser. A sparkling clean that will impress even the toughest critics. Industry-compliant disinfection and sanitization solutions. Simplified training and recognizable brands your employees know and trust.","","","1211735","22cd10b3-3a60-47fd-b795-831e8eb1f3cb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1211735.JPG","","www.don.com/product/1211735","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"DETERGENT TIDE PRO LINE STAIN 7.6 OZ","Pro Stain Removal Powder. This full portfolio of trusted brands provide a superior clean your guests and employees will love. Tide brings wow-factor clean to everyday soils, with specially formulated enzymes to remove all kinds of stubborn stains like grease, rust, coffee and more. Discover which solution works best for your business.","","","1219269","623bcecd-862d-4bf0-8c9d-fd5891400c8f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219269.JPG","","www.don.com/product/1219269","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"DETERGENT CASCADE ALL TEMP 1 GAL","Auto Dish Detergent. A sparkling clean that will impress even the toughest critics. Industry-compliant disinfection and sanitization solutions. Simplified training and recognizable brands your employees know and trust.","","","1219275","b4428d1e-a0df-47b2-9a5d-f398e8f3aff1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219275.JPG","","www.don.com/product/1219275","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"BLEACH LAUNDRY CLOROX G GAL","PG Proline Bleach. This full portfolio of trusted brands provide a superior clean your guests and employees will love. Tide brings wow-factor clean to everyday soils, with specially formulated enzymes to remove all kinds of stubborn stains like grease, rust, coffee and more. Discover which solution works best for your business.","","","1219272","5ce3d573-ac95-47f6-92e0-99b676b472ad","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219272.JPG","","www.don.com/product/1219272","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
"SANITIZER WASH PRODUCE 2- GAL","Rinse Aid.","","","1219263","12b1d100-9625-48a0-99a2-a016246b172f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1219263.JPG","","www.don.com/product/1219263","","","","Procter & Gamble Distributing LLC","Serviced Chemical Products","All Serviced Chemicals","Serviced Chemicals","Kitchen Products","","","Edward don","",""
