"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"ASHTRAY 9X3-7/8"" NUDE TORCEDOR CRYSTAL","Ashtray.","Crystalline","","1238875","35940ec4-b9b3-4fb1-85b0-a3cbb7a417ef","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238875.JPG","","www.don.com/product/1238875","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 7-3/8X5"" NUDE TORCEDOR CRYSTAL","Ashtray.","Crystalline","","1238874","f95aa5c2-90e8-417c-89fe-d42931ab76dd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238874.JPG","","www.don.com/product/1238874","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY CIGAR 6-1/4"" NUDE CRYSTAL SHADE","Ashtray.","Crystalline","","1238879","adeff216-5398-4558-9ce1-d2652169a281","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238879.JPG","","www.don.com/product/1238879","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 7X5-1/8"" NUDE EGOIST CLEAR","Ashtray.","Crystalline","","1238878","e247eeb7-8b4b-467c-a0d1-5355f23c9854","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238878.JPG","","www.don.com/product/1238878","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 7-3/8"" NUDE TORCEDOR CRYSTAL","Ashtray.","Crystalline","","1238876","5b79b736-2528-4ede-bec8-8446ad1e090d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238876.JPG","","www.don.com/product/1238876","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 7-3/8X3-1/2"" PRESIDENTE CRYSTAL","Ashtray.","Crystalline","","1238880","69659f15-148d-4e10-ad84-78e028445693","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238880.JPG","","www.don.com/product/1238880","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 6"" NUDE ALTRUIST CRYSTAL","Ashtray.","Crystalline","","1238877","8ca20ea2-fff6-426a-998b-0e19e904f0be","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1238877.JPG","","www.don.com/product/1238877","","","","Steelite International","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY CIGAR 12"" LONG GLASS","Ashtray. Classic single use design with oversized reservoir to contain ash. Heavy textured glass rests securely on bar or tabletop. Provides the perfect accompaniment for the discerning cigar smoker.","Glass","","G2421","9e8549db-5fe2-46ad-a090-71ad1199ae3f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2421.JPG","","www.don.com/product/G2421","","","","Libbey Glass","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 4"" NOB HILL GLASS","Ashtray. Durable machine-pressed, fire-polished glass. Unique hob-nailed bottom matches popular Nob Hill tumblers. Stack design for compact storage.","Glass","","G2418","406c3add-fd7e-4786-8b86-77309dd6c1ea","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2418.JPG","","www.don.com/product/G2418","","","","Libbey Glass","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 3-3/4"" SQR GLASS","Ashtray. Machine-pressed, fire-polished to a high luster. 4 cigarette rests. Attractive stacking design.","Glass","","G2403","e1aa7214-afdd-4f04-a659-b56981e45719","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2403.JPG","","www.don.com/product/G2403","","","","Libbey Glass","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 5"" RND SAFETY GLASS","Ashtray. Made of solid, stressed glass. Safety design--cigarette falls inside ashtray.","Glass","","G2402","c555fa2e-7fdb-433f-b137-83612db28a0d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2402.JPG","","www.don.com/product/G2402","","","","Libbey Glass","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 4-1/4"" RND GLASS CLR","Ashtray. Keep this ashtray handy in bars, pubs, or restaurants to help keep tables and counters clean. Ideal for indoor or outdoor use. Round design features three cigarette notches.","Glass","","G2424","336512c3-f167-4a8e-b583-ee29cd6b3de7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2424.JPG","","www.don.com/product/G2424","","","","Libbey Glass","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 4-1/4"" CLR GLASS","Stacking Ashtray. Machine-pressed glass. Stackable to save valuable storage space. Available in colors.","Glass","","G2287","becd57da-1baf-4ead-95e8-396a771c7c67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2287.JPG","","www.don.com/product/G2287","","","","Cardinal International","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 3-1/4"" STACK GLASS BLK","Ashtray. Arcoroc® fully tempered glassware.","Glass","","G2530","841ca89e-fc6f-4013-9be5-33187cf4e8da","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2530.JPG","","www.don.com/product/G2530","","","","Cardinal International","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY ARCOROC 3-1/4"" GLASS","Ashtray.","Glass","","1002194","9e9d3887-2f66-45bc-b423-78aa74621bc2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002194.JPG","","www.don.com/product/1002194","","","","Cardinal International","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY STACKING 4-1/4"" BLK","Ashtray.","Glass","","G1445","b86cf58a-9110-4267-9da7-d2a2b1377c67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G1445.JPG","","www.don.com/product/G1445","","","","Cardinal International","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY 4"" NECESSITIES MEL BLK","Ashtray.","Melamine","","1033865","aa670bb5-4699-446e-988d-ba5635c8264a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033865.JPG","","www.don.com/product/1033865","","","","G.E.T","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY ECONOMY 3-3/4X1-3/4"" BLACK","Ashtray.","Phenolic","","1239441","fb725a17-56ad-4a64-b84f-a61cf6c181eb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1239441.JPG","","www.don.com/product/1239441","","","","Tablecraft Products - Food Servi","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY WINDPROOF 5"" MEL BLK","Ashtray.","Melamine","","1059591","beea50ad-8ab0-4b05-8a90-cceb73c788ce","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1059591.JPG","","www.don.com/product/1059591","","","","Tablecraft Products - Food Servi","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 3-1/4X1-1/4"" PLAS BLK","Ashtray.","Plastic","","1034256","dc371940-788f-462f-a255-f1dbb609ab7c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034256.JPG","","www.don.com/product/1034256","","","","Tablecraft Products - Food Servi","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 4X1-3/4"" DEEP WELL PLASTIC BLK","Ashtray.","Phenolic","","1239097","71504830-71fb-4c44-9476-2234c6045264","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1239097.JPG","","www.don.com/product/1239097","","","","Tablecraft Products - Food Servi","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY URN 20X10"" CHROME PLATED TOP BL","Ash Tray.","","","1020398","b4528fe9-a500-4a27-99a2-50b949965376","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1020398.JPG","","www.don.com/product/1020398","","","","Franklin Machine Products","Table Service","Ashtrays","Miscellaneous","Ashtrays","","","Edward don","",""
"ASHTRAY 4-3/8"" STACKING","Ashtray. Machine-pressed, fire-polished glass. Made for heavy institutional use. Stackable design for easy storage.","Glass","","G2409","592610ca-f07f-4dda-ac65-7032fb11668d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/G2409.JPG","","www.don.com/product/G2409","","","","Lancaster Commercial Products","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY LARGE 6-1/2"" GLASS CLR","Ashtray.","Glass","","1114433","79aa2ec8-3060-4b54-8030-8a4566864bd9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1114433.JPG","","www.don.com/product/1114433","","","","Lancaster Commercial Products","Table Service","Ashtrays","Glass Ashtrays","All Glass Ashtrays","","","Edward don","",""
"ASHTRAY FAST FOOD RND 3-1/4"" MEL WHT","Ashtray.","Melamine","","1104410","ba6fd02f-b7ea-47b2-bc3e-b4aba9368437","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1104410.JPG","","www.don.com/product/1104410","","","","Ntl Brands","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 4"" RND WINDPROOF WHT","Ashtray. Perfect for outdoor drinking and dining, windproof ashtrays are stackable and break-resistant. Melamine and phenolic ashtrays are burn-resistant; dishwasher safe.","Melamine","","M5243","be3b50bb-d34f-4858-9019-9ef499a2ad2b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/M5243.JPG","","www.don.com/product/M5243","","","","Ntl Brands","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 7X1-1/4"" BLK","Executive Ashtray.","Phenolic","","1038537","cb538d49-9517-4647-b362-8edefec51dfb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1038537.JPG","","www.don.com/product/1038537","","","","Ntl Brands","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 4X1-3/4"" MEL BLK","Ash Tray.","Melamine","","1008772","e1196a86-cd76-47fe-a3b0-ace898047550","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008772.JPG","","www.don.com/product/1008772","","","","Crestware","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
"ASHTRAY 3-1/2"" PLASTIC STACK","Ashtray. Made of durable plastic. Center safety ridge. Attractively designed, conveniently styled. Stackable.","Phenolic","","M2532","2c93e01d-7513-498c-a50b-84dda9301fd4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/M2532.JPG","","www.don.com/product/M2532","","","","Ntl Brands","Table Service","Ashtrays","Plastic Ashtrays","All Plastic Ashtrays","","","Edward don","",""
