"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"SERVER 1.9 LITER COFFEE INSUL","Coffee Server.","Stainless Steel","","1000190","31e9f22b-a4be-4ca2-8e5d-430ddf0bd2c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000190.JPG","","www.don.com/product/1000190","","","","Service Ideas","Table Service","Beverage Service","Insulated Servers","Pitcher Servers","","","Edward don","",""
"PITCHER BEER 60 OZ SAN CLR","Pitcher.","SAN","","1000295","1a6f4337-7329-42ec-b11e-8e2212a7372b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000295.JPG","","www.don.com/product/1000295","","","","G.E.T","Table Service","Beverage Service","Water_Beverage Pitchers","Plastic Pitchers","","","Edward don","",""
"SERVER COFFEE 24 OZ BELLE","Coffee Server.","18/8 Stainless Steel","","1000358","8fd162a7-c21b-43de-8bd1-8a0900f881ba","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000358.JPG","","www.don.com/product/1000358","","","","World Tableware","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"COOLER ICE WINE LINEA","Wine Cooler.","Stainless Steel","","1000886","adcb45dd-d17a-4376-85ca-fc177e76abe9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000886.JPG","","www.don.com/product/1000886","","","","Rosenthal Sambonet USA Ltd","Table Service","Beverage Service","Ice Buckets","All Ice Buckets","","","Edward don","",""
"STAND COOLER ICE WINE LINEA","Wine Stand for Ice Bucket.","Stainless Steel","","1000887","fed1416f-9d9b-481f-a08a-3e116d8cc326","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000887.JPG","","www.don.com/product/1000887","","","","Rosenthal Sambonet USA Ltd","Table Service","Beverage Service","Ice Buckets","All Ice Buckets","","","Edward don","",""
"PRESS FRENCH 23 OZ 18/10 SS","French Press.","18/10 Stainless Steel","","1001448","74f57df0-8746-4a81-bd00-7564395e9c67","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001448.JPG","","www.don.com/product/1001448","","","","Frieling USA","Table Service","Beverage Service","Water_Beverage Pitchers","18_10% Stainless Steel Pitchers","","","Edward don","",""
"STAND WINE COOLER 2 BTL SLV PLT","Wine Cooler Stand - 2 Bottle.","18/10 Stainless Steel","","1001891","48bf38de-070b-41ec-9718-ab1737104ef1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001891.JPG","","www.don.com/product/1001891","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Buckets_Stands","","","Edward don","",""
"BOWL CHAMPAGNE W/O RING SL PLT","Champagne Bowl.","18/10 Stainless Steel","","1001901","10bb8488-e485-4373-9804-8cad585bf9f4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001901.JPG","","www.don.com/product/1001901","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Buckets_Stands","","","Edward don","",""
"STRAINER TEA 4.5"" SILVER PLATE","Tea Strainer.","Stainless Steel","","1001934","eecc8e0b-3634-44cf-b456-62350a771958","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001934.JPG","","www.don.com/product/1001934","","","","Rosenthal Sambonet USA Ltd","Table Service","Beverage Service","Miscellaneous","Beverage Service","","","Edward don","",""
"BUCKET ICE 1.5 QT BRN","Ice Bucket.","Plastic","","1002005","98b80d97-5ac8-4586-9b73-c55cf558f686","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002005.JPG","","www.don.com/product/1002005","","","","Lancaster Commercial Products","Table Service","Beverage Service","Ice Buckets","All Ice Buckets","","","Edward don","",""
"PITCHER WATER 70 OZ W/O GUARD","Water Pitcher.","18/8 Stainless Steel","","1002219","9c549e0d-1501-4fa5-9e8a-eb202ed99f1b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002219.JPG","","www.don.com/product/1002219","","","","World Tableware","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"TEAPOT 17 OZ 18/10 SS KAMINA","Teapot.","18/10 Stainless Steel","","1002619","5816f9b6-a4df-4120-b066-9c73b1a34ca7","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002619.JPG","","www.don.com/product/1002619","","","","Steelite International","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"COOLER WINE BAMBOO 9-1/2"" SS","Wine Cooler.","Stainless Steel","","1002763","0c853fa2-f204-46ad-9eee-cad72e0bd348","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002763.JPG","","www.don.com/product/1002763","","","","Rosenthal Sambonet USA Ltd","Table Service","Beverage Service","Wine Service","Wine Sellers_Coolers","","","Edward don","",""
"SERVER 10 OZ INSULATED","Server.","Stainless Steel","","1002842","0aec9379-8426-4bde-9b9f-4c0e4e23cf01","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002842.JPG","","www.don.com/product/1002842","","","","Bon Chef","Table Service","Beverage Service","Insulated Servers","Air Pot Servers","","","Edward don","",""
"LID REPLACEMNT F/1S4483 PITCHER","Lid.","Stainless Steel","","1002843","ea0da739-8f04-4005-90b9-5f48d3aad156","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002843.JPG","","www.don.com/product/1002843","","","","Bon Chef","Table Service","Beverage Service","Insulated Servers","Pitcher Servers","","","Edward don","",""
"PITCHER COLD 1.9 L W/CLR LID","Pitcher. BPA Free Plastic. Will not sweat. Designed by Stanley® Commercial.","Polycarbonate","","1003036","32f83e02-eee2-4610-b6ce-7e538e5779d4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003036.JPG","","www.don.com/product/1003036","","","","Service Ideas","Table Service","Beverage Service","Water_Beverage Pitchers","Plastic Pitchers","","","Edward don","",""
"PITCHER 48 OZ POLYCARBONATE CLR","Pitcher. Lightweight for easy handling.. Exclusive ice-control contoured lip and pour spout reduce spills.. Slotted base allows for complete and sanitary drying.. Range in size from 32 oz to 64 oz.","Polycarbonate","","1003073","53beba1a-bebf-4d37-ae84-59b9d34c842f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003073.JPG","","www.don.com/product/1003073","","","","Cambro Manufacturing","Table Service","Beverage Service","Water_Beverage Pitchers","Plastic Pitchers","","","Edward don","",""
"CUP FROTHING 32-36 OZ 18/8 SS","Frothing Cup.","18/8 Stainless Steel","","1003077","403e8084-2ec0-4b6b-9419-73e1de41c717","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003077.JPG","","www.don.com/product/1003077","","","","Tablecraft Products - Food Servi","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"CUP FROTHING 12-14 OZ 18/8 SS","Frothing Cup.","18/8 Stainless Steel","","1003078","e4093e5a-1473-42db-9d1f-bd28a4470c19","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003078.JPG","","www.don.com/product/1003078","","","","Tablecraft Products - Food Servi","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"TEAPOT 25 OZ TRADITION SP","Teapot.","18/10 Stainless Steel","","1003195","ee0de1ac-0821-45bf-b5cf-c7f8473558de","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003195.JPG","","www.don.com/product/1003195","","","","Bauscherhepp","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"COOLER WINE 9-3/4"" 2 BOTTLE SP","Wine Cooler.","18/10 Stainless Steel","","1003200","11cdc225-04f0-4f3e-969b-5dae5c82ab25","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003200.JPG","","www.don.com/product/1003200","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Sellers_Coolers","","","Edward don","",""
"COOLER WINE 2 BOTTLE SS","Wine Cooler.","18/10 Stainless Steel","","1003498","b5e1365a-2aa8-440a-817c-6dcdcd2e8cbd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003498.JPG","","www.don.com/product/1003498","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Sellers_Coolers","","","Edward don","",""
"STAND WINE 25-5/8"" SS","Wine Stand.","18/10 Stainless Steel","","1003499","90688c53-fbbb-4d24-bb79-2a1549af400f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003499.JPG","","www.don.com/product/1003499","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Buckets_Stands","","","Edward don","",""
"COOLER WINE 8-5/8"" SINGLE SS","Wine Cooler.","18/10 Stainless Steel","","1003507","c9a57aa7-680f-4d72-9b00-9fbd214f8b55","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003507.JPG","","www.don.com/product/1003507","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Sellers_Coolers","","","Edward don","",""
"COOLER WINE 7"" MARBLE WHT","Wine Cooler.","Marble","","1003914","152e3406-e908-46d9-8a17-d892066a4f84","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003914.JPG","","www.don.com/product/1003914","","","","American Metalcraft","Table Service","Beverage Service","Wine Service","Wine Sellers_Coolers","","","Edward don","",""
"TEAPOT W/OUT COVER 16 OZ ALUM BLU","Teapot.","Aluminum","","1003933","70eadf2a-750c-4b35-9c1b-d7dc7c574c8f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003933.JPG","","www.don.com/product/1003933","","","","Bon Chef","Table Service","Beverage Service","Water_Beverage Pitchers","Metal Pitchers","","","Edward don","",""
"STAND F/WINE COOLER 1 BOTTLE SS","Wine Stand.","18/10 Stainless Steel","","1003981","70994f5e-f4ae-4333-a7c5-70c80f2624a2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003981.JPG","","www.don.com/product/1003981","","","","Bauscherhepp","Table Service","Beverage Service","Wine Service","Wine Buckets_Stands","","","Edward don","",""
"PITCHER WATER DBL WALL 66 OZ SS","Water Server.","18/10 Stainless Steel","","1003992","2595ed14-fd2e-4df2-90f5-b78b7dba832a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003992.JPG","","www.don.com/product/1003992","","","","Bauscherhepp","Table Service","Beverage Service","Insulated Servers","Pitcher Servers","","","Edward don","",""
