"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"HOLDER CARD 3-1/2X2"" IRON BLK","Card Holder.","Iron","","1006561","1d9d954f-e888-4098-adb1-a2a483a44301","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006561.JPG","","www.don.com/product/1006561","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER CARD 8-1/2X11"" IRON BLK","Card Holder.","Iron","","1006563","80e8f4e9-2df4-4e9c-8a46-9002235cb723","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006563.JPG","","www.don.com/product/1006563","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN COFFEE 3X2"" BAMBOO TAN","Coffee Sign. Environmentally-friendly bamboo signs help your guests identify the beverage they are looking for. Letters are easy to read.","Bamboo","","1006575","cf79a08d-581e-4e86-96b1-e7f853a5e4cd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006575.JPG","","www.don.com/product/1006575","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN DECAF COFFEE 3X2"" BAMBOO","Decafeinated Sign. Environmentally-friendly bamboo signs help your guests identify the beverage they are looking for. Letters are easy to read.","Bamboo","","1006576","90c138a0-85d1-4b1e-81fd-688218c6427a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006576.JPG","","www.don.com/product/1006576","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN HOT WATER 3X2"" BAMBOO TAN","Hot Water Sign. Environmentally-friendly bamboo signs help your guests identify the beverage they are looking for. Letters are easy to read.","Bamboo","","1006577","facd0878-d4e5-4733-94d9-5bd12d98e425","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1006577.JPG","","www.don.com/product/1006577","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN HOLDER BAMBOO","Bamboo Menu Holder.","Bamboo","","1019635","e98f2105-35ec-49be-a097-e590761c7be0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1019635.JPG","","www.don.com/product/1019635","","","","Front Of The House","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU 2X2-1/2"" SWIRL STYLE ABS BLK","Card Holder.","ABS","","1019675","1793fd9c-528a-4237-99ae-4fd5c81abd4f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1019675.JPG","","www.don.com/product/1019675","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN CARD 3-3/4X2-1/2"" RECT CERAMIC WHT","Card Sign.","Ceramic","","1026469","8652c9a4-040b-422c-9d10-b934069c0698","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026469.JPG","","www.don.com/product/1026469","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN CARD 5-1/2X3-1/2"" RECT CERAMIC WHT","Card Sign.","Ceramic","","1026470","3bfa9672-3a8e-421b-a089-e14410ca248e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026470.JPG","","www.don.com/product/1026470","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU 4X6"" CURVED ACRYLIC","Menu Holder. Display your policies, menu specials, business hours or special promotions in a timely manner. Choose and use consisting signage and messaging to enforce social distancing and compliance for clean tables, allergen alerts, etc.. Wide variety of shapes and sizes to customize your presentation. Note: Signs inserts shown are for display only and are not included with holders.","Acrylic","","1026856","c9c9561c-e92e-4cff-b191-be83f3e85634","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026856.JPG","","www.don.com/product/1026856","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU 5-1/2X8-1/2"" CURVED ACRYLIC","Menu Holder. Display your policies, menu specials, business hours or special promotions in a timely manner. Choose and use consisting signage and messaging to enforce social distancing and compliance for clean tables, allergen alerts, etc.. Wide variety of shapes and sizes to customize your presentation. Note: Signs inserts shown are for display only and are not included with holders.","Acrylic","","1026857","469072f2-8d27-40ee-832c-40b348b7c0fb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1026857.JPG","","www.don.com/product/1026857","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN BUFFET TENT 2-1/2X2"" COFFEE SS","Buffet Tent.","Stainless Steel","","1029280","8075660a-5fbd-4c60-8957-1457822a7a96","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029280.JPG","","www.don.com/product/1029280","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN BUFFET TENT 2-1/2X2"" DECAF SS","Buffet Tent.","Stainless Steel","","1029281","d6b11a84-1018-49f8-adf2-ca4b81129fd0","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029281.JPG","","www.don.com/product/1029281","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN BUFFET TENT 2-1/2X2"" MILK SS","Buffet Tent Sign.","Stainless Steel","","1029284","572616eb-5b70-4b60-addf-06cf51f33be9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029284.JPG","","www.don.com/product/1029284","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"CLIP SIGN 5-3/8"" DBL SIDE ALLIGATOR SS","Sign Clip.","Stainless Steel","","1029339","f18584b6-4481-49bf-b288-c0e2cc396726","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029339.JPG","","www.don.com/product/1029339","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU 2X1-1/2X1-1/2"" BAMBOO","Menu Holder.","Bamboo","","1029383","2192cd53-7661-4a86-9c6e-88bc0d719fbd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029383.JPG","","www.don.com/product/1029383","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN BUFFET TENT 2-1/2X2"" CREAM SS","Buffet Tent.","Stainless Steel","","1029447","d545a496-3461-4e41-a05b-a4ba0cc15cfb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029447.JPG","","www.don.com/product/1029447","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN BUFFET TENT 2-1/2X2"" HOT WATER SS","Buffet Tent.","Stainless Steel","","1029448","e13232c6-e558-4e8b-9f89-c4cadbc3ecff","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1029448.JPG","","www.don.com/product/1029448","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"CLIP MENU 1-1/2"" METAL BLK","Menu Clip.","Metal","","1031900","1945877c-6bda-44c0-94d4-824e28dd714c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1031900.JPG","","www.don.com/product/1031900","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"CADDY MENU 3 COMP RECT SS BLK PC","Menu Caddy.","Stainless Steel","","1033922","789fa243-b60d-4e03-b751-080e2dc5bfa6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1033922.JPG","","www.don.com/product/1033922","","","","G.E.T","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN MENU 3"" TRIANGLE CREAM WOOD BLK","Menu Sign.","Wood","","1034058","8409ba7a-2aad-4aa2-b3db-1750f3a9b0bf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034058.JPG","","www.don.com/product/1034058","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN MENU 3"" TRIANGLE SKIM MILK WOOD BLK","Menu Sign.","Wood","","1034059","35b6de87-3901-41bf-a34e-1610e7efc845","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1034059.JPG","","www.don.com/product/1034059","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER NUMBER 3"" SPIRAL CHROME","Stand.","Steel","","1045420","95d97314-c5ca-42ea-9ec6-42e32685e93d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1045420.JPG","","www.don.com/product/1045420","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"MENU CLIP 1-5/8"" ELECTRO POLISHED SS","Menu Holder.","Stainless Steel","","1050899","3bdcfafd-83a8-414f-9f02-5e4436537158","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1050899.JPG","","www.don.com/product/1050899","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER CARD HALF MOON 2X3/4X3/4"" ALUM","Holder. Durable cast aluminum with a polished mirror finish.","Aluminum","","1054139","64dc38ab-6ac3-41dd-9739-da01ed425598","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1054139.JPG","","www.don.com/product/1054139","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"STAND MESSAGE HOLDER BLK","Sign.","3003 Aluminum","","1054181","7d00122c-878e-4a14-9af8-6bc654f6f7b8","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1054181.JPG","","www.don.com/product/1054181","","","","Aarco Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER SIGN 8-1/2X11"" BAMBOO","Sign Holder.","Bamboo","","1055452","c349d9a3-77ec-4a69-96b7-176ea4fd217f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1055452.JPG","","www.don.com/product/1055452","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"TABLE DISPLAY TENT MENU 5X7"" WINE","Table Display.","Leatherette","","1057295","3203cb7a-49d5-41b5-a1a7-045e70d75bdc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1057295.JPG","","www.don.com/product/1057295","","","","H Risch","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"CLIP SIGN 6"" DOUBLE SIDED SS","Clip.","Stainless Steel","","1059272","959ac85c-0068-403f-a8da-2fab8019f177","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1059272.JPG","","www.don.com/product/1059272","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN TABLETOP 3X9"" RESERVED TENT","Sign.","Plastic","","1101092","227ad0fb-25a3-4dfc-9497-2c3218cbdb49","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1101092.JPG","","www.don.com/product/1101092","","","","The Vollrath Company LLC","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"STAND MENU 3-1/2X2-3/4X6-1/4"" SHORT SS","Stand.","18/8 Stainless Steel","","1104165","dbac7645-2bfd-4d6a-90ab-31e029aea634","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1104165.JPG","","www.don.com/product/1104165","","","","Bon Chef","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"STAND MENU 3-1/2X3-7/8X9"" TALL SS","Stand.","18/8 Stainless Steel","","1104166","a8ad75cd-1557-4697-9585-b44fea4ec1ef","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1104166.JPG","","www.don.com/product/1104166","","","","Bon Chef","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"STAND SIGN FREESTAND 15"" MAGNETIC SLV","Stand.","Metal","","1110352","950974f4-0b0f-44fa-a9db-3bdbd9ea0753","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1110352.JPG","","www.don.com/product/1110352","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"SIGN WRITE-ON 4-1/2X2"" MEL BLK","Paddle Sign W/ Base. Write-On signs identify buffet items, advertise specials and draw attention to menu items. Variety of sizes and shapes to fit any need.","Melamine","","1111766","f6999eec-d688-405a-bbe0-6cd519153fee","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1111766.JPG","","www.don.com/product/1111766","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU MESSAGE 15-1/2X5"" SS","Holder.","Stainless Steel","","1111896","038ba165-5ea8-45c3-a907-2f33342140af","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1111896.JPG","","www.don.com/product/1111896","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER FRAME F/ SIGN 11-1/8X8-5/8"" BLK","Holder.","Stainless Steel","","1116153","8a3d7e2f-7d21-4080-a15c-22b106365db4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1116153.JPG","","www.don.com/product/1116153","","","","Aarco Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"CARDS TABLE NUMBER 1-50 SS","Card.","Stainless Steel","","1119114","99289ffe-170c-436d-ba3b-78356e031ee4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1119114.JPG","","www.don.com/product/1119114","","","","Tablecraft Products - Food Servi","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"BOARD MENU 12-1/2X4-1/2"" W/ CLIP ESPRESO","Board.","Wood","","1119902","883d5f19-9cd3-4dec-97a6-b1fdc8edcf51","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1119902.JPG","","www.don.com/product/1119902","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"BOARD MENU 12-1/2X4-1/2"" NO CLIP ESPRESO","Menu Board. Wood Rubber Band - Versatile for full service, bar service and check presentations. Available in bamboo..","Wood","","1119903","b830d731-53a5-48bb-9d70-cabb7a636c2d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1119903.JPG","","www.don.com/product/1119903","","","","American Metalcraft","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU/CARD 4X11""","Holder.","Plastic","","1121353","e02002c8-9a12-4212-88ba-29b58705d09b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1121353.JPG","","www.don.com/product/1121353","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"HOLDER MENU/CARD 4X11"" BAMB","Holder.","Bamboo","","1121354","4d8cec11-c294-4f74-b1d9-1fc8db5904cc","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1121354.JPG","","www.don.com/product/1121354","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
"BOARD MENU/CARD 8X11"" BLK","Board.","Wood","","1121357","f6b7734a-9fa4-4898-abb6-1df090f6462d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1121357.JPG","","www.don.com/product/1121357","","","","Cal-Mil Plastic Products","Table Service","Menus_Signs","Signs","Holders","","","Edward don","",""
