"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"COVER PLATE 9-1/8"" INSIDE POLY BGE","Plate Cover.","Polycarbonate","","1001340","efbb203a-82e5-42fb-8d9f-9bfde991e498","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001340.JPG","","www.don.com/product/1001340","","","","Cambro Manufacturing","Table Service","Plate Covers","Plastic Plate Covers","All Plastic Plate Covers","","","Edward don","",""
"COVER PLATE 10-1/4"" PLAS CLR","Plate Cover.","Polycarbonate","","1002085","9f03740c-c758-4e38-8e8a-ae335d602965","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002085.JPG","","www.don.com/product/1002085","","","","The Vollrath Company LLC","Table Service","Plate Covers","Plastic Plate Covers","All Plastic Plate Covers","","","Edward don","",""
"COVER PLATE 9-11/16"" INSIDE PLAS ANT PAR","Plate Cover. Serve hot food with the Versa Camcover, an elegant and efficient alternative to metal covers.. Microwave safe plate covers withstand temperatures up to 300F.. Covers remain cool to the touch for easy handling.. Lighter weight and quieter than metal covers.. Elegant appearance without polishing.. Made of fiberglass material..","Steel Compound","","1005349","322dd7b6-4ba2-4e53-9324-58103a2a95a2","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005349.JPG","","www.don.com/product/1005349","","","","Cambro Manufacturing","Table Service","Plate Covers","Plastic Plate Covers","All Plastic Plate Covers","","","Edward don","",""
"COVER PLATE 10-1/2-10-5/8"" PLAS CLR","Plate Cover.","Polycarbonate","","1005404","eca6b81f-2e51-42e2-a26c-fa445285943f","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005404.JPG","","www.don.com/product/1005404","","","","Cfs Brands LLC","Table Service","Plate Covers","Plastic Plate Covers","All Plastic Plate Covers","","","Edward don","",""
"COVER PLATE 11-13/16X11-7/8"" SS","Plate Cover.","Stainless Steel","","1005951","8408bf44-c2d2-492f-a09c-6aa5db675afd","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1005951.JPG","","www.don.com/product/1005951","","","","The Vollrath Company LLC","Table Service","Plate Covers","Metal Plate Covers","All Metal Plate Covers","","","Edward don","",""
"COVER PLATE 10-13/16"" TO 10-7/8"" SS","Plate Cover.","Stainless Steel","","1008935","34c67e1b-99ea-4437-b3e6-e9d9086784d1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1008935.JPG","","www.don.com/product/1008935","","","","The Vollrath Company LLC","Table Service","Plate Covers","Metal Plate Covers","All Metal Plate Covers","","","Edward don","",""
"COVER PLATE 10-13/16"" INSIDE 2-1/4"" H CL","Plate Cover. Keep food warm and sanitary as it is transported.","Polycarbonate","","1010093","a78c953b-8a81-477a-bc49-e5322d893c87","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010093.JPG","","www.don.com/product/1010093","","","","Cambro Manufacturing","Table Service","Plate Covers","Plastic Plate Covers","All Plastic Plate Covers","","","Edward don","",""
"COVER PLATE 10-9/16 TO10-5/8"" SS","Plate Cover.","Stainless Steel","","1010830","cacfd98f-c9b6-4cba-853c-e5931a6f6405","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010830.JPG","","www.don.com/product/1010830","","","","The Vollrath Company LLC","Table Service","Plate Covers","Metal Plate Covers","All Metal Plate Covers","","","Edward don","",""
"COVER PLATE FOR 11-7/8"" PLATE SS","Plate Cover.","Stainless Steel","","1010855","2217c9db-dab8-427d-8380-103205b257c9","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1010855.JPG","","www.don.com/product/1010855","","","","The Vollrath Company LLC","Table Service","Plate Covers","Metal Plate Covers","All Metal Plate Covers","","","Edward don","",""
"COVER PLATE 9-3/4"" STACKABLE MIRROR SS","Plate Cover.","Stainless Steel","","1013657","c2e908d8-9e56-4073-aced-e73996face5e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1013657.JPG","","www.don.com/product/1013657","","","","Thunder Group","Table Service","Plate Covers","Metal Plate Covers","All Metal Plate Covers","","","Edward don","",""
