"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"TRAY 13"" RND FIBERGLASS BLK","Tray.","Fiberglass","","1000966","11713626-c3e5-433c-8349-033c64516b08","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000966.JPG","","www.don.com/product/1000966","","","","Cambro Manufacturing","Table Service","Serving Trays","Serving Trays","Plastic Serving Trays","","","Edward don","",""
"TRAY 12-3/4X20-7/8"" RECT FIBERGLASS BLK","Tray.","Fiberglass","","1001843","b18ef09a-52cd-48e4-8b70-4e4f41820da1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001843.JPG","","www.don.com/product/1001843","","","","Cambro Manufacturing","Table Service","Serving Trays","Serving Trays","Plastic Serving Trays","","","Edward don","",""
"TRAY SERVING 14-1/2"" SLV PLT","Serving Tray.","18/10 Stainless Steel","","1001894","cd4ee5d8-af9f-4362-ad97-c31fe363e7e1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001894.JPG","","www.don.com/product/1001894","","","","Bauscherhepp","Table Service","Serving Trays","Serving Trays","Stainless Steel","","","Edward don","",""
"TRAY SERVING RND 15.75"" SS","Serving Tray.","18/10 Stainless Steel","","1002007","887402c5-4edf-4a26-96d3-136b7afa6b59","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002007.JPG","","www.don.com/product/1002007","","","","Bauscherhepp","Table Service","Serving Trays","Serving Trays","Stainless Steel","","","Edward don","",""
"TRAY 15X20"" RECT FIBERGLASS RED","Tray.","Fiberglass","","1002929","5acf848f-a403-40ef-9c0d-96dd8a84f599","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002929.JPG","","www.don.com/product/1002929","","","","Cambro Manufacturing","Table Service","Serving Trays","Cafeteria Trays","Fiberglass Cafeteria Trays","","","Edward don","",""
"TRAY 15X20 FIBERGLASS GRAY","Tray. Traditional flat trays feature sturdy fiberglass construction with reinforced edges. Non-skid trays feature super grip surface to hold heavy items in place with minimal slide, even when tray is wet. Handled trays feature a low profile for room service; made of durable polycarbonate. Durable polycarbonate construction and non-skid surface printed with fade-free inks; dishwasher safe.","Fiberglass","","1003127","6f54529d-ba70-4704-aed0-85fbcfdd5b3c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003127.JPG","","www.don.com/product/1003127","","","","Dinex International","Table Service","Serving Trays","Cafeteria Trays","Fiberglass Cafeteria Trays","","","Edward don","",""
"TRAY 14X18 FIBERGLASS CRANBERRY","Tray. Traditional flat trays feature sturdy fiberglass construction with reinforced edges. Non-skid trays feature super grip surface to hold heavy items in place with minimal slide, even when tray is wet. Handled trays feature a low profile for room service; made of durable polycarbonate. Durable polycarbonate construction and non-skid surface printed with fade-free inks; dishwasher safe.","Fiberglass","","1003177","30a0ab23-1606-4a8c-a44e-dc7f6628c21b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003177.JPG","","www.don.com/product/1003177","","","","Dinex International","Table Service","Serving Trays","Cafeteria Trays","Fiberglass Cafeteria Trays","","","Edward don","",""
"TRAY 14X18 FIBERGLASS GRAY","Tray. Traditional flat trays feature sturdy fiberglass construction with reinforced edges. Non-skid trays feature super grip surface to hold heavy items in place with minimal slide, even when tray is wet. Handled trays feature a low profile for room service; made of durable polycarbonate. Durable polycarbonate construction and non-skid surface printed with fade-free inks; dishwasher safe.","Fiberglass","","1003178","bbc9b995-dd9c-48e3-a6f3-1fb23f17dea4","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003178.JPG","","www.don.com/product/1003178","","","","Dinex International","Table Service","Serving Trays","Cafeteria Trays","Fiberglass Cafeteria Trays","","","Edward don","",""
"TRAY FAST FOOD 10X14"" RECT PLAS BLU","Tray.","Polypropylene","","1003341","6a34a1fe-9209-450b-9002-84af6ac5d757","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003341.JPG","","www.don.com/product/1003341","","","","Cambro Manufacturing","Table Service","Serving Trays","Fast Food Trays","All Fast Food Trays","","","Edward don","",""
"TRAY 14X18 PLAS BRN TRAPEZOID","Tray. Made of lightweight, high-impact fiberglass with reinforced edges. Stain, odor, and scratch resistant. Molded-in Dri-Stak separators ensures even air flow between trays for quick drying. Stacking lugs keep trays stacked in place.","Plastic","","1003847","e4e13883-1852-4415-943e-f6eb86adfbaf","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1003847.JPG","","www.don.com/product/1003847","","","","Cambro Manufacturing","Table Service","Serving Trays","Cafeteria Trays","Fiberglass Cafeteria Trays","","","Edward don","",""
