"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CRUET SET OIL & VINEGAR STAND","Cruet Set with Stand. Heavy square glass bottles. 18/8 stainless steel screw top. Caddy sold separately.","Glass","","1000082","1998d819-0e5f-4751-b1f2-d743ede93888","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000082.JPG","","www.don.com/product/1000082","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Cruets_Bottles","All Cruets_Bottles","","","Edward don","",""
"MILL SALT 10-3/4"" PARIS U'SEL WOOD CHOC","Salt Mill.","Wood","","1000142","6df66a33-7586-4c16-8ce0-83863a41cec3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000142.JPG","","www.don.com/product/1000142","","","","Peugeot Saveurs North America LLC","Table Service","Shakers_Dispensers","Salt & Pepper Shakers","All Salt & Pepper Shakers","","","Edward don","",""
"BOTTLE SQUEEZE 32 OZ YLW","Squeeze Bottle.","Plastic","","1000403","8eb0c1de-918b-482c-b813-21f0b3506b9a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000403.JPG","","www.don.com/product/1000403","","","","The Vollrath Company LLC","Table Service","Shakers_Dispensers","Squeeze Bottles","All Squeeze Bottles","","","Edward don","",""
"DISPENSER 3 PC 2 OZ WITH RACK","Dispenser Set.","Stainless Steel","","1000482","178531d9-2aa4-4e76-8a41-94812a33b5ea","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000482.JPG","","www.don.com/product/1000482","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Racks_Holders","All Racks_Holders","","","Edward don","",""
"DISPENSER 6 OZ BEEHIVE GLASS","Dispenser.","Glass","","1000488","4a95522b-9cb8-4139-bd3a-2c33cc44cb1c","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000488.JPG","","www.don.com/product/1000488","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Syrup Jars","All Syrup Jars","","","Edward don","",""
"CRUET 6 OZ OIL & VINEGAR GLASS","Cruet.","Glass","","1000489","c3dafdec-3672-4ad2-9d7f-17e6301a0329","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000489.JPG","","www.don.com/product/1000489","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Cruets_Bottles","All Cruets_Bottles","","","Edward don","",""
"CADDY CONDIMENT 6X8"" IRON BLK","Condiment Caddy.","Wrought Iron","","1000511","f1f814e6-d8e4-4075-bbdb-46e6353e3a0a","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000511.JPG","","www.don.com/product/1000511","","","","American Metalcraft","Table Service","Shakers_Dispensers","Condiment Jars","All","","","Edward don","",""
"DISPENSER SYRUP 14 OZ GLASS","Syrup Dispenser.","Glass","","1000515","6f4a0641-25d8-4a38-a221-0d95870a083d","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000515.JPG","","www.don.com/product/1000515","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Syrup Jars","All Syrup Jars","","","Edward don","",""
"CAP REPL SQUEEZE BOTTLE","Replacement Cap.","Plastic","","1000561","017f26cb-b210-41a4-a21d-411005ed09d6","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000561.JPG","","www.don.com/product/1000561","","","","Tablecraft Products - Food Servi","Table Service","Shakers_Dispensers","Condiment Jars","All","","","Edward don","",""
"JAR REPLACEMENT 3 OZ POLY CLEAR","Replacement Jar.","Polycarbonate","","1000667","359169ed-b99e-4f15-8dc0-4a4e0d73d6f1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000667.JPG","","www.don.com/product/1000667","","","","The Vollrath Company LLC","Table Service","Shakers_Dispensers","Cruets_Bottles","All Cruets_Bottles","","","Edward don","",""
