"name","description","material","product_variants","sku","product_id","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","level1 category","level2 category","level3 category","level4 category","product-category-style","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"CAN TRASH 6"" MINI SS","Trash Can.","18/0 Stainless Steel","","1000080","9705c123-b7c1-46d6-bbc8-b5940ac950fb","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000080.JPG","","www.don.com/product/1000080","","","","G.E.T","Table Service","Table Top Accessories","Miscellaneous","Table Top Accessories","","","Edward don","",""
"CRACKER NUT/LOBSTER 6"" SS","Lobster/Nut Cracker.","Stainless Steel","","1000180","869f7001-dc66-4798-96ed-a18c555e60f3","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000180.JPG","","www.don.com/product/1000180","","","","Winco","Table Service","Table Top Accessories","Shellfish Utensils","All Shellfish Utensils","","","Edward don","",""
"CREAMER 5 OZ BELLE 18/8 SS","Creamer.","18/8 Stainless Steel","","1000357","3877b975-e205-4c27-94ca-7681602b46e1","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000357.JPG","","www.don.com/product/1000357","","","","World Tableware","Table Service","Table Top Accessories","Creamers_Bowls_Boats","Stainless Steel","","","Edward don","",""
"STAND NUMBER SWIRL BASE 12"" BLK","Number Stand.","Metal","","1000513","22c3984e-bb91-43bf-bd45-7f4a10c5719b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000513.JPG","","www.don.com/product/1000513","","","","American Metalcraft","Table Service","Table Top Accessories","Table Cards_Holders","All Table Cards_Holders","","","Edward don","",""
"CREAMER 4 OZ CAST ALUM SANDSTONE HGLD","Creamer.","Cast Aluminum","","1000644","fbba8526-83e6-43df-83ac-6d7a3885697b","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1000644.JPG","","www.don.com/product/1000644","","","","Bon Chef","Table Service","Table Top Accessories","Serving Pieces","Accessories","","","Edward don","",""
"HOLDER SIGN DOME 1-1/2X1"" SS","Domed Stand. Domed Sign Card Holder in stainless steel, 1-1/2"" x 1"", holds small signs you make to identify items..","430 Stainless Steel","","1001036","216624f5-fdff-4c9d-bbb0-e69683f58a07","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001036.JPG","","www.don.com/product/1001036","","","","Imco","Table Service","Table Top Accessories","Table Cards_Holders","All Table Cards_Holders","","","Edward don","",""
"BOAT SAUCE 11 OZ SLV PLT","Sauce Boat.","18/10 Stainless Steel","","1001893","96025213-a202-46b3-bd1b-026654c87b64","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1001893.JPG","","www.don.com/product/1001893","","","","Bauscherhepp","Table Service","Table Top Accessories","Creamers_Bowls_Boats","Stainless Steel","","","Edward don","",""
"CLIPS F/SALAD DRESSING BOTTLES","Clips f/Salad Dressing Bottles.","Plastic","","1002003","0aa4893a-0b79-4149-919f-85fe55a8f428","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002003.JPG","","www.don.com/product/1002003","","","","G.E.T","Table Service","Table Top Accessories","Table Cards_Holders","All Table Cards_Holders","","","Edward don","",""
"HOLDER CARD 10X2-5/8"" SS","Card Holder.","Stainless Steel","","1002138","93f6ab34-6153-4912-b34f-e24659adb346","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002138.JPG","","www.don.com/product/1002138","","","","American Metalcraft","Table Service","Table Top Accessories","Table Cards_Holders","All Table Cards_Holders","","","Edward don","",""
"STAND NUMBER 18"" WEIGHTED SS","Number Stand.","Stainless Steel","","1002319","6bb34a0a-d79b-4587-b3b8-9c22a9603e4e","","","","","","","https://www.don.com/UserFiles/Images/Products/Individuals/1002319.JPG","","www.don.com/product/1002319","","","","American Metalcraft","Table Service","Table Top Accessories","Table Cards_Holders","All Table Cards_Holders","","","Edward don","",""
