"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Manchuela Bobal","","","1724881",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2443171/83e49a457ff7143892577.png?1663219339","","","","","","11 Pinos","Wine","","johnsonbrothers","The Sorting Table","Spain"
"Lisboa Opulent Tinto","","","1805867",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849","","","","","","12 Knights","Wine","","johnsonbrothers","Milton's Distributing Co Inc","Portugal"
"American Single Malt Whiskey","","","1339027",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2248054/5b1b40980251af633b2b6.png?1649658514","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Bourbon Whiskey 110 Proof","","","1382747",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279509/d370899203450fde707a6.png?1651530687","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Gin","","","1026769",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/463418/01cd9bcc541a5cafb6cab.png?1540214731","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Rum","","","1458133",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279476/548c5f8e6e7744375aff2.png?1651528582","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Rye Whiskey 100","","","1931146",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/488325/bef8dc669650fecefa3cc.png?1541110322","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Small Batch Four Grain Bourbon Whiskey","","","1871650",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2795146/3ec8fcd67a85c74d84ae0.png?1697112554","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Vodka","","","1192122",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1065770/868832395808b71d938b5.png?1563185665","","","","","","18th Street Distillery","Spirit","","johnsonbrothers","18th Street Distillery","United States"
"Blueberry Cosmic Crisp Cider","","","1166723",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252889/2e48045956c196fe2b0e5.png?1650349854","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
"Brightcider Hard Apple Cider","","","1084211",24,12,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2252893/5b66456967f873bd1904d.png?1650349861","","","","","","2 Towns Ciderhouse","Cider","","johnsonbrothers","2 Towns Ciderhouse","United States"
