"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Añejo Tequila 100% de Agave","","","1734981",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Añejo Tequila 100% de Agave","","","1455876",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Añejo Tequila 100% de Agave","","","1497778",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2247585/d604d0f02871882456c99.png?1649422727","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1525066",6,1.75,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1525623",6,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1766512",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1654516",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1835537",24,200,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1116402",48,100,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
"Blanco Tequila 100% de Agave","","","1633686",60,50,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2959859/608c90010d6e88ca8eb51.png?1706825516","","","","","","1800 Tequila","Spirit","","johnsonbrothers","Proximo Spirits","Mexico"
