"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Cabernet Sauvignon Paso Robles","","","1152204",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1671199/0c894f2366a56be2604cb.png?1598273874","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Chardonnay Sonoma County","","","1983146",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246782/d3caf4a2dd8ca4100825b.png?1649399382","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Pinot Noir Central Coast","","","1478092",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2246789/a3df5818e09adfb96218d.png?1649399391","","","","","","100 Nails Ranch","Wine","","johnsonbrothers","1821 Fine Wine & Spirits","United States"
"Lisboa Opulent Tinto","","","1805867",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2462153/b867163c12f28eb456ada.png?1665406849","","","","","","12 Knights","Wine","","johnsonbrothers","Milton's Distributing Co Inc","Portugal"
"Premium Bloody Mary Mix","","","1006502",6,32,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1968953/72f21f4ddf59f5e148976.png?1624019778","","","","","","2 Dads","Mixers","","johnsonbrothers","2 Dads","United States"
"Premium Bloody Mary Mix","","","1904215",12,32,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1968953/72f21f4ddf59f5e148976.png?1624019778","","","","","","2 Dads","Mixers","","johnsonbrothers","2 Dads","United States"
"Premium Jalapeño Margarita Mix","","","1464020",12,32,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2202567/2e5f10c807d8042589b40.png?1645615108","","","","","","2 Dads","Mixers","","johnsonbrothers","2 Dads","United States"
"Gem of Kentucky Straight Bourbon Whiskey","","","1431369",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series American Oak Kentucky Straight Bourbon Whiskey","","","1562461",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series French Oak Kentucky Straight Bourbon Whiskey","","","1686897",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Kiawah Blend Kentucky Straight Bourbon Whiskey","","","1856026",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Sneakerhead Blend Kentucky Straight Bourbon Whiskey 104 Proof","","","1168260",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3173507/47533e2bd93d26fae4674.png?1718255073","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Tribute Blend Kentucky Straight Bourbon Whiskey","","","1251426",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2661090/37b6514f35e1a2e2c350e.png?1686837519","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Cabernet Sauvignon Paso Robles","","","1618552",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253350/0267e466fb5a653e4c0b6.png?1650372476","","","","","","30 Degrees","Wine","","johnsonbrothers","Plata Wine Partners","United States"
"Chardonnay Monterey County","","","1141487",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253068/524a30295992f1fc32254.png?1650357426","","","","","","30 Degrees","Wine","","johnsonbrothers","Plata Wine Partners","United States"
"Pinot Noir Santa Barbara County","","","1461601",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2635474/d25716d66f316c9c2f65a.png?1684913992","","","","","","30 Degrees","Wine","","johnsonbrothers","Plata Wine Partners","United States"
"Sauvignon Blanc","","","1390189",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2942459/90c563f6eb142047a8fe7.png?1706073533","","","","","","8 Plumas","Wine","","johnsonbrothers","Mack & Schuhle","Spain"
"Amarone della Valpolicella","","","1847746",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927337/75f4a672b50191d74e363.png?1705382876","","","","","","Acinum","Wine","","johnsonbrothers","Vias Imports","Italy"
"Soave Classico","","","1459709",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927367/c11abe4d111c8c7d24795.png?1705383066","","","","","","Acinum","Wine","","johnsonbrothers","Vias Imports","Italy"
"Valpolicella","","","1923842",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927374/e59ed6939b53ab49646f4.png?1705383113","","","","","","Acinum","Wine","","johnsonbrothers","Vias Imports","Italy"
"Valpolicella Ripasso","","","1242935",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927377/1ada18a6a36564177b3b5.png?1705383153","","","","","","Acinum","Wine","","johnsonbrothers","Vias Imports","Italy"
"Natural Spring Water","","","1814181",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
"Natural Spring Water","","","1213805",12,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
"Natural Spring Water","","","1076416",24,500,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3162223/1c144f0c27f236e5ca748.png?1717594412","","","","","","Acqua Panna","Non-alcoholic","","johnsonbrothers","Nestle Waters North America Inc","Italy"
