name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Cabernet Sauvingon Napa Valley,"Enticing aromas of cranberries and plum continue through to the palate and are balanced by dusty spices and a touch of incense. Dense and rich, this Napa Valley Cabernet Sauvignon has concentrated blueberry and strawberry flavors with an intermingling of caramel. Silky, fine-grained tannins lead to a long and sumptuous finish.",,1661418,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1837513/9064b002e0db77c4e8dfa.png?1616735303,,https://johnsonbrothers.storefronts.site/p/1SMMK,,,,1881 Napa,Wine,Still,Red,,johnson brothers,Boisset America,United States,Alcohol,Wine,Still,Red
Gem of Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1431369,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687,,https://johnsonbrothers.storefronts.site/p/JO023,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series American Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1562461,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243,,https://johnsonbrothers.storefronts.site/p/FECMQ,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Oak Series French Oak Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1686897,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058,,https://johnsonbrothers.storefronts.site/p/FFLQU,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Kiawah Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1856026,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175,,https://johnsonbrothers.storefronts.site/p/6U30H,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Sneakerhead Blend Kentucky Straight Bourbon Whiskey 104 Proof,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1168260,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3173507/47533e2bd93d26fae4674.png?1718255073,,https://johnsonbrothers.storefronts.site/p/KIMZV,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
The Tribute Blend Kentucky Straight Bourbon Whiskey,"2XO Whiskey from United States, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1251426,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2661090/37b6514f35e1a2e2c350e.png?1686837519,,https://johnsonbrothers.storefronts.site/p/0E8YV,,,,2XO Whiskey,Spirit,Whiskey,Bourbon,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Whiskey,Bourbon
Sauvignon Blanc Napa Valley,"30 Miles from United States, provided by Precept Brands. Enjoy the unique taste and quality.",,1916685,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253090/fd96e24d42152f45bf500.png?1650357445,,https://johnsonbrothers.storefronts.site/p/88TCD,,,,30 Miles,Wine,Still,White,,johnson brothers,Precept Brands,United States,Alcohol,Wine,Still,White
Brunel Gin,"Exquisitely Engineered 6 O’clock Gin Brunel is an export strength expression of our classic London Dry gin.

Distilled with more juniper and 6 additional botanicals for a more complex flavour profile.",,1173654,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1663911/27548cf402d1cde7bc7e8.png?1597321408,,https://johnsonbrothers.storefronts.site/p/TQUUP,,,,6 O'Clock Gin,Spirit,Gin,London Dry,,johnson brothers,Park Street Imports/6 O'Clock Gin,England,Alcohol,Spirit,Gin,London Dry
Damson Gin,"Like Sloe gin, our Damson is hand made in the traditional way; in small batches, using hand-picked British damsons and a moderate amount of sugar.

We slowly mature an abundance of damsons in our London Dry. The fruits combine with the smoothness of the gin to give an intense fruity dryness.",,1538457,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1663912/f3f5a0a8c6d56950374a8.png?1597321411,,https://johnsonbrothers.storefronts.site/p/2COIX,,,,6 O'Clock Gin,Spirit,Gin,London Dry,,johnson brothers,Park Street Imports/6 O'Clock Gin,England,Alcohol,Spirit,Gin,London Dry
