"name","description","product_variants","sku","pack","size","gtin","retail_price","is_catch_weight","average_case_weight","image_url","manufacturer_sku","content_url","ordering_unit","is_broken_case","avg_case_weight","brand","category","manufacturer_name","distributor_name","supplier_name","country_of_origin"
"Cabernet Sauvingon Napa Valley","","","1661418",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1837513/9064b002e0db77c4e8dfa.png?1616735303","","","","","","1881 Napa","Wine","","johnsonbrothers","Boisset America","United States"
"Gem of Kentucky Straight Bourbon Whiskey","","","1431369",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2759748/b8412a18f99e130b46fd0.png?1694430687","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series American Oak Kentucky Straight Bourbon Whiskey","","","1562461",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2663981/c9a94a7320c844b69f2ae.png?1687173243","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Oak Series French Oak Kentucky Straight Bourbon Whiskey","","","1686897",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3248350/f5f863fa4c76dbd53616c.png?1722966058","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Kiawah Blend Kentucky Straight Bourbon Whiskey","","","1856026",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2843751/e7ddc590e2431798c5cca.png?1700046175","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Sneakerhead Blend Kentucky Straight Bourbon Whiskey 104 Proof","","","1168260",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3173507/47533e2bd93d26fae4674.png?1718255073","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"The Tribute Blend Kentucky Straight Bourbon Whiskey","","","1251426",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2661090/37b6514f35e1a2e2c350e.png?1686837519","","","","","","2XO Whiskey","Spirit","","johnsonbrothers","Prestige Beverage Group","United States"
"Sauvignon Blanc Napa Valley","","","1916685",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253090/fd96e24d42152f45bf500.png?1650357445","","","","","","30 Miles","Wine","","johnsonbrothers","Precept Brands","United States"
"Brunel Gin","","","1173654",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1663911/27548cf402d1cde7bc7e8.png?1597321408","","","","","","6 O'Clock Gin","Spirit","","johnsonbrothers","Park Street Imports/6 O'Clock Gin","England"
"Damson Gin","","","1538457",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1663912/f3f5a0a8c6d56950374a8.png?1597321411","","","","","","6 O'Clock Gin","Spirit","","johnsonbrothers","Park Street Imports/6 O'Clock Gin","England"
"London Dry Gin","","","1285103",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279533/8304fe8b4a7804e8d0a82.png?1651536058","","","","","","6 O'Clock Gin","Spirit","","johnsonbrothers","Park Street Imports/6 O'Clock Gin","England"
"Sloe Gin","","","1370028",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1663910/60ba6c65fd3d69f8ef12d.png?1597321310","","","","","","6 O'Clock Gin","Spirit","","johnsonbrothers","Park Street Imports/6 O'Clock Gin","England"
"Cabernet Sauvignon Coombsville","","","1662079",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729184/8b71556ee1c4acb847960.png?1692184971","","","","","","Ackerman Family Vineyards","Wine","","johnsonbrothers","Ackerman Family Vineyards","United States"
"Memoir Red Wine Napa Valley","","","1387474",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2729185/c3faee421d3fa2b21a2ad.png?1692184982","","","","","","Ackerman Family Vineyards","Wine","","johnsonbrothers","Ackerman Family Vineyards","United States"
"Sauvignon Blanc Napa Valley","","","1471306",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2814086/f31582f7f9c8dcb3b1709.png?1698383243","","","","","","Ackerman Family Vineyards","Wine","","johnsonbrothers","Ackerman Family Vineyards","United States"
"Cabernet Sauvignon Mendoza","","","1994492",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259632/b682e0486f53cbdd520b6.png?1650628851","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Malbec Mendoza","","","1152950",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259658/c02218aacd271297bbc56.png?1650628882","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Malbec Selección Mendoza","","","1646166",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259686/024ef420b83aa44ced4ba.png?1650628909","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Red Blend Mendoza","","","1175098",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2259727/8c806de9f8ccc4c31d7ea.png?1650628961","","","","","","Alamos","Wine","","johnsonbrothers","Gallo","Argentina"
"Amarone della Valpolicella Classico Dry Red Wine","","","1866021",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235661/c41f3b021aee946d52ddb.png?1722242766","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Amarone della Valpolicella Classico Dry Red Wine","","","1080621",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235661/c41f3b021aee946d52ddb.png?1722242766","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Amarone della Valpolicella Classico Fieramonte Riserva","","","1049476",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235022/f2b1494a7c08520739242.png?1722237225","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Amarone della Valpolicella Classico Fieramonte Riserva","","","1664770",3,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235022/f2b1494a7c08520739242.png?1722237225","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Lugana Oasi Mantellina","","","1441730",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235111/0c06b1a1f807208125514.png?1722237406","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Valpolicella","","","1427672",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235073/2293699e5598fb52325c9.png?1722237328","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Veronese Corvina La Poja Monovitigno","","","1587151",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235573/1282b11392c573ae3bd70.png?1722242464","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Veronese La Grola","","","1367734",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235607/2bb5b22b1103b8268c9a5.png?1722242640","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Veronese La Grola","","","1643665",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235607/2bb5b22b1103b8268c9a5.png?1722242640","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Veronese Palazzo Della Torre","","","1265097",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3235100/d860395ed50bc572bcd5b.png?1722237387","","","","","","Allegrini","Wine","","johnsonbrothers","Gallo","Italy"
"Liqueur","","","1615417",6,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2386081/0f175f37ce3bdd014ba7e.png?1657778609","","","","","","Amaro Montenegro","Spirit","","johnsonbrothers","Gallo","Italy"
"Liqueur","","","1543511",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2386081/0f175f37ce3bdd014ba7e.png?1657778609","","","","","","Amaro Montenegro","Spirit","","johnsonbrothers","Gallo","Italy"
"Liqueur","","","1274328",6,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2386081/0f175f37ce3bdd014ba7e.png?1657778609","","","","","","Amaro Montenegro","Spirit","","johnsonbrothers","Gallo","Italy"
"Blush Pink Champagne California","","","1034440",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261347/4089919cab196ddc04b83.png?1650719670","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut California","","","1667270",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut California","","","1200500",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261356/d8eab7f4465d8a1021391.png?1650719684","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut Rosé California","","","1878517",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Brut Rosé California","","","1002411",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2452916/a40462ef932f461dd9217.png?1664306614","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Extra Dry California","","","1028551",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261455/df4658e5aaa0ee89590e9.png?1650719876","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Mango Mimosa","","","1926872",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2592191/263e4efa084979bd10af9.png?1680870957","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Collection Moscato California Champagne","","","1672720",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261385/3cdf2902f5081b91e3362.png?1650719790","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Collection Pink Moscato California Champagne","","","1798151",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261393/fbc54ed04535a3df903ad.png?1650719799","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Peach Bellini Wine Cocktail","","","1354010",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261404/70195e9863addb74dd57f.png?1650719812","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Pineapple Mimosa Wine Cocktail","","","1032592",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261408/3f3ca69a20bc9796e15b9.png?1650719817","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Pineapple Mimosa Wine Cocktail","","","1196015",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261408/3f3ca69a20bc9796e15b9.png?1650719817","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Signature Collection Cold Duck Sweet Sparkling Red California","","","1346750",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261366/1b0edc9c454895d7fcd8b.png?1650719750","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Signature Collection Peach","","","1049779",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2286131/34bb2051c7c3d55a826d7.png?1651858299","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Signature Collection Strawberry","","","1837649",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2286133/154951ba2d7971eaf124b.png?1651858608","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Signature Collection Strawberry","","","1734702",12,375,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2286133/154951ba2d7971eaf124b.png?1651858608","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Spumante California","","","1953968",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261421/c8f25fdba538e6ccfc857.png?1650719831","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Strawberry Mimosa","","","1127095",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2592190/ab35e6d2a5d6755f4f7ff.png?1680870956","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Sweet Fizzy Sangria Wine Cocktail","","","1674149",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2261425/776acad0cd626b3da4b63.png?1650719835","","","","","","André","Wine","","johnsonbrothers","Gallo","United States"
"Corinthia Dry Red Wine","","","1865101",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262441/dbd43882b7ef14b927b22.png?1650886953","","","","","","Apelia","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Roditis Dry Rosé Wine","","","1636910",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262436/98489c2eed9f5c201e5ff.png?1650886946","","","","","","Apelia","Wine","","johnsonbrothers","Prestige Beverage Group","Greece"
"Nato A Venezia Pilla Aperitivo Bitter","","","1992549",6,1,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2725886/a6a47b4ff546f6691950d.png?1691839933","","","","","","Aperitivo Select","Spirit","","johnsonbrothers","Gallo","Italy"
"Cabernet Sauvignon California","","","1341662",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262418/0f7345ac53bcf86bdb477.png?1650886863","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Chardonnay Chard California","","","1697176",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2300792/6b5a7c265d23b21123253.png?1653022140","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Crush Limited Release California","","","1280641",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/244317/8d3744f347d9cb4293d68.png?1528805545","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Dark Red Blend California","","","1718713",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/491100/4ccdaadc9020dc5d26e00.png?1616724909","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Espresso Limited Release","","","1577033",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2674460/03a7fcf3c7e990d440c3c.png?1687949100","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Inferno Small Batch Red Blend Limited Release California","","","1310974",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263006/7c27d56ccbf2bbc3be841.png?1650893121","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Merlot Untamed & Unbound California","","","1268395",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263081/f31a6945ab57f68a427c4.png?1650894317","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Pinot Noir California","","","1833273",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1730989/d790b4de91b96ff9eae52.png?1616734560","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Red Winemaker's Blend California","","","1161371",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262969/4b8499be01d1591fea56b.png?1650893066","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Rosé California","","","1452009",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262941/3cc16c5ffc99265b4fd2f.png?1650893028","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"White Winemaker's Blend California","","","1428150",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2262929/a2c257ba70a80dc7be7ce.png?1650893012","","","","","","Apothic","Wine","","johnsonbrothers","Gallo","United States"
"Merlot Blackberry","","","1784799",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156505/f57e63eac1fc4d96f1121.png?1521664610","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Merlot Blackberry","","","1487400",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156505/f57e63eac1fc4d96f1121.png?1521664610","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Mango Strawberry","","","1345741",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156513/2cf56af9300fb1ab43171.png?1521664800","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Mango Strawberry","","","1814786",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156513/2cf56af9300fb1ab43171.png?1521664800","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Peach","","","1713145",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2274340/17ff99cf8f2533ba1c528.png?1651058649","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Moscato Peach","","","1779118",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2274340/17ff99cf8f2533ba1c528.png?1651058649","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Pink Moscato Pineapple Strawberry","","","1170359",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156498/755aea1d2d32b00edd4f8.png?1521664496","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Pink Moscato Raspberry","","","1570719",6,1.5,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1791469/0e953bf80ec0bbd22fa5f.png?1610016215","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
"Pink Moscato Raspberry","","","1517512",12,750,"","","","","https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1791469/0e953bf80ec0bbd22fa5f.png?1610016215","","","","","","Arbor Mist","Wine","","johnsonbrothers","Gallo","United States"
